H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,PhosphorusTreatment
79.92050171,1953.890015,6.133999825,51.11629868,65.17299652,2.952140093,18.0
81.24849701,1948.290039,6.153540134,51.11800003,66.30970001,3.033400059,18.0
68.46340179,2000.099976,5.352779865,50.96319962,63.98099899,2.391870022,9.0
73.16929626,1991.619995,5.766560078,51.06190109,63.92839813,2.564399958,0.0
50.32139969,2083.610107,5.765120029,50.2215004,59.07139969,1.53271997,9.0
55.21239853,2041.630005,6.132770061,49.98960114,64.05870056,1.950610042,0.0
49.52740097,2105.439941,5.222189903,50.12480164,63.50429916,1.464040041,27.0
71.65450287,1982.73999,5.675739765,50.05080032,64.3431015,2.477979898,27.0
65.80840302,1997.0,6.391379833,50.95339966,63.80739975,2.537250042,18.0
56.65629959,2058.699951,5.000329971,50.09320068,62.90520096,1.851189971,18.0
56.08160019,2047.609985,4.887050152,50.80059814,56.86220169,2.041500092,27.0
49.8370018,2073.030029,3.826719999,50.01010132,55.0237999,1.630970001,27.0
79.75330353,1950.410034,5.820330143,51.02629852,66.06839752,2.845590115,18.0
47.95389938,2093.120117,4.333139896,50.06669998,52.64400101,1.296399951,0.0
85.73040009,1911.800049,6.989329815,51.26139832,63.99570084,3.374030113,0.0
49.62509918,2089.860107,4.413179874,50.04130173,52.78089905,1.33070004,0.0
71.98789978,1980.430054,6.062310219,50.03359985,64.13680267,2.643110037,27.0
79.04429626,1949.97998,5.890510082,49.77679825,64.94589996,2.780529976,27.0
81.74749756,1939.329956,6.844110012,51.25239944,62.88800049,3.116790056,0.0
69.61910248,1990.01001,5.817269802,50.68470001,64.2582016,2.463350058,27.0
46.43840027,2095.709961,4.173349857,50.0617981,52.20330048,1.284170032,0.0
60.10810089,2043.51001,4.601290226,49.64849854,59.94549942,1.968099952,27.0
62.53850174,2030.329956,4.745160103,49.79759979,61.46989822,2.010440111,9.0
81.6269989,1943.25,5.939290047,51.0442009,65.91850281,2.905529976,0.0
57.02769852,2052.969971,4.874010086,50.70190048,59.8791008,1.974529982,27.0
56.6576004,2047.089966,5.645030022,49.92440033,63.84149933,1.863849998,0.0
84.88809967,1922.890015,7.113959789,51.29919815,64.31749725,3.284430027,18.0
56.34120178,2057.469971,4.880879879,50.70909882,59.34230042,1.929700017,27.0
49.88819885,2089.429932,5.021590233,50.13890076,55.13970184,1.366000056,0.0
62.68270111,2030.420044,4.782839775,49.98860168,60.77750015,1.988260031,9.0
60.60580063,2032.890015,5.099060059,51.00479889,58.47119904,2.141230106,0.0
60.52489853,2034.880005,4.638329983,49.54940033,59.46099854,1.922749996,0.0
59.38880157,2034.939941,5.677519798,49.91009903,64.040802,1.964849949,0.0
74.65899658,1974.77002,5.364779949,49.76699829,64.13670349,2.596329927,0.0
65.24890137,2018.369995,4.809770107,49.22669983,61.20550156,2.058300018,9.0
45.56470108,2087.120117,3.781650066,50.00469971,51.88330078,1.469689965,0.0
51.03789902,2085.860107,5.016089916,50.14970016,55.85430145,1.389369965,0.0
48.55450058,2091.209961,4.258609772,50.04790115,52.45750046,1.30151999,0.0
49.30179977,2091.22998,4.7739501,50.11000061,54.05149841,1.332389951,9.0
68.58460236,2002.869995,5.149050236,50.21319962,62.87739944,2.264019966,9.0
67.07720184,2004.130005,5.794569969,50.94309998,64.54550171,2.370490074,27.0
59.4817009,2028.949951,5.929900169,49.93310165,64.32649994,2.014349937,9.0
54.39889908,2060.290039,4.337240219,49.28609848,57.14300156,1.787670016,27.0
48.83480072,2092.0,4.532060146,50.08309937,53.21459961,1.311040044,0.0
79.81310272,1949.449951,5.890850067,51.03680038,66.49530029,2.865250111,18.0
47.04349899,2089.469971,3.91546011,50.01340103,51.72100067,1.350999951,0.0
45.86109924,2089.030029,3.971940041,50.01720047,52.67240143,1.466249943,0.0
85.28029633,1920.150024,7.134870052,51.3105011,64.59200287,3.316679955,18.0
80.5401001,1945.449951,6.036910057,51.06200027,67.40270233,2.947669983,18.0
47.08929825,2093.810059,4.129129887,50.05260086,52.16650009,1.291820049,0.0
51.37440109,2083.790039,5.289420128,50.19269943,57.78070068,1.441159964,27.0
59.95500183,2038.959961,5.417029858,49.88090134,63.6935997,1.947550058,27.0
60.24580002,2042.77002,4.902649879,49.82770157,62.07870102,1.921830058,9.0
58.63180161,2045.349976,4.584189892,49.29119873,59.08969879,1.88696003,0.0
68.57730103,1986.97998,6.550290108,50.07139969,63.89429855,2.61661005,18.0
87.95529938,1911.449951,6.460299969,51.18190002,67.85600281,3.487910032,0.0
79.25589752,1953.160034,5.669610023,51.00189972,65.30110168,2.816930056,18.0
51.52959824,2091.75,4.933129787,50.09109879,62.53310013,1.577229977,0.0
73.51319885,1991.219971,5.77617979,51.04520035,65.12220001,2.548110008,0.0
80.86799622,1944.829956,6.082699776,51.07569885,67.73120117,2.993089914,18.0
87.98179626,1910.359985,6.478030205,51.21039963,67.5510025,3.563080072,0.0
84.39279938,1922.170044,6.939370155,51.26119995,63.87990189,3.26364994,0.0
74.11519623,1973.680054,5.668409824,50.99890137,65.936203,2.628220081,0.0
50.97060013,2084.179932,5.541790009,50.22090149,60.18930054,1.515259981,0.0
50.56930161,2082.409912,5.786300182,50.23189926,60.13299942,1.574569941,9.0
50.1283989,2082.820068,5.802490234,50.24250031,62.3370018,1.688070059,9.0
49.67490005,2090.340088,4.766660213,50.10839844,54.10910034,1.337350011,9.0
85.31939697,1913.219971,6.761970043,51.19729996,63.97769928,3.298209906,27.0
88.01709747,1908.98999,6.820839882,51.20199966,66.43049622,3.356270075,0.0
50.08549881,2089.97998,5.491489887,50.20429993,62.16070175,1.506219983,0.0
84.19830322,1931.469971,6.280620098,51.09939957,66.53530121,3.039109945,27.0
50.43280029,2099.389893,4.921700001,50.09260178,62.25109863,1.496629953,0.0
52.77349854,2083.01001,4.956989765,50.09270096,62.69229889,1.654340029,0.0
51.58200073,2083.330078,5.286200047,50.21239853,58.9762001,1.453179955,27.0
50.80920029,2066.780029,6.121310234,50.28210068,63.5082016,1.999410033,0.0
50.07569885,2088.050049,5.264649868,50.16659927,56.24309921,1.403740048,27.0
73.08529663,1977.569946,5.762909889,50.99330139,66.81729889,2.579269886,0.0
56.96590042,2038.76001,5.901120186,49.94950104,64.04029846,1.929469943,9.0
48.57410049,2090.800049,4.224490166,50.03879929,52.31719971,1.308359981,0.0
60.5522995,2040.77002,5.128379822,50.74649811,60.73669815,2.023430109,0.0
75.35299683,1969.930054,5.479599953,50.97909927,64.71820068,2.66208005,0.0
83.56459808,1932.01001,7.056169987,51.28269958,63.53540039,3.198120117,18.0
50.70660019,2087.070068,5.011909962,50.14350128,55.54489899,1.380689979,0.0
47.37609863,2092.870117,4.106900215,50.04729843,52.14810181,1.294700027,0.0
64.26210022,2023.699951,4.993740082,50.00490189,62.06520081,2.037329912,9.0
51.77059937,2078.27002,4.329659939,50.04470062,58.56819916,1.613549948,0.0
48.41970062,2091.72998,4.28305006,50.05479813,52.53649902,1.29914999,0.0
62.82289886,2026.23999,5.120800018,50.71900177,62.0082016,2.175679922,0.0
53.65169907,2060.110107,3.9088099,50.01290131,56.76319885,1.760419965,27.0
49.43870163,2090.560059,5.021430016,50.13769913,54.97109985,1.358610034,0.0
71.48290253,1987.439941,5.805550098,51.10380173,61.09320068,2.631429911,0.0
85.88169861,1923.140015,6.592649937,51.15280151,66.72070313,3.152889967,0.0
87.07800293,1901.930054,7.061500072,51.21020126,63.19929886,3.641380072,0.0
50.03820038,2092.310059,4.548980236,50.06520081,58.7677002,1.42881,9.0
79.57099915,1951.660034,5.748680115,51.01520157,65.69100189,2.829169989,18.0
