M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,PhosphorusTreatment
192.7400055,4023.969971,46.48180008,605.6970215,245.2579956,141.0579987,6.8
192.0200043,4038.199951,45.21039963,580.552002,247.2319946,138.3269958,6.8
192.6410065,4043.709961,52.28250122,601.6170044,262.2200012,146.1699982,10.1
209.5529938,3991.120117,38.65739822,590.5999756,206.8190002,130.7369995,0.0
196.9060059,4051.379883,51.30889893,584.4680176,265.9169922,143.9920044,3.4
181.7120056,4041.620117,42.45410156,600.4500122,241.3580017,137.7590027,6.8
157.7189941,4032.22998,40.12009811,743.8040161,239.3410034,159.871994,0.0
161.8809967,3987.209961,39.29230118,748.3339844,229.973999,157.4669952,0.0
223.246994,4050.77002,61.25579834,579.9949951,301.3829956,169.0330048,0.0
250.2290039,3938.330078,69.84369659,639.414978,295.0509949,182.8289948,0.0
217.6690063,3970.300049,62.38180161,638.6439819,273.6889954,171.6640015,0.0
191.173996,4056.850098,46.3091011,562.9680176,253.8470001,137.6940002,0.0
281.4760132,3951.209961,75.28669739,590.2260132,344.2420044,193.6620026,0.0
146.0050049,4085.949951,43.92739868,723.4959717,253.6750031,156.8849945,0.0
177.2929993,4015.52002,38.21770096,681.1599731,236.8600006,146.753006,10.1
144.1710052,4105.279785,44.90589905,717.7919922,258.6029968,153.9259949,3.4
199.6040039,4018.060059,40.17639923,560.3740234,212.7879944,121.7340012,6.8
184.8130035,4056.209961,54.5223999,607.4559937,269.2999878,149.6909943,10.1
198.5410004,3979.790039,36.64279938,691.2310181,242.4409943,151.9839935,0.0
165.7449951,4037.25,40.84740067,694.3930054,243.3339996,150.9620056,0.0
152.9369965,4038.090088,41.94449997,737.2940063,247.2510071,152.7140045,0.0
187.2830048,4041.72998,54.02870178,612.7009888,259.3009949,143.029007,0.0
207.8899994,4076.969971,55.52159882,577.026001,289.6799927,155.3809967,0.0
171.2740021,4064.590088,45.10319901,631.197998,249.0879974,142.923996,0.0
179.1730042,4031.040039,42.50220108,577.7410278,259.3659973,137.470993,6.8
163.6660004,4021.23999,39.94850159,718.1630249,239.8009949,153.7779999,3.4
187.6549988,4017.189941,54.29859924,630.8530273,252.7870026,147.7859955,3.4
171.2899933,4012.459961,37.6344986,713.7139893,235.1130066,152.2709961,0.0
200.7019958,3983.639893,37.58000183,636.7329712,223.9629974,140.5299988,10.1
143.9299927,4092.439941,43.89770126,720.1420288,254.2449951,155.5619965,0.0
179.1029968,4065.179932,43.42649841,586.8369751,249.0399933,137.223999,0.0
147.822998,4091.0,44.62350082,720.4810181,255.0160065,154.1210022,3.4
274.4100037,3951.540039,73.81079865,599.0960083,336.9549866,190.6100006,6.8
227.8339996,4029.25,63.10969925,588.2789917,304.9490051,172.901001,0.0
187.0269928,3974.02002,58.00519943,658.3839722,250.0800018,165.1390076,0.0
181.6109924,4009.97998,56.19779968,661.6129761,261.2550049,153.8999939,3.4
193.8450012,4030.080078,44.93999863,589.5969849,243.378006,138.9210052,0.0
262.0,3940.370117,71.62490082,620.7730103,313.6530151,184.2429962,0.0
206.7109985,3983.919922,37.59999847,630.8939819,219.8589935,138.8869934,10.1
165.0659943,3999.280029,37.96269989,751.7540283,228.5010071,160.0579987,0.0
319.0700073,3916.23999,79.52600098,572.257019,360.598999,205.5079956,0.0
166.2339935,3986.459961,39.11949921,740.848999,227.7330017,156.1210022,0.0
176.8269958,4021.780029,39.18870163,667.6619873,237.9880066,145.1300049,0.0
147.3110046,4125.709961,46.26520157,693.5960083,263.1730042,152.5460052,0.0
293.3659973,3922.26001,80.73860168,601.5640259,348.0069885,195.6459961,0.0
156.1329956,4022.129883,40.87329865,741.6719971,242.826004,153.4640045,3.4
179.7230072,4063.360107,43.29130173,581.8129883,250.3329926,136.9329987,0.0
127.2060013,4143.189941,45.23809814,721.2280273,272.2839966,157.4700012,3.4
228.9230042,4007.73999,64.89109802,603.5239868,300.7109985,174.2019958,0.0
284.3190002,3932.649902,82.33390045,611.0170288,335.4880066,190.9360046,6.8
182.2660065,4032.659912,41.41379929,620.3809814,237.1340027,140.0110016,0.0
318.368988,3901.75,79.35160065,588.5839844,373.9960022,203.0509949,6.8
308.125,3926.0,78.87580109,577.0770264,358.9590149,204.9980011,0.0
160.8670044,4035.879883,41.04219818,710.9030151,243.9730072,153.0059967,0.0
198.3220062,4055.969971,51.78350067,580.3889771,269.9440002,144.3970032,0.0
288.881012,3922.290039,78.57119751,606.5599976,341.1659851,191.0800018,6.8
155.5879974,4041.330078,40.3431015,736.9359741,244.5950012,153.7449951,0.0
160.3820038,4015.75,39.13059998,748.4019775,234.2660065,159.977005,0.0
235.2839966,4014.219971,65.45179749,591.8270264,310.0270081,176.0010071,0.0
195.4589996,4062.790039,57.90719986,584.6489868,280.2229919,155.1920013,0.0
172.9089966,4038.219971,41.73920059,657.1409912,241.7850037,145.8379974,0.0
208.9929962,3995.080078,61.32490158,632.8439941,276.1629944,167.3480072,3.4
206.1369934,3983.719971,40.42399979,632.6119995,224.4609985,142.0740051,10.1
143.0070038,4086.389893,42.86809921,699.6939697,247.0509949,147.8959961,10.1
196.1600037,4016.330078,43.1352005,592.2600098,232.3919983,135.8540039,6.8
217.4049988,4026.340088,62.41650009,602.3400269,293.0239868,169.1040039,0.0
269.696991,3920.570068,75.52960205,631.809021,311.4809875,191.3760071,0.0
172.6690063,4055.47998,43.90719986,635.6729736,246.2559967,143.2460022,0.0
283.2659912,3943.969971,75.00170135,595.1300049,344.2430115,192.6190033,6.8
193.7339935,3993.590088,36.87450027,664.5830078,233.3110046,144.8000031,0.0
148.470993,4078.419922,43.81269836,725.848999,251.5939941,157.7290039,0.0
143.0410004,4106.709961,44.02569962,707.8729858,252.9199982,151.2960052,0.0
203.4069977,3991.669922,38.63190079,607.4279785,215.9869995,135.552002,0.0
190.7400055,4048.129883,45.34059906,572.7219849,250.8679962,137.1230011,0.0
225.3630066,4040.300049,61.82920074,584.1569824,303.4119873,172.3730011,0.0
187.5670013,4054.169922,44.32260132,564.1690063,253.2510071,136.8220062,0.0
297.8380127,3927.639893,81.53700256,589.4569702,355.4849854,202.1779938,0.0
195.6269989,4061.040039,54.2521019,590.6099854,271.7130127,146.3150024,0.0
234.9859924,3957.23999,66.2460022,634.007019,286.9779968,177.4400024,0.0
195.3130035,4044.540039,50.70019913,590.0819702,260.571991,143.5269928,0.0
276.3240051,3955.169922,74.57009888,592.7520142,340.4700012,192.3970032,0.0
142.276001,4134.919922,46.23429871,710.4970093,265.1570129,154.1750031,0.0
257.7739868,3981.72998,71.29810333,593.3569946,327.4379883,185.6719971,0.0
192.3009949,4054.850098,46.69319916,571.4890137,255.1119995,138.4440002,0.0
190.6369934,4064.219971,46.66270065,566.1129761,254.1199951,135.0850067,0.0
149.7079926,4062.47998,42.63660049,710.6339722,250.1929932,152.0839996,10.1
238.9340057,3958.689941,67.0911026,628.835022,293.0159912,178.0950012,10.1
267.0849915,3920.409912,74.5632019,636.4420166,306.947998,190.2039948,0.0
296.1069946,3928.879883,76.61650085,586.75,354.5150146,196.7559967,6.8
176.8809967,4036.219971,41.63389969,642.7999878,240.1419983,143.6430054,0.0
197.223999,4004.47998,59.74200058,641.0079956,271.4660034,164.9880066,3.4
