Ols_P_2_6,PhosphorusTreatment
4.254109859,0.0
3.972110033,16.9
4.241919994,0.0
4.139560223,0.0
4.017340183,0.0
3.975640059,0.0
4.548999786,0.0
3.905780077,0.0
3.822119951,0.0
4.268899918,0.0
4.30505991,0.0
3.81614995,16.9
4.019050121,0.0
3.967299938,0.0
3.872760057,28.2
3.876640081,0.0
4.490190029,16.9
4.379869938,0.0
3.902129889,16.9
4.497129917,16.9
3.739330053,22.5
3.913870096,28.2
3.801650047,0.0
3.833400011,0.0
3.975909948,28.2
3.797800064,16.9
4.356750011,0.0
3.960989952,0.0
3.846899986,16.9
3.915060043,0.0
4.149069786,0.0
3.714529991,0.0
3.831749916,0.0
3.815459967,22.5
4.425769806,0.0
4.15651989,0.0
4.201000214,0.0
3.797310114,28.2
3.823899984,22.5
4.316599846,28.2
4.090410233,0.0
4.354800224,0.0
4.188109875,0.0
4.122069836,0.0
3.794159889,0.0
3.827769995,0.0
3.843240023,22.5
4.359109879,0.0
3.957799911,16.9
4.492619991,16.9
3.770639896,0.0
3.921740055,16.9
3.969470024,0.0
3.813539982,28.2
4.337329865,22.5
4.396100044,0.0
3.878309965,28.2
3.849289894,0.0
4.315999985,0.0
4.341919899,28.2
4.349579811,0.0
4.492119789,0.0
3.9056499,0.0
4.23074007,0.0
3.825860023,0.0
3.921550035,0.0
4.446579933,28.2
3.820280075,28.2
4.367350101,0.0
4.327260017,16.9
4.37706995,0.0
3.998070002,0.0
3.821719885,0.0
4.030419827,0.0
3.828510046,22.5
3.976809978,0.0
3.783879995,0.0
4.135849953,0.0
3.779580116,0.0
3.871890068,0.0
3.849240065,0.0
3.769140005,22.5
3.808209896,22.5
3.787329912,28.2
3.898149967,0.0
3.682019949,16.9
3.928410053,0.0
4.00895977,0.0
4.042129993,0.0
3.974570036,0.0
3.856270075,28.2
3.956720114,0.0
3.756629944,0.0
4.014349937,0.0
4.518449783,0.0
3.825799942,22.5
4.406149864,0.0
4.416309834,0.0
3.998300076,0.0
4.135310173,28.2
3.826050043,0.0
3.988569975,0.0
3.905610085,0.0
3.905109882,16.9
4.371630192,22.5
4.106050014,0.0
3.81520009,28.2
3.905369997,0.0
3.864650011,16.9
3.861639977,0.0
4.330609798,0.0
4.346129894,22.5
4.262320042,0.0
3.701280117,22.5
4.233870029,0.0
4.430749893,0.0
4.122419834,22.5
4.069489956,0.0
3.928999901,16.9
4.289720058,0.0
