M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,PhosphorusTreatment
101.0719986,3969.610107,42.12509918,361.2999878,122.9580002,8.908960342,0.0
230.9149933,4069.469971,42.27669907,352.276001,111.2959976,8.487270355,28.2
121.8310013,4295.060059,41.05830002,345.7529907,118.2730026,9.020190239,16.9
177.9019928,3994.050049,41.70669937,361.6409912,121.0449982,7.656370163,0.0
210.1150055,4251.279785,42.10960007,344.7550049,117.3479996,7.835239887,0.0
146.9029999,4173.5,42.40750122,349.7369995,119.1989975,8.434599876,22.5
179.4960022,3981.149902,41.99739838,360.5239868,118.6389999,8.743849754,0.0
196.7740021,3953.340088,42.39220047,361.4179993,120.1620026,8.412579536,16.9
113.8119965,4184.649902,42.26089859,346.4089966,115.5820007,9.108189583,22.5
215.3699951,4144.350098,41.38180161,354.9809875,119.375,7.858990192,0.0
214.6999969,4269.459961,41.80360031,347.1329956,120.3610001,7.77203989,0.0
172.0279999,4303.879883,42.46569824,346.5100098,108.086998,8.584320068,0.0
173.7799988,4020.030029,42.57120132,355.8659973,117.8170013,8.812520027,0.0
215.5059967,4095.100098,41.40480042,354.9089966,115.6900024,7.736959934,0.0
108.7399979,3932.669922,41.02000046,362.8710022,123.3050003,8.870980263,0.0
89.56900024,3922.719971,42.11019897,364.0539856,125.0630035,8.92580986,0.0
195.7330017,4033.780029,41.71450043,361.3150024,120.7990036,7.596439838,22.5
109.5770035,4022.290039,41.67739868,356.4379883,121.4260025,8.838009834,28.2
199.9490051,4194.589844,43.54249954,348.019989,110.1439972,8.776849747,22.5
206.4539948,4188.290039,42.66149902,344.1459961,111.163002,7.69863987,0.0
242.9669952,3931.629883,42.41699982,362.5329895,122.2850037,8.271400452,16.9
174.5549927,3992.649902,41.70880127,361.2059937,120.9499969,7.669960022,0.0
100.0849991,4107.319824,41.99509811,348.8460083,115.7850037,8.939129829,0.0
247.9279938,4019.48999,42.06159973,357.6610107,117.4960022,8.577939987,0.0
211.6829987,4147.060059,41.59469986,350.0249939,115.7699966,7.826000214,16.9
103.6309967,3932.459961,41.02370071,362.8080139,123.3690033,8.892450333,0.0
132.2440033,4222.100098,41.49449921,349.3779907,117.0660019,9.654850006,0.0
210.6260071,4215.330078,42.89410019,345.4700012,115.5559998,7.820439816,28.2
214.2089996,4136.660156,41.38090134,355.0320129,119.1559982,7.852369785,0.0
186.9839935,3899.73999,41.25130081,365.1400146,122.1399994,8.908129692,0.0
112.0739975,4179.609863,42.09220123,346.4110107,115.814003,8.883230209,22.5
78.83509827,3972.840088,41.03659821,364.1300049,123.538002,8.948710442,0.0
207.5,4077.300049,41.7336998,356.9190063,119.4309998,7.631869793,22.5
175.6170044,4323.720215,41.77809906,348.0840149,120.4899979,7.832009792,0.0
96.83149719,3917.199951,42.11899948,363.3269958,124.4369965,8.904700279,0.0
235.0619965,4059.699951,42.26190186,354.0740051,115.2040024,8.624030113,28.2
133.8860016,4177.52002,42.2602005,350.0870056,116.3450012,9.000430107,22.5
204.4900055,3902.419922,42.39099884,362.678009,121.2350006,8.400500298,0.0
213.2429962,4158.200195,42.6515007,348.6719971,117.473999,7.739210129,0.0
161.8609924,4021.389893,41.71659851,359.4689941,120.8150024,7.727530003,22.5
138.8470001,4001.560059,41.67950058,356.6669922,122.4769974,8.697500229,28.2
117.848999,4175.040039,42.24950027,349.6210022,116.8119965,9.057970047,22.5
228.072998,3986.25,42.04660034,358.6640015,119.4729996,8.515810013,0.0
212.779007,4210.080078,42.89649963,346.9979858,117.0780029,7.817709923,28.2
132.6699982,3966.310059,41.97280121,357.6749878,119.3499985,8.275489807,0.0
156.5249939,4018.27002,41.71509933,359.7309875,121.1220016,7.744329929,22.5
264.3460083,3929.629883,42.42290115,359.5849915,118.9980011,8.38792038,0.0
117.5210037,3934.02002,41.01229858,363.2130127,123.3160019,8.833510399,0.0
160.2350006,3917.639893,42.63460159,361.0849915,121.3190002,8.432350159,0.0
187.3939972,3999.780029,41.66989899,366.6119995,123.0009995,7.613550186,0.0
250.1459961,4026.820068,42.06219864,357.5369873,117.2089996,8.597410202,0.0
124.9260025,4180.689941,42.25400162,350.026001,116.7679977,9.027099609,22.5
134.3269958,3966.969971,42.15269852,361.0660095,123.0049973,8.80591011,0.0
141.5050049,4283.290039,42.12639999,346.0920105,118.8679962,8.623940468,16.9
230.003006,4076.98999,43.32339859,351.803009,114.0390015,8.521510124,0.0
113.4290009,4181.859863,42.082901,348.1929932,116.7139969,8.817170143,22.5
112.5820007,4181.790039,42.27130127,344.75,115.2630005,9.132229805,22.5
209.6000061,4220.259766,42.89070129,344.4760132,114.4860001,7.834780216,28.2
171.0899963,3994.5,41.71089935,360.7650146,120.8779984,7.684430122,0.0
209.3450012,4171.970215,43.55390167,349.7479858,111.3899994,8.65089035,22.5
172.4210052,4030.189941,41.7193985,358.9989929,120.1839981,7.69231987,22.5
109.7399979,4311.830078,41.49010086,348.7279968,117.3339996,9.40939045,16.9
209.5019989,4087.199951,41.73659897,356.4890137,119.7160034,7.645599842,22.5
182.1959991,4198.580078,43.60419846,348.6069946,112.5670013,8.671339989,22.5
194.2749939,4236.27002,42.76580048,348.4859924,109.7139969,8.671349525,0.0
203.3580017,4260.859863,42.09500122,341.4620056,116.1419983,7.863599777,0.0
215.2749939,4141.850098,42.65019989,349.7709961,118.6330032,7.751299858,0.0
213.6419983,4151.069824,42.65069962,349.1210022,117.8509979,7.741539955,0.0
255.3639984,3939.629883,42.42219925,361.3210144,121.1439972,8.305480003,16.9
136.8529968,4217.129883,41.68909836,350.8989868,117.4649963,9.059169769,0.0
122.3399963,4230.029785,41.50540161,349.2449951,117.3949966,9.606340408,0.0
104.4899979,4025.409912,41.67549896,356.5150146,121.2360001,8.865200043,28.2
269.2479858,3883.22998,42.42570114,367.1319885,125.2229996,8.316399574,0.0
140.3679962,4336.259766,42.08589935,346.4660034,120.6500015,8.902680397,0.0
205.352005,4050.310059,41.72930145,357.9219971,120.1790009,7.64316988,0.0
214.3009949,4149.540039,42.65069962,349.3450012,118.189003,7.74630022,0.0
125.0510025,4226.589844,41.50159836,349.3649902,117.3479996,9.621080399,0.0
252.177002,4041.469971,42.06340027,357.2640076,116.8379974,8.615659714,0.0
210.548996,4091.5,41.7378006,356.368988,119.8970032,7.651569843,22.5
137.3009949,4052.040039,42.27819824,356.723999,120.0920029,8.712670326,28.2
121.3669968,4176.129883,42.25130081,349.9580078,116.8590012,9.04102993,22.5
189.0789948,4266.060059,42.45800018,348.677002,110.362999,8.561829567,0.0
109.4000015,4310.799805,41.4939003,347.6489868,116.560997,9.40252018,16.9
105.5309982,4100.950195,41.99879837,351.9899902,118.0699997,8.911950111,0.0
118.4749985,4299.129883,41.06719971,345.9620056,118.3010025,9.028300285,16.9
216.4839935,4183.129883,42.89339828,349.6430054,118.8539963,7.818980217,28.2
158.5720062,4274.02002,43.09899902,348.5150146,114.5960007,8.693619728,0.0
188.7890015,4197.350098,42.68109894,345.4179993,115.8399963,7.814229965,0.0
137.8419952,4176.430176,42.26300049,350.0180054,116.1019974,8.99036026,22.5
139.1790009,4067.649902,41.69350052,355.2650146,118.9280014,8.408040047,28.2
130.6380005,4161.410156,42.48339844,348.473999,116.7259979,8.505319595,0.0
124.1900024,4340.22998,42.09479904,348.3439941,121.5390015,8.974100113,0.0
116.1559982,4353.890137,42.09320068,348.3510132,121.2340012,8.985289574,0.0
204.5169983,4058.800049,41.72660065,358.4890137,119.4660034,7.604670048,22.5
192.0140076,4264.740234,42.11289978,345.6910095,117.2020035,7.891970158,0.0
101.052002,4039.800049,42.23949814,356.6860046,120.3170013,8.892860413,28.2
122.913002,4297.560059,41.45920181,351.7730103,117.2809982,9.488840103,16.9
166.1999969,4110.120117,41.55149841,351.4039917,117.6709976,8.079790115,16.9
226.0529938,4093.080078,43.32109833,351.4630127,113.6740036,8.528140068,0.0
114.9430008,4183.540039,42.08229828,348.42099,116.8339996,8.791689873,22.5
180.1600037,4253.100098,42.76449966,347.8909912,110.2020035,8.665060043,0.0
253.0390015,4044.090088,42.06370163,357.2340088,116.7890015,8.619000435,0.0
198.3110046,4227.740234,42.91669846,344.7680054,115.2850037,7.871250153,28.2
173.2230072,4249.939941,42.76300049,348.25,111.4940033,8.646280289,0.0
117.9499969,4302.890137,41.46659851,351.2090149,117.5559998,9.467100143,16.9
193.6470032,4200.169922,43.56750107,348.4140015,110.8909988,8.698960304,22.5
236.4559937,4058.51001,42.26250076,354.25,115.3079987,8.630470276,28.2
176.7460022,4227.970215,42.96340179,346.368988,116.8889999,7.982009888,28.2
257.8930054,3971.719971,42.4239006,358.7369995,118.3320007,8.391880035,16.9
183.3650055,4256.189941,42.7521019,349.2319946,109.1490021,8.756039619,0.0
216.6759949,4227.660156,42.10770035,348.5400085,118.8450012,7.806429863,0.0
212.7649994,4165.720215,42.65250015,348.1090088,116.9929962,7.736770153,0.0
129.4049988,4334.689941,42.22689819,347.8999939,114.5429993,9.274640083,0.0
