H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2
75.23880005,2579.080078,8.075260162,54.64709854,50.20629883,9.94960022
63.42760086,2921.280029,5.48718977,57.98830032,40.59349823,5.120540142
123.1549988,1795.540039,17.05069923,71.42060089,96.25460052,56.37659836
62.74240112,2896.76001,5.416190147,57.64419937,37.17179871,4.695179939
61.17559814,3116.689941,5.49946022,63.28279877,46.43899918,4.855659962
63.84980011,3230.419922,5.898509979,65.10669708,51.26470184,5.046219826
116.5839996,1749.900024,15.82180023,66.76260376,97.20069885,45.94820023
106.2399979,2260.320068,14.15369987,69.40000153,62.32040024,48.54069901
63.48899841,2998.530029,5.635640144,61.47299957,72.15239716,5.16508007
61.5591011,3033.22998,5.415860176,62.20560074,52.96879959,4.897530079
97.82730103,2342.189941,12.62769985,66.89099884,54.0522995,43.16009903
111.1269989,1897.579956,14.83440018,64.57649994,68.44689941,42.47380066
129.5820007,2202.360107,18.25079918,81.51039886,89.46640015,74.30950165
127.9240036,1927.709961,17.91270065,77.8348999,100.9079971,68.93460083
109.0920029,1806.22998,14.24370003,59.4516983,50.42200089,35.39020157
128.7630005,1520.900024,17.84659958,65.46820068,84.69719696,46.49160004
137.5440063,1467.329956,19.32600021,66.46350098,79.81349945,47.57139969
132.6759949,1443.599976,18.38800049,64.7507019,72.6242981,44.9966011
98.03669739,2121.100098,12.58209991,60.71640015,42.98970032,35.0379982
66.60610199,3174.709961,6.169620037,63.63539886,50.70479965,5.164559841
100.7009964,2046.800049,12.88129997,58.88980103,42.30220032,32.56980133
66.24880219,3253.919922,6.216219902,65.07420349,55.20930099,5.151229858
132.2290039,1838.069946,18.64220047,74.73889923,100.4469986,62.44079971
132.6119995,1496.280029,18.52169991,66.35829926,87.08550262,47.8572998
119.6869965,1668.819946,16.32480049,64.98899841,76.92539978,45.33119965
121.0350037,1593.23999,16.50449944,63.13430023,69.2589035,42.55770111
115.1159973,1632.680054,15.48270035,60.72700119,54.01689911,40.53010178
88.56510162,2378.399902,10.90909958,61.69599915,46.06119919,35.27030182
123.5189972,2326.449951,17.19490051,75.51650238,66.82939911,60.27119827
61.89289856,3183.98999,5.683969975,64.17810059,42.73519897,4.854579926
92.76399994,2266.629883,11.66670036,61.42480087,44.70119858,35.07410049
63.63079834,2905.800049,5.514339924,57.30479813,36.28450012,4.924600124
115.6409988,2398.75,15.84020042,74.48000336,65.20770264,56.81900024
64.73509979,3002.469971,5.775149822,61.08589935,57.84899902,5.393119812
63.13990021,2903.340088,5.457109928,57.57580185,37.24449921,4.806169987
64.16950226,3432.23999,6.150139809,68.05329895,37.94689941,4.863490105
66.05940247,3215.02002,6.140669823,64.56900024,61.34529877,5.267459869
65.19850159,3047.100098,5.867609978,61.50559998,54.92549896,5.243460178
88.57969666,2409.47998,11.01860046,64.06400299,50.75910187,40.46770096
105.4189987,1895.469971,13.64410019,58.98310089,45.44070053,34.11920166
113.6800003,1717.47998,15.00399971,59.93040085,55.77429962,36.52030182
66.35649872,3460.320068,6.463540077,67.78859711,45.28649902,5.046609879
62.64039993,3003.030029,5.52259016,61.57709885,75.01139832,4.996729851
