M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2
158.4799957,3383.610107,38.56399918,549.5570068,173.8000031,7.451079845
301.7929993,3457.790039,47.6617012,500.8609924,161.1029968,11.56599998
390.8080139,3552.27002,53.24129868,554.0349731,164.2969971,14.54119968
310.8049927,2634.75,61.29119873,405.9920044,203.0130005,19.13839912
301.2279968,2492.689941,64.21549988,326.6080017,202.470993,21.56399918
496.1879883,2319.370117,94.44429779,297.1879883,221.3220062,30.59410095
322.3049927,3471.040039,47.99580002,524.8049927,160.8170013,12.63630009
246.3569946,3516.98999,46.12390137,520.9160156,171.7870026,11.9005003
307.276001,3459.959961,47.07130051,527.6409912,161.8659973,12.40120029
201.3639984,3505.580078,43.60860062,519.5549927,174.4309998,10.78730011
191.6860046,3455.679932,42.61740112,505.7090149,176.7299957,9.532770157
259.4809875,2701.139893,53.10020065,421.9890137,202.2189941,16.71419907
393.6640015,3550.25,53.18000031,546.6010132,160.2640076,14.52700043
142.7640076,2759.629883,43.84389877,415.5589905,189.5859985,13.7553997
168.673996,3476.060059,41.10760117,521.552002,178.2850037,9.025489807
250.802002,3442.340088,46.8348999,473.2330017,173.5859985,9.939459801
284.7749939,2956.189941,57.32820129,427.1090088,187.2680054,15.8423996
109.4140015,2794.280029,38.46260071,419.9869995,191.1889954,12.34990025
152.5800018,2753.76001,43.19810104,424.6149902,188.548996,13.85490036
275.6130066,3436.530029,44.68249893,545.1890259,162.3000031,11.84459972
348.5039978,3486.649902,49.52199936,524.3530273,159.4420013,13.19779968
248.6130066,2705.310059,51.30870056,422.1789856,200.9830017,16.28650093
153.7779999,3018.060059,42.1792984,460.5440063,178.2570038,11.01369953
132.9069977,3381.02002,36.52519989,562.9019775,172.9949951,6.49822998
260.1390076,3423.830078,43.54990005,546.9680176,162.3430023,11.14379978
291.4840088,3448.77002,46.06829834,531.3909912,163.2610016,12.16919994
340.4379883,3092.649902,63.64910126,467.45401,191.5390015,17.24340057
203.0180054,3410.110107,41.57910156,523.5170288,169.8560028,8.217080116
344.9039917,2968.810059,65.37039948,443.4899902,192.1269989,19.3076992
268.1220093,3430.120117,44.15499878,545.2620239,162.1970062,11.4769001
416.223999,2398.23999,73.57820129,292.105011,196.6990051,25.59390068
156.8359985,2750.02002,38.81719971,431.6919861,190.904007,13.30749989
298.3340149,3494.120117,49.60960007,499.3389893,170.1909943,11.76830006
463.1270142,2364.47998,83.5821991,284.6929932,204.0119934,28.11219978
163.6560059,2733.669922,42.59140015,422.3519897,188.4889984,14.10210037
406.1400146,2616.610107,82.52330017,387.2510071,211.4329987,25.54490089
449.1570129,2495.810059,80.76730347,317.2659912,204.7339935,25.22290039
146.6100006,2914.97998,42.0583992,437.9930115,187.1640015,12.36520004
366.6329956,2550.449951,66.92179871,362.3340149,200.628006,20.80800056
461.3059998,2475.969971,87.71959686,362.7860107,214.8130035,26.63800049
314.4609985,3466.27002,47.10979843,548.4160156,161.5529938,12.99530029
522.6309814,2292.840088,106.8239975,335.8150024,255.7230072,32.54570007
484.2900085,2302.98999,99.94010162,326.6159973,239.9929962,30.92539978
273.9129944,2476.889893,68.80860138,341.7470093,208.7920074,23.24200058
344.4219971,3513.790039,51.01720047,531.4299927,166.5169983,13.06910038
193.3950043,3121.389893,44.24250031,482.2390137,178.8309937,11.01329994
248.4149933,3503.530029,46.2723999,515.1309814,171.8650055,11.6868
422.4729919,2517.600098,76.82219696,346.105011,206.529007,23.61459923
251.3139954,3418.290039,44.37269974,507.7600098,162.6730042,9.896240234
344.29599,3515.98999,51.03419876,533.5709839,166.7779999,13.11429977
212.1809998,3485.98999,44.21120071,510.3089905,175.9499969,10.39999962
148.7550049,3376.060059,37.34960175,556.4910278,171.1970062,6.757609844
158.822998,3111.01001,41.46229935,485.7600098,177.5970001,10.19629955
278.5880127,3439.429932,44.87390137,545.8660278,162.4850006,12.0067997
316.9769897,3492.449951,50.14910126,496.8240051,166.9149933,11.82219982
255.4340057,3417.5,43.65069962,534.7979736,162.4499969,10.75629997
187.8690033,2963.550049,45.70940018,439.3640137,177.753006,12.60770035
220.7510071,3414.899902,42.66849899,513.4840088,167.3439941,8.663599968
397.3139954,2550.050049,76.45690155,388.2380066,208.9600067,23.3253994
159.4620056,3154.030029,40.87269974,496.9089966,180.154007,10.15190029
378.3859863,2557.97998,71.50669861,378.0509949,205.1210022,22.03269958
525.4710083,2386.23999,101.7929993,347.1839905,224.253006,30.88409996
420.4620056,2518.570068,75.75489807,340.9450073,205.1959991,23.36160088
184.0370026,3182.26001,43.32989883,495.5610046,175.1889954,10.10340023
407.2650146,2573.75,83.4897995,377.4710083,216.8119965,26.0333004
577.0349731,2289.709961,115.1839981,338.3370056,235.9199982,34.91289902
362.3859863,3524.22998,51.76459885,536.53302,164.8240051,13.54459953
218.8170013,3426.25,44.06880188,485.6740112,174.6309967,9.111280441
327.0119934,2542.560059,62.94329834,348.1809998,197.0670013,20.40589905
225.8119965,3397.570068,41.95700073,530.7219849,163.927002,9.404080391
344.6199951,3511.72998,50.99810028,529.2139893,166.2200012,13.02400017
426.2999878,2416.330078,75.40380096,296.1809998,198.6719971,25.62899971
219.1999969,3453.340088,44.56959915,496.2780151,175.5130005,10.21959972
276.9830017,3462.570068,47.90269852,471.5589905,166.9889984,10.28110027
199.7140045,2585.879883,57.95320129,363.7099915,203.2599945,19.70190048
180.947998,3514.5,42.39960098,525.5020142,175.2310028,10.47369957
322.572998,3487.800049,48.77289963,502.8150024,160.6499939,11.95149994
247.5980072,3454.949951,46.17770004,475.2359924,172.072998,9.679430008
179.0310059,2703.969971,48.82970047,388.8919983,190.098999,15.30169964
242.2539978,2629.790039,55.0094986,363.3469849,190.0500031,17.37879944
140.125,3402.290039,37.64210129,551.5029907,175.6529999,7.231180191
283.868988,3444.909912,45.167099,548.3649902,162.673996,12.25269985
283.0400085,2601.830078,56.34540176,380.4440002,192.8370056,18.11310005
180.1909943,2713.379883,42.70729828,426.026001,188.5469971,14.50409985
314.7170105,2544.399902,62.2154007,346.1409912,196.8410034,20.27490044
147.4539948,3440.810059,38.91389847,534.75,178.7230072,8.007949829
377.8770142,3534.51001,52.36130142,543.6040039,163.253006,13.99960041
231.2669983,3206.5,46.50469971,476.7510071,169.5579987,11.22509956
387.3779907,3541.699951,52.45949936,553.2860107,159.0950012,14.40939999
224.5570068,3469.800049,45.04339981,501.7520142,173.9649963,10.67630005
181.654007,3388.530029,40.2397995,538.1199951,172.7940063,7.954599857
204.2449951,3390.820068,40.95399857,529.75,167.1860046,8.307390213
118.586998,2966.340088,38.56100082,459.1629944,182.401001,10.6882
272.2929993,3429.610107,44.94760132,529.2329712,162.6349945,11.52960014
147.1179962,2927.620117,41.77709961,442.5190125,182.1060028,12.02820015
201.2810059,3498.48999,43.59680176,516.8900146,174.5910034,10.6651001
256.3190002,2949.810059,54.0196991,430.3389893,184.6950073,14.77620029
362.7850037,2403.810059,75.60449982,315.7980042,213.0700073,24.89509964
512.3129883,2333.949951,99.7141037,313.5419922,229.1190033,31.4015007
364.0010071,3519.070068,51.59109879,532.1929932,163.3589935,13.48379993
249.9049988,3449.189941,46.52909851,473.947998,172.5549927,9.808609962
464.8800049,2313.379883,97.13819885,325.5870056,234.8090057,30.21619987
238.2369995,2687.909912,49.61059952,417.7520142,196.753006,16.10610008
222.1779938,2630.899902,54.01520157,360.7510071,192.6569977,17.34679985
242.1450043,3447.939941,46.17060089,488.3850098,174.5599976,10.64900017
385.0050049,3541.209961,53.07690048,533.2379761,161.7870026,14.16079998
228.0310059,3422.320068,45.25590134,472.4379883,176.8059998,9.701230049
451.8980103,2346.75,80.26979828,273.5960083,196.326004,27.8288002
298.2090149,3462.449951,48.49679947,479.7390137,162.4620056,10.91819954
456.8739929,2303.969971,86.001297,284.2730103,214.2259979,28.8465004
130.6000061,3377.080078,36.2220993,563.4400024,172.2830048,6.315810204
313.1499939,2534.0,62.58810043,341.0069885,197.5149994,20.56189919
172.451004,3402.860107,40.47639847,500.5429993,172.947998,8.598730087
277.7279968,3450.280029,49.02640152,484.1019897,173.5570068,10.76640034
157.3379974,3380.899902,38.3506012,553.1550293,173.276001,7.321410179
377.6239929,3512.689941,51.71360016,538.8829956,159.5429993,14.09280014
485.1419983,2414.669922,90.65329742,313.0320129,215.9730072,28.51589966
343.928009,3504.879883,50.74449921,518.3950195,164.625,12.76270008
