M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,PhosphorusTreatment
395.2709961,3530.939941,58.08720016,400.5490112,236.9029999,9.412269592,18.0
457.5390015,3306.189941,56.78789902,402.9159851,257.5669861,10.01990032,18.0
350.2080078,3792.860107,64.33840179,414.2000122,225.8500061,9.938929558,27.0
342.0360107,3779.199951,62.05149841,410.1900024,210.5449982,9.395019531,9.0
335.9970093,3773.100098,61.18999863,407.7449951,209.1049957,9.080169678,0.0
404.2590027,3366.5,52.92570114,389.6990051,237.6300049,9.736929893,9.0
399.5429993,3553.600098,58.84360123,401.901001,239.4499969,9.649029732,27.0
487.9530029,3412.580078,56.46110153,416.052002,270.1940002,10.25619984,0.0
473.6010132,3483.26001,57.86399841,420.678009,259.2149963,10.89939976,18.0
384.1289978,3458.090088,55.38370132,394.1459961,228.6060028,9.077819824,9.0
365.6560059,3545.540039,55.75740051,395.7460022,212.5540009,9.070699692,27.0
408.2130127,3702.98999,61.61650085,415.1960144,237.4869995,11.59420013,0.0
354.5679932,3788.159912,65.41349792,412.3080139,233.9839935,9.541009903,27.0
525.7269897,3510.169922,56.72109985,438.0289917,272.0220032,11.2177,18.0
480.5599976,3466.699951,57.4233017,419.6919861,264.1480103,10.09160042,18.0
306.3469849,3786.419922,60.1576004,405.1119995,197.9920044,9.178030014,0.0
400.3670044,3470.709961,51.20619965,393.9849854,210.2740021,9.996239662,0.0
398.6659851,3375.879883,54.72610092,392.3160095,234.8130035,9.340709686,9.0
504.4060059,3428.0,57.42440033,422.4389954,269.7869873,10.54269981,0.0
331.3450012,3750.199951,60.82300186,405.571991,203.2720032,9.082940102,0.0
372.3900146,3525.840088,50.31719971,390.3460083,203.3390045,9.764220238,27.0
371.946991,3619.429932,59.94110107,402.5029907,233.3379974,9.025050163,9.0
345.9660034,3793.469971,63.49029922,410.1380005,231.1499939,9.092459679,0.0
377.5270081,3507.889893,50.64070129,391.1629944,201.0039978,9.859350204,27.0
