M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6
193.5410004,4002.120117,44.2840004,637.4210205,241.3619995,145.3280029
159.677002,4057.52002,42.44789886,693.7290039,246.4720001,147.9299927
163.9589996,4055.25,42.32130051,681.4530029,244.7350006,145.9190063
174.6190033,4063.290039,45.06010056,615.6459961,248.5039978,140.8840027
143.9649963,4120.439941,46.09719849,712.1610107,262.3519897,153.8659973
178.8220062,4043.51001,42.62139893,619.9979858,241.6809998,140.598999
199.2369995,4058.02002,52.38529968,580.2940063,272.651001,145.3070068
184.8829956,4061.050049,43.83660126,563.7310181,254.2279968,137.6569977
168.3399963,4053.26001,42.25350189,667.0089722,243.0950012,143.6029968
191.654007,4062.560059,45.87919998,559.7810059,253.0249939,136.7079926
195.1900024,4050.540039,52.52299881,593.6920166,266.7810059,146.1100006
192.5599976,4003.330078,45.10319901,636.9890137,242.451004,145.7660065
194.904007,4047.699951,49.14400101,588.440979,259.8469849,143.7100067
239.2070007,3969.399902,66.33480072,621.6380005,296.3670044,174.2610016
192.6060028,4045.879883,46.63259888,579.4790039,252.9089966,139.9660034
191.8289948,4021.189941,48.34489822,615.802002,253.2929993,149.2319946
146.6100006,4083.860107,43.89160156,724.2340088,253.2129974,157.1179962
179.5149994,4040.550049,41.85760117,578.539978,250.9700012,134.5110016
196.7030029,4025.919922,40.52959824,573.2080078,221.5700073,125.0889969
193.5330048,4028.570068,43.50180054,578.1530151,237.7819977,134.526001
215.0780029,4030.530029,61.92380142,601.7449951,291.5190125,167.9570007
153.6049957,4081.399902,43.79899979,693.1469727,251.5299988,147.0690002
166.3639984,4003.790039,37.66270065,746.7979736,232.253006,161.4889984
172.3170013,4012.610107,37.48550034,710.9609985,235.2570038,151.9140015
193.8470001,3978.959961,59.36830139,655.6329956,257.4769897,166.279007
190.1670074,4028.469971,42.07889938,569.65802,235.3609924,129.9340057
188.6519928,4031.179932,52.00080109,621.4769897,260.8059998,151.598999
188.302002,3985.439941,59.19729996,661.6110229,259.6040039,164.8190002
199.1130066,3982.060059,36.64820099,682.3259888,239.6950073,149.1159973
230.0970001,4005.409912,65.17240143,603.9710083,301.3370056,174.7200012
185.3840027,3980.050049,58.66809845,668.4829712,258.9349976,165.5440063
235.3209991,4015.120117,65.39430237,591.1339722,310.32901,175.9759979
166.4109955,3988.580078,39.19599915,739.7719727,228.5350037,155.9660034
191.9190063,4037.47998,45.03139877,580.1790161,246.6009979,138.0549927
215.6829987,4016.25,62.6955986,611.7420044,289.0679932,169.6320038
190.8269958,4008.52002,47.5646019,631.8140259,247.5429993,150.5050049
155.4029999,4076.25,43.65710068,691.7089844,251.3950043,147.9909973
193.2740021,4069.219971,55.40119934,592.34198,278.3569946,154.473999
230.7910004,3996.149902,65.64060211,610.0380249,299.0109863,175.5039978
199.3789978,4024.429932,59.9408989,627.0939941,277.8259888,162.5359955
227.7949982,3978.840088,64.33809662,625.4769897,287.9949951,171.7550049
174.9329987,4025.080078,39.40019989,678.5579834,239.0410004,148.6430054
179.677002,4055.370117,43.58539963,598.6190186,246.0749969,138.1699982
