M3_P_2_6,PhosphorusTreatment
8.346899986,16.9
8.738800049,0.0
8.881699562,0.0
7.719009876,0.0
7.6572299,0.0
8.503950119,0.0
8.943519592,22.5
8.533439636,0.0
8.601829529,0.0
7.849020004,0.0
7.744579792,0.0
7.820049763,0.0
8.562959671,0.0
8.371839523,0.0
8.752829552,28.2
9.031310081,16.9
8.675860405,22.5
8.361370087,16.9
9.272089958,0.0
9.079890251,22.5
9.644169807,0.0
8.865870476,0.0
8.844960213,22.5
8.403400421,16.9
8.53938961,0.0
8.647540092,0.0
8.77507019,0.0
9.510290146,16.9
8.679849625,0.0
7.892250061,0.0
8.766440392,28.2
8.765089989,0.0
8.406410217,16.9
8.264109612,16.9
8.575630188,0.0
8.62845993,0.0
8.868570328,28.2
7.750309944,0.0
8.728830338,22.5
8.553649902,0.0
7.891630173,16.9
8.95265007,0.0
8.608499527,0.0
8.61536026,0.0
9.531970024,0.0
8.576930046,0.0
8.714870453,28.2
8.351880074,28.2
8.151080132,0.0
7.68832016,0.0
7.87101984,16.9
8.644630432,0.0
7.609509945,0.0
8.628359795,0.0
8.170419693,0.0
8.371489525,16.9
7.885200024,16.9
8.53262043,0.0
7.802299976,0.0
7.824309826,0.0
7.934000015,28.2
8.984060287,0.0
9.032770157,22.5
9.048339844,28.2
7.705430031,0.0
9.429240227,16.9
7.842639923,28.2
7.8635602,0.0
7.899040222,0.0
7.863790035,16.9
8.671449661,22.5
7.658209801,22.5
8.383219719,0.0
8.919429779,0.0
7.818739891,28.2
7.659900188,0.0
8.838000298,22.5
9.573519707,0.0
8.715060234,22.5
8.568829536,0.0
8.540699959,0.0
8.03055954,16.9
9.072130203,0.0
8.35861969,0.0
7.927050114,0.0
8.973589897,0.0
7.736360073,16.9
7.972239971,28.2
8.304309845,16.9
8.661140442,0.0
8.613490105,22.5
8.333660126,0.0
7.637710094,0.0
8.879400253,0.0
8.573699951,0.0
8.375370026,0.0
8.657589912,0.0
7.646379948,0.0
8.833439827,0.0
8.602390289,22.5
8.613800049,0.0
7.646860123,0.0
8.758049965,0.0
8.367679596,0.0
9.125169754,0.0
7.81926012,28.2
8.591910362,22.5
7.824880123,28.2
7.821680069,0.0
7.750170231,0.0
8.286190033,0.0
8.757089615,22.5
8.893260002,22.5
8.800580025,0.0
7.745019913,0.0
7.740990162,0.0
8.939390182,0.0
8.877530098,28.2
7.742090225,0.0
8.549570084,0.0
7.767340183,0.0
7.847430229,16.9
8.564800262,0.0
8.562680244,0.0
8.203269958,16.9
8.198710442,16.9
8.896860123,0.0
8.598090172,22.5
8.579939842,0.0
7.596159935,22.5
8.402560234,0.0
7.889050007,16.9
8.417779922,0.0
8.756420135,28.2
9.078639984,0.0
8.09774971,16.9
9.480950356,16.9
7.747240067,0.0
7.822309971,0.0
8.596670151,0.0
8.97770977,28.2
8.416609764,16.9
9.617739677,0.0
7.748950005,0.0
8.573820114,0.0
8.67140007,22.5
8.845999718,0.0
8.685409546,28.2
7.633450031,22.5
7.855070114,0.0
8.594670296,22.5
7.825689793,0.0
8.619509697,22.5
8.930450439,28.2
8.986149788,0.0
8.633979797,28.2
8.78771019,0.0
9.072719574,0.0
9.058679581,0.0
9.053979874,0.0
8.573340416,0.0
7.622189999,0.0
8.610600471,0.0
8.92677021,0.0
8.007499695,0.0
8.675350189,22.5
8.047419548,28.2
8.743849754,0.0
8.666629791,28.2
7.757009983,0.0
7.651199818,22.5
8.956859589,0.0
9.067770004,0.0
8.692580223,0.0
9.072299957,0.0
8.87195015,22.5
8.388290405,16.9
7.921750069,28.2
8.817919731,16.9
8.896940231,28.2
9.441249847,16.9
9.111909866,22.5
8.547410011,0.0
9.057310104,16.9
8.325320244,0.0
8.95331955,0.0
7.755630016,0.0
9.602939606,0.0
8.911879539,0.0
9.065199852,0.0
8.525420189,0.0
9.009110451,16.9
9.071169853,0.0
8.796970367,28.2
8.507599831,0.0
8.731209755,0.0
9.235170364,22.5
9.01019001,16.9
8.30576992,0.0
8.822939873,28.2
8.704770088,22.5
8.100270271,0.0
7.810480118,0.0
8.609189987,0.0
7.77271986,0.0
8.53442955,0.0
8.932379723,0.0
8.731599808,28.2
7.733180046,0.0
8.959589958,0.0
8.576769829,0.0
8.932220459,0.0
7.773789883,0.0
7.807409763,0.0
7.821400166,28.2
7.878530025,28.2
8.692660332,22.5
8.985659599,0.0
7.78937006,0.0
7.814219952,16.9
8.632789612,0.0
9.491680145,16.9
7.806650162,0.0
7.83893013,0.0
8.927689552,16.9
8.493590355,0.0
8.606040001,22.5
8.647870064,0.0
7.877039909,16.9
8.338370323,0.0
8.638830185,28.2
7.72454977,0.0
8.990550041,0.0
8.778820038,22.5
8.57845974,0.0
7.754330158,0.0
8.74890995,0.0
7.907330036,0.0
8.75510025,0.0
8.72521019,0.0
7.82806015,0.0
8.303319931,16.9
8.751000404,28.2
7.925069809,16.9
8.622039795,0.0
9.499819756,16.9
8.781419754,28.2
8.903790474,0.0
8.526209831,0.0
7.833809853,0.0
8.604129791,22.5
7.8864398,28.2
9.094200134,22.5
8.786109924,0.0
9.424030304,16.9
8.705180168,28.2
8.583350182,0.0
7.866509914,0.0
7.779839993,16.9
7.732150078,0.0
8.549039841,0.0
7.791940212,0.0
7.726560116,0.0
8.771510124,22.5
9.488340378,0.0
8.920999527,0.0
8.316459656,0.0
9.047129631,16.9
8.780449867,22.5
7.819049835,28.2
7.835840225,0.0
7.825049877,0.0
7.752369881,0.0
8.524080276,0.0
8.687310219,0.0
8.398480415,16.9
8.098190308,0.0
8.582989693,0.0
8.604780197,0.0
8.56744957,0.0
8.522649765,0.0
8.822330475,0.0
7.780910015,0.0
8.822910309,28.2
8.844320297,22.5
8.911290169,0.0
7.880690098,16.9
8.54226017,0.0
8.87032032,0.0
8.639510155,28.2
8.975029945,0.0
7.756999969,0.0
8.312419891,0.0
8.389820099,0.0
8.755749702,0.0
8.90252018,0.0
8.976349831,0.0
8.547929764,0.0
8.769109726,0.0
7.642479897,0.0
8.310609818,0.0
8.679599762,0.0
8.937159538,0.0
8.393400192,0.0
8.796090126,28.2
8.847689629,0.0
8.870770454,0.0
8.576430321,0.0
7.972660065,0.0
8.707150459,0.0
8.381119728,0.0
7.739019871,0.0
8.556909561,28.2
7.829339981,0.0
7.862999916,28.2
8.992050171,22.5
8.830349922,0.0
8.739480019,28.2
8.061880112,0.0
7.637279987,22.5
8.387080193,16.9
7.788179874,0.0
8.631409645,22.5
8.671150208,22.5
7.623390198,22.5
7.622650146,0.0
8.913169861,28.2
8.988409996,0.0
8.59858036,28.2
7.823480129,0.0
7.955269814,16.9
8.791080475,0.0
8.767860413,0.0
7.880620003,0.0
7.897200108,28.2
8.421030045,0.0
8.320179939,0.0
9.064109802,0.0
8.526519775,0.0
9.068090439,22.5
