Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2
1.536239982,164.1840057,1.466599941,474.3959961,167.7689972,35.37810135
1.616850019,159.2380066,1.791810036,527.7600098,138.2250061,31.41720009
1.613250017,148.5829926,1.488590002,466.1839905,168.7440033,35.17869949
1.669219971,157.1139984,1.897660017,524.414978,157.0359955,35.31549835
1.268260002,212.1790009,1.342219949,509.9419861,162.6069946,36.15539932
1.507310033,161.6840057,1.793390036,542.6829834,145.5440063,32.74879837
1.224179983,196.3249969,1.287520051,493.3590088,152.4160004,34.60900116
1.377769947,179.0939941,1.633139968,504.8450012,130.1829987,30.45800018
1.288980007,207.2749939,1.340999961,507.803009,161.5749969,36.18080139
1.595379949,142.7700043,1.840880036,546.276001,149.4329987,33.0141983
1.309129953,203.6600037,1.353510022,504.446991,162.4349976,36.17620087
1.553230047,160.598999,1.477380037,472.9119873,168.3300018,35.34600067
1.533380032,154.1139984,1.812890053,544.0570068,147.5440063,32.86370087
1.477650046,159.0700073,1.816249967,541.8909912,149.3540039,32.69369888
1.44385004,182.5540009,1.420650005,481.4909973,166.8639984,35.31349945
1.316390038,202.1679993,1.356019974,503.7980042,162.4100037,36.18840027
1.483649969,176.0809937,1.706459999,513.0889893,134.2330017,30.75440025
1.141129971,194.7409973,1.234650016,497.1090088,148.4519958,32.3506012
1.623980045,157.322998,1.792090058,527.2109985,137.2480011,31.37509918
1.359609962,194.0839996,1.39060998,496.7789917,164.6450043,36.16019821
1.565569997,158.298996,1.480389953,471.980011,168.3410034,35.35820007
1.296540022,205.7310028,1.342919946,506.769989,161.5639954,36.1853981
1.503569961,154.4539948,1.841410041,544.802002,151.8130035,32.84389877
1.467329979,177.9920044,1.433899999,479.9679871,167.2250061,35.32699966
1.48980999,173.4490051,1.447199941,478.1900024,167.5740051,35.33179855
1.29756999,192.8119965,1.500720024,515.5280151,147.2519989,32.4029007
1.405060053,177.4720001,1.643530011,506.7799988,130.220993,30.47909927
1.505360007,162.5149994,1.791839957,542.632019,145.3659973,32.73989868
1.588860035,162.5800018,1.760470033,524.7470093,135.8659973,31.24090004
1.492980003,156.0740051,1.83750999,544.0689697,151.7420044,32.80410004
1.339140058,198.1699982,1.377429962,499.2609863,164.102005,36.15259933
1.467800021,162.8990021,1.782680035,539.151001,144.9069977,32.55720139
1.367329955,191.2120056,1.389709949,486.3940125,165.6340027,35.27519989
1.270840049,210.7279968,1.335649967,511.4020081,161.3430023,36.19229889
1.597720027,152.3829956,1.487370014,469.2449951,168.5209961,35.34080124
1.555269957,169.875,1.754830003,523.7249756,137.1369934,31.20669937
1.547250032,152.1439972,1.814329982,544.6970215,147.5879974,32.92359924
1.440649986,181.923996,1.419510007,480.1459961,166.5440063,35.26639938
1.386029959,180.9219971,1.396389961,475.2659912,165.2539978,34.67210007
1.282359958,209.2570038,1.346269965,507.3479919,162.6430054,36.1487999
1.528190017,165.2720032,1.64470005,514.322998,123.5719986,30.57119942
1.468250036,177.8679962,1.434659958,479.9899902,167.2769928,35.32759857
1.257210016,212.4960022,1.331159949,515.9089966,160.8049927,36.23680115
1.611919999,160.4989929,1.790879965,528.0189819,138.6399994,31.43600082
1.336179972,198.3150024,1.382719994,495.6849976,165.1809998,36.02220154
1.495519996,154.1640015,1.858579993,546.2700195,154.3309937,32.89929962
1.512609959,156.8070068,1.808910012,542.8950195,147.3690033,32.7765007
1.493739963,172.5180054,1.447950006,477.6730042,167.4680023,35.33720016
1.532170057,165.8480072,1.667260051,515.822998,126.4899979,30.68400002
1.536859989,174.8339996,1.757650018,522.8889771,137.9360046,31.16720009
1.50150001,169.779007,1.74901998,531.8850098,141.6730042,31.66410065
1.512079954,152.973999,1.846410036,545.5289917,152.0870056,32.88029861
1.509209991,166.5110016,1.628530025,511.3699951,122.512001,30.3878994
