H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,PhosphorusTreatment
57.56689835,1930.050049,4.671989918,51.53519821,35.09270096,1.557319999,0.0
60.48880005,1976.449951,4.765759945,50.11899948,35.12870026,1.48913002,0.0
41.68740082,2020.780029,4.849999905,53.93310165,39.29570007,1.671910048,22.5
50.98490143,1972.349976,4.794539928,55.75500107,38.03390121,1.621109962,0.0
44.76670074,2117.209961,4.936920166,51.20019913,39.25839996,1.859179974,16.9
57.18149948,2037.180054,4.878749847,50.07229996,35.62559891,1.476699948,0.0
40.75619888,2012.800049,4.935190201,53.98970032,40.31340027,1.639359951,22.5
38.19950104,1982.709961,4.855559826,53.6283989,41.68209839,1.634789944,22.5
52.53020096,2098.399902,4.948840141,48.44380188,36.93769836,1.793990016,28.2
54.81110001,1948.319946,4.67828989,52.87739944,35.81110001,1.61074996,0.0
50.15729904,2046.199951,5.059790134,50.48559952,36.26250076,1.488890052,22.5
53.82030106,1962.869995,4.680349827,52.6772995,35.99819946,1.630460024,22.5
38.64250183,2133.360107,4.940460205,52.34230042,41.06069946,1.761360049,16.9
56.41749954,1992.680054,4.68693018,49.86980057,35.79600143,1.664690018,22.5
46.6753006,2028.430054,5.07638979,50.42160034,37.50469971,1.486170053,22.5
48.49399948,2114.790039,5.086730003,50.59479904,36.72359848,1.499169946,0.0
51.75180054,2195.639893,4.972280025,47.36750031,37.20330048,1.875079989,0.0
56.70220184,2062.459961,4.759960175,48.9192009,36.42309952,1.733890057,0.0
55.68479919,2054.669922,4.760580063,48.95000076,36.36869812,1.727210045,0.0
64.65480042,1928.630005,4.80411005,50.32460022,34.52550125,1.479799986,16.9
44.37599945,2078.780029,4.991539955,52.85960007,39.39030075,1.824219942,0.0
40.56359863,2044.550049,4.86841011,53.13639832,40.20830154,1.719200015,0.0
45.71900177,1973.060059,4.904739857,56.6006012,38.95050049,1.622310042,28.2
69.8117981,1915.47998,4.799280167,50.96709824,34.47470093,1.494449973,0.0
