Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.225957006,44.82979965,0.745298028,246.878006,27.32099915,5.435780048,0.247889996,34.26290131,0.730369985,200.697998,21.14780045,3.831749916,60.53620148,1926.180054,4.20663023,66.46060181,39.68000031,1.830819964,65.54160309,1951.060059,4.805300236,50.44779968,34.92620087,1.486909986,201.9320068,4016.310059,30.33760071,397.6359863,136.121994,12.97579956,263.4899902,3920.600098,42.42200089,360.4509888,119.8389969,8.367679596,219.875,86.37640381,134.9250031,208.2830048,101.9160004,46.25650024,0.0
0.513392985,42.52389908,0.877703011,273.1000061,28.24329948,6.634500027,0.519034028,33.77560043,0.829530001,215.5189972,24.06679916,4.419119835,32.82020187,2230.879883,4.73635006,67.48699951,42.42879868,4.541719913,38.65100098,2219.889893,4.97247982,51.49760056,40.67919922,1.830189943,74.92120361,4349.25,31.36359978,398.75,128.6179962,14.78240013,97.42230225,4374.470215,42.28099823,349.1650085,119.875,9.058679581,225.1369934,109.9189987,129.345993,208.2400055,120.1640015,48.12960052,0.0
0.338461012,34.35369873,0.934158981,256.0610046,25.09469986,6.382060051,0.327232987,28.29540062,0.769370973,207.4750061,18.98690033,4.26914978,42.83969879,1960.280029,4.101299763,69.22969818,42.3064003,2.00586009,49.6405983,1970.310059,4.794670105,56.49509811,38.27780151,1.621549964,82.17189789,4045.5,30.05310059,409.7839966,134.5590057,14.26220036,121.8209991,3971.25,42.14400101,360.756012,122.8089981,8.845999718,228.9219971,98.27490234,42.85089874,226.2960052,111.6760025,41.40309906,0.0
0.298301995,46.79330063,0.934278011,253.701004,30.65029907,6.210919857,0.30162701,36.18470001,0.753229022,200.1450043,24.60560036,3.824670076,53.68270111,1984.550049,4.403260231,65.20639801,41.46120071,3.240050077,56.46089935,2006.23999,4.687970161,49.65650177,35.91939926,1.68106997,182.1499939,4131.160156,32.01539993,403.5280151,134.9859924,14.73340034,211.9179993,4102.390137,41.7397995,356.0379944,119.9240036,7.655379772,245.4629974,93.66390228,42.87630081,216.6080017,105.7870026,37.50559998,22.5
0.355462015,41.42430115,0.874790013,277.1199951,27.33099937,6.59197998,0.394389987,33.32730103,0.724569023,215.4620056,22.39319992,4.378650188,35.58720016,2035.069946,4.537740231,68.25160217,41.96900177,2.683530092,41.1167984,2022.280029,4.851520061,53.9178009,39.59009933,1.673079967,84.48639679,4228.140137,30.96949959,402.9509888,125.4290009,14.49419975,121.3990021,4185.689941,42.25220108,349.7569885,116.8190002,9.040260315,231.0809937,97.78780365,40.83959961,230.1430054,115.8809967,41.47940063,22.5
0.372361988,41.46139908,0.826718986,268.3789978,26.85149956,6.279079914,0.428662986,34.18249893,0.853959024,210.6309967,22.33230019,4.199520111,40.46429825,2045.140015,4.397109985,67.56109619,40.94530106,2.624419928,46.00830078,2050.949951,4.917550087,52.84209824,38.19340134,1.610499978,104.5270004,4180.919922,30.58659935,394.1119995,127.0950012,14.1012001,142.8619995,4159.879883,42.22600174,351.2680054,116.7740021,8.830900192,224.5149994,99.68430328,102.0930023,214.7619934,112.9729996,43.82289886,22.5
0.343502015,40.08430099,0.864705026,261.6199951,26.25329971,6.298719883,0.340918005,33.74409866,0.701496005,213.1380005,21.91769981,4.164800167,38.95759964,1980.540039,4.35323,65.32630157,40.96960068,2.363960028,46.03839874,1995.089966,4.987100124,54.72869873,38.24679947,1.647199988,94.26540375,4132.240234,30.44610023,397.1149902,126.5039978,14.21249962,135.2570038,4095.179932,42.01139832,353.7730103,119.2009964,8.72521019,226.7899933,98.41470337,40.97710037,231.5130005,115.0469971,41.55780029,0.0
0.335141003,51.7594986,0.872542977,266.5109863,32.40219879,6.509200096,0.350219995,39.7804985,0.763181984,204.673996,25.68460083,3.792020082,50.3586998,2040.199951,4.498670101,65.44219971,42.14199829,4.102640152,55.71229935,2061.0,4.760839939,48.88199997,36.41820145,1.734249949,178.701004,4155.259766,32.83850098,397.9979858,132.6699982,15.42500019,214.1089935,4157.640137,42.65179825,348.9779968,117.9710007,7.746150017,245.0140076,93.47979736,42.00500107,212.9609985,105.8610001,35.06990051,0.0
0.369892001,28.82640076,1.01391995,245.151001,23.41410065,6.424109936,0.301766992,25.35610008,0.832334995,207.5299988,17.79319954,4.342539787,41.22719955,1941.869995,3.940979958,69.90380096,42.39519882,1.749340057,49.56639862,1958.219971,4.789169788,59.41690063,38.2580986,1.617650032,57.29449844,4006.709961,29.22030067,409.8330078,136.4570007,14.28829956,94.06909943,3922.820068,42.11589813,363.4719849,124.5370026,8.912779808,230.1069946,102.0630035,43.11840057,235.302002,111.8130035,41.65470123,0.0
0.351072997,50.03030014,0.676110029,280.0339966,29.38850021,5.911159992,0.488543987,41.05310059,0.916908026,206.3079987,23.89310074,4.067170143,40.99340057,1988.390015,4.58604002,67.6835022,39.99209976,2.427239895,46.97240067,2021.829956,5.059569836,50.83819962,37.18040085,1.501790047,152.0619965,4183.100098,30.39500046,388.8380127,121.0879974,13.82890034,203.1569977,4194.72998,43.53950119,348.5509949,110.1490021,8.757089615,214.0769958,94.91190338,140.2480011,200.0240021,105.5889969,42.54769897,22.5
