Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
1.444939971,182.5350037,1.421129942,481.7109985,166.9380035,35.31959915,1.520609975,159.5359955,1.636049986,335.6889954,167.9160004,29.51989937,121.8460007,1523.829956,15.35569954,129.9830017,115.6060028,155.0449982,126.2360001,1546.650024,19.23629951,85.0714035,109.9800034,99.59780121,476.3500061,3300.409912,62.86510086,690.6170044,461.9509888,193.8710022,517.6119995,3381.75,77.60790253,539.1740112,455.0849915,145.223999,202.5859985,46.93000031,28.36680031,190.0269928,61.18159866,22.64800072,16.9
1.52125001,167.1589966,1.467880011,475.6929932,168.3009949,35.32400131,1.554769993,145.1080017,1.63180995,326.1040039,173.8500061,28.78960037,111.9700012,1591.5,13.21370029,125.1500015,117.4120026,132.473999,114.9449997,1551.439941,14.65320015,84.94190216,110.4369965,83.08159637,436.0639954,3283.800049,52.34960175,626.6799927,441.0390015,180.9340057,464.4339905,3361.179932,65.26850128,504.2539978,434.9880066,139.470993,202.6710052,47.66519928,26.89760017,194.904007,61.02190018,22.89089966,0.0
1.497259974,162.1340027,1.790609956,541.4819946,145.3220062,32.68460083,1.389569998,138.2570038,1.318130016,391.7590027,140.1600037,23.28590012,74.14309692,1808.699951,6.350120068,159.1159973,110.564003,61.45949936,64.41410065,1679.189941,5.912419796,93.72399902,93.80719757,28.56170082,407.1610107,3611.27002,48.45230103,802.5009766,403.5360107,151.8789978,441.5379944,3727.370117,60.31499863,658.3109741,385.8819885,105.3679962,210.6970062,57.82139969,28.42340088,189.8560028,74.93170166,25.21859932,0.0
1.663689971,136.7330017,1.898790002,551.3670044,151.2310028,33.06990051,1.533589959,126.0999985,1.326879978,444.29599,148.5619965,27.99080086,73.25910187,1839.939941,6.262969971,163.7449951,111.9140015,64.7365036,70.94470215,1685.609985,6.115180016,94.59069824,94.70480347,36.10540009,380.17099,3435.080078,43.58050156,763.2000122,356.0650024,149.7160034,411.5509949,3500.909912,56.57099915,629.947998,346.0809937,116.1559982,209.6369934,52.77690125,29.22870064,197.2449951,69.19010162,26.57719994,5.6
1.589519978,156.3379974,1.481619954,472.3980103,167.5749969,35.58869934,1.613070011,138.8899994,1.631000042,330.4609985,172.5149994,29.01049995,101.3669968,1644.22998,11.23560047,120.6380005,117.0500031,112.6490021,106.5530014,1553.439941,13.4307003,84.86689758,110.5,82.31909943,437.427002,3306.580078,51.32329941,626.2630005,421.1560059,172.746994,466.3039856,3375.310059,65.96250153,487.3670044,419.6380005,138.6589966,202.6490021,48.29399872,25.17919922,197.9450073,60.98709869,22.36289978,0.0
1.53797996,163.8939972,1.46686995,474.2929993,167.7380066,35.38510132,1.578160048,144.2740021,1.632339954,330.2609863,172.5359955,29.17670059,108.3010025,1607.709961,12.51399994,123.4840012,117.0049973,124.1869965,112.4240036,1551.719971,14.61030006,84.93830109,110.4069977,84.73960114,441.0419922,3310.639893,52.55709839,634.1799927,436.2669983,177.2389984,471.3739929,3379.530029,66.96399689,504.4760132,432.1159973,139.9420013,202.598999,47.94129944,26.0951004,195.2779999,60.97430038,22.60250092,0.0
1.466240048,153.6269989,1.872269988,549.7230225,155.0420074,33.00080109,1.295969963,144.2949982,1.321930051,406.3500061,152.3139954,24.95490074,72.25910187,1847.73999,5.945549965,167.5789948,112.2519989,65.28369904,70.79419708,1686.469971,6.088769913,94.55919647,94.78050232,36.38619995,372.8049927,3430.47998,42.08160019,757.1859741,354.4590149,150.3329926,403.6260071,3532.409912,55.32860184,616.914978,340.9070129,115.7109985,210.0310059,53.43790054,30.90780067,194.8710022,68.97489929,25.57819939,0.0
1.594930053,142.3959961,1.875380039,549.3519897,151.7140045,33.02840042,1.474149942,130.5720062,1.324880004,429.9259949,148.9420013,26.8647995,73.05169678,1841.170044,6.095620155,163.5879974,111.8889999,64.4233017,69.93959808,1684.630005,6.099989891,94.43560028,94.57640076,35.57369995,380.0450134,3444.620117,43.58929825,764.1939697,359.5880127,149.4329987,411.446991,3528.050049,56.57519913,627.9539795,347.7829895,115.1729965,209.8880005,53.71979904,29.5121994,195.2149963,69.54789734,26.14170074,5.6
1.386999965,189.2850037,1.395799994,487.0169983,165.6390076,35.39810181,1.482859969,171.4559937,1.589820027,345.5490112,165.5720062,30.3859005,125.1169968,1497.599976,16.41239929,133.3240051,114.6269989,159.5659943,131.3569946,1532.469971,21.08139992,85.90110016,108.8570023,109.5559998,487.8080139,3354.149902,65.10769653,713.9390259,471.5329895,197.2669983,531.5120239,3410.330078,81.70210266,565.6380005,463.79599,151.7550049,206.8220062,46.26710129,28.11079979,190.2279968,59.92639923,23.13940048,0.0
1.485550046,159.6499939,1.802160025,541.242981,147.1049957,32.67020035,1.372419953,138.7940063,1.318699956,394.0660095,142.746994,23.48719978,73.82920074,1814.079956,6.222970009,159.4530029,110.7969971,62.75400162,66.83920288,1681.5,6.047780037,93.95130157,94.08100128,30.42020035,399.5549927,3555.129883,47.21820068,791.697998,392.1369934,152.4980011,432.2980042,3671.879883,59.24580002,648.8099976,375.1950073,107.5950012,210.477005,56.79550171,29.39019966,191.052002,73.59919739,25.59720039,16.9
