M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
309.5639954,2433.810059,71.05539703,332.8590088,215.1089935,23.74559975,302.2860107,2567.709961,79.02970123,271.8429871,192.720993,12.60229969,176.7129974,35.91149902,17.09350014,142.2160034,45.76839828,16.01670074,1,0,0,0
428.6119995,2328.429932,75.40399933,262.4679871,185.5240021,27.17770004,426.8779907,2514.419922,78.09660339,245.1869965,188.6719971,13.42409992,168.9100037,31.75379944,16.3696003,137.3730011,46.12310028,13.76399994,0,0,0,1
187.0899963,3445.719971,42.18510056,504.29599,176.6799927,9.327739716,211.1009979,2732.689941,64.01159668,316.131012,140.1150055,3.295599937,162.1999969,57.49599838,19.57010078,154.5469971,67.13200378,19.51280022,0,0,0,1
471.0589905,2391.379883,86.08509827,296.1690063,209.1410065,28.12059975,476.1910095,2531.870117,88.83399963,252.8240051,190.4470062,13.46259975,173.4199982,32.57979965,16.7553997,136.802002,47.29850006,14.86530018,1,0,0,0
255.4519958,2680.100098,52.25859833,415.8139954,198.8820038,16.74060059,210.7279968,2680.610107,62.35789871,305.3609924,185.2940063,8.643859863,181.1439972,41.76869965,17.03759956,145.9640045,53.5177002,16.93230057,1,0,0,0
316.9729919,2868.830078,62.65589905,409.2149963,191.9980011,18.02219963,305.2510071,2949.139893,69.31140137,357.8240051,179.6569977,9.910570145,171.5980072,45.15499878,18.67219925,149.6670074,56.39870071,18.41889954,1,0,0,0
547.5040283,2271.959961,111.038002,328.776001,245.128006,33.99259949,554.6519775,2471.860107,112.5810013,249.2460022,196.25,15.95769978,199.3430023,31.58769989,17.0916996,144.7120056,40.70769882,16.78560066,0,0,1,0
183.4909973,2736.070068,41.77899933,428.8099976,193.8000031,14.0145998,129.1809998,2709.610107,52.59049988,316.1350098,184.5509949,7.579160213,179.026001,43.57699966,17.04610062,147.5590057,55.32040024,17.27280045,1,0,0,0
320.6799927,2473.469971,65.15380096,319.6409912,200.3179932,22.16489983,297.4129944,2602.719971,71.40850067,274.2139893,189.3049927,11.55580044,164.3540039,36.31219864,16.86669922,140.7259979,48.77830124,15.28740025,1,0,0,0
519.8629761,2372.72998,100.7360001,332.0469971,225.4160004,30.91860008,521.7219849,2525.5,102.4059982,260.0499878,192.4660034,14.38469982,188.4230042,32.87939835,17.00169945,141.2169952,45.04410172,16.21719933,0,0,0,1
584.2050171,2323.899902,114.6309967,354.6820068,230.0529938,34.44010162,578.901001,2520.870117,113.362999,262.3460083,194.4960022,15.81519985,193.0189972,33.04499817,16.98380089,143.9230042,43.16559982,16.41130066,0,0,0,1
430.5710144,2338.379883,89.57910156,319.5809937,227.3580017,28.42679977,425.9880066,2505.100098,93.67790222,257.1199951,193.8959961,14.39490032,185.0800018,33.57929993,16.8314991,144.0480042,43.07429886,15.91170025,0,0,0,1
163.8849945,3394.050049,39.33739853,533.6779785,174.8650055,7.827660084,184.4499969,2948.590088,56.61660004,376.8460083,145.7480011,3.782660007,170.9550018,57.51869965,19.82049942,158.7279968,68.2806015,20.88030052,0,0,0,1
443.4769897,2314.610107,84.44139862,289.1839905,215.0859985,28.29599953,441.3919983,2499.02002,87.26499939,249.1069946,191.8139954,14.0031004,182.3269958,31.40180016,16.71839905,141.5099945,44.90610123,15.47270012,0,0,0,1
303.7810059,3476.790039,49.05270004,485.6910095,164.8240051,11.15620041,312.5639954,3402.709961,57.34320068,437.8710022,153.6269989,6.332670212,148.6560059,59.11759949,20.09749985,145.3970032,72.19390106,17.58650017,1,0,0,0
537.0219727,2292.679932,107.0070038,320.8469849,236.0579987,33.2356987,543.9790039,2489.419922,108.2389984,252.720993,194.3359985,15.37759972,196.9369965,31.15060043,17.1779995,142.6959991,42.30310059,17.03039932,0,0,0,1
