DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
491.8880005,260.848999,264.3760071,114.8440018,74.5446014,27.0501995,530.3070068,284.9240112,289.5849915,85.9714966,79.2046967,26.2879009,46.9929008,1993.0200195,5.2309599,202.147995,114.6289978,52.1945992,54.7923012,2013.3499756,6.18156,136.6190033,104.7340012,41.9804001,353.9259949,81.2220993,51.2099991,350.1040039,99.3377991,52.0382996
489.6359863,259.7879944,262.1000061,108.9970016,74.1968002,27.0846004,510.9880066,279.105011,280.2340088,72.5497971,76.6210022,26.4825001,51.9137993,1974.9000244,5.5610499,191.4839935,123.052002,62.4967003,60.6934013,1989.7600098,6.6658502,125.4810028,110.5719986,49.7159004,356.2510071,79.7576981,55.0019989,352.2640076,98.4136963,53.3922005
505.7479858,299.8370056,242.0200043,127.8079987,70.850502,20.4955006,537.7089844,335.5939941,258.5920105,97.2954025,73.8983002,18.3889999,32.9426003,2123.9699707,3.60288,233.4609985,94.1110001,25.5858994,38.3844986,2158.5600586,4.2392001,147.7250061,83.922699,20.8922997,345.9960022,109.4329987,51.6869011,337.7019958,124.0279999,47.5373001
494.8450012,329.4949951,278.5620117,167.2449951,81.6493988,23.8040009,516.9869995,333.7019958,245.8509979,133.3350067,72.1717987,20.7080994,28.0379009,2120.6699219,3.7623999,255.1640015,95.1094971,27.9974003,35.1411018,2163.5,4.04175,199.5420074,87.9835968,24.6597996,342.3349915,122.9309998,46.8255005,341.697998,141.4470062,50.6325989
476.5499878,287.3670044,224.8480072,123.1999969,67.6108017,21.2367001,522.4459839,326.7059937,249.5,91.7506027,72.4469986,19.3834991,32.6180992,2131.0600586,4.0934401,242.6929932,104.3889999,33.0088005,39.2424011,2173.5900879,4.4865799,146.7290039,91.0840988,23.4405003,343.901001,106.0169983,51.6436996,329.1119995,120.6490021,46.2318993
486.0360107,254.4550018,261.4030151,117.6620026,73.5429993,26.9922009,543.3549805,290.3850098,297.0239868,98.1042023,80.8637009,27.0091991,46.7290001,1981.9899902,5.4193001,200.4850006,113.3909988,51.2154999,54.7551994,1998.4100342,6.3501501,138.4459991,104.5400009,41.3214989,357.1080017,80.3178024,49.6105995,347.947998,97.9738998,51.1054001
512.1329956,299.6839905,245.0700073,130.4400024,71.6192017,21.0522003,541.3010254,336.5230103,261.052002,109.5189972,74.6176987,19.9368992,31.7178001,2108.2600098,3.9408,241.8399963,97.4620972,26.1963005,36.8647003,2141.1899414,4.3179202,161.0449982,89.4032974,23.3999996,347.4089966,110.7320023,49.9103012,340.8829956,122.8580017,47.8109016
494.8540039,328.8980103,278.4289856,166.1040039,81.6046982,23.7598,516.8189697,333.2399902,245.7310028,129.8130035,72.1401978,20.6739006,28.2833996,2115.8999023,3.7620499,258.0209961,94.3696976,26.8307991,34.7830009,2155.6000977,4.02809,204.3659973,88.4153976,24.6693001,342.3940125,122.5350037,46.8753014,341.7579956,141.1699982,50.7584
511.0,327.2730103,276.1879883,162.3329926,79.7939987,22.7441998,520.1779785,338.1099854,250.6629944,129.279007,72.3563995,19.9472008,29.802,2102.7299805,3.457,252.5079956,93.6649017,26.3239994,36.5511017,2140.5800781,3.88974,186.1419983,86.3187027,23.3542004,343.1300049,117.9980011,48.0237007,347.7030029,135.2779999,51.1545982
502.5740051,302.6600037,241.0540009,124.0090027,71.3088989,20.5021,510.480011,326.743988,246.576004,87.9748993,70.9778976,17.6047993,33.1444016,2150.3999023,3.6045401,233.8220062,100.7819977,31.7926998,37.8987999,2194.7800293,4.3771701,137.2189941,85.0904999,21.0146008,346.8009949,106.3399963,55.4547005,342.4590149,123.9140015,48.7131996
