M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
394.0759888,3421.0700684,41.5980988,440.4030151,244.4450073,17.2588997,440.7070007,3403.3798828,53.658699,400.4490051,233.8999939,10.0656004,211.6239929,63.7943993,38.5718002,200.072998,74.1100998,41.2792015,0.0
294.1730042,3746.3500977,52.4884987,463.223999,249.6369934,16.7651005,391.1239929,3743.6398926,65.2155991,417.3309937,236.2389984,11.7089996,221.4640045,88.641098,39.5424004,225.4640045,94.9856033,42.9874001,0.0
319.5400085,3476.5500488,40.6259003,423.7799988,220.5859985,15.4115,358.7730103,3484.1101074,53.6999016,390.4760132,214.951004,9.1578302,209.298996,67.4373016,37.732399,197.8329926,79.1468964,41.0057983,27.0
294.0849915,3784.8601074,46.6867981,455.2420044,245.128006,16.3330002,395.3169861,3730.3400879,63.3297997,415.3930054,237.3769989,11.3214998,220.4160004,80.3159027,39.4678001,218.2140045,91.2481995,42.8591003,9.0
286.3500061,3788.1799316,50.8588982,451.7049866,226.7489929,14.9167004,343.6600037,3797.8400879,63.8522987,413.6069946,222.9140015,9.6187096,219.746994,84.8047028,39.4779015,219.1390076,92.4234009,42.8981018,0.0
411.9429932,3246.5800781,43.5223007,446.4119873,255.628006,17.0606003,479.5469971,3302.9499512,58.7523003,410.8169861,265.7009888,10.1513004,210.4089966,63.3964005,38.4998016,191.1239929,73.1584015,41.4698982,0.0
433.2399902,3386.2099609,43.8736,457.0830078,263.2349854,17.1900005,504.2520142,3450.3601074,56.7210999,422.4129944,274.3250122,10.4526997,210.1900024,64.2344971,38.4977989,199.3049927,72.6270981,41.1526985,18.0
421.5910034,3344.8898926,43.6743011,452.3569946,259.7200012,17.0503998,490.7380066,3413.7900391,56.5820999,416.9660034,270.7680054,10.2921,210.0899963,64.1333008,38.4925003,197.0859985,73.1968002,41.1351013,0.0
434.3179932,3455.7900391,43.149601,451.5820007,254.6860046,17.5860004,481.1319885,3427.8701172,55.3237991,413.3200073,245.2839966,10.3572998,211.3840027,63.5758018,38.5536995,202.1589966,71.0917969,41.2757988,0.0
328.5310059,3525.1298828,42.6870003,441.4830017,238.9320068,16.0454006,409.0,3521.9599609,58.7061005,404.1600037,240.7449951,9.7478504,219.8580017,68.1380005,39.7036018,200.220993,83.4128036,44.0036011,27.0
330.7479858,3451.1799316,41.9044991,429.0010071,226.6560059,15.0738001,374.2470093,3472.9799805,54.914299,393.1830139,222.4609985,9.1187,212.0249939,68.629097,38.2127991,197.4160004,79.2391968,41.6223984,0.0
381.3900146,3252.1699219,42.5234985,437.1619873,246.2969971,16.6896,439.0710144,3327.2700195,54.8751984,398.7539978,255.6260071,9.7716503,209.9279938,64.2303009,38.4886017,192.7039948,75.4245987,41.0323982,18.0
283.9299927,3776.7600098,50.9947014,454.5629883,228.3739929,15.2377996,350.0150146,3789.4699707,63.6008987,413.8299866,220.5359955,10.0419998,220.0330048,84.3520966,39.5153999,217.5310059,93.4469986,42.8418007,27.0
376.0329895,3265.1599121,42.3662987,434.9790039,244.5720062,17.0604,425.7999878,3310.5900879,54.9301987,394.223999,252.048996,9.8238201,211.651001,64.6957016,38.5993996,197.8860016,73.3554993,41.2546005,0.0
330.9979858,3493.6999512,42.8161011,439.6340027,236.3220062,15.8046999,399.3869934,3501.8999023,58.3532982,401.7260132,238.4559937,9.47999,219.6269989,68.308403,39.6766014,199.423996,82.0935974,43.9187012,18.0
420.8890076,3393.5100098,43.4448013,454.8070068,261.0910034,16.9778004,494.2359924,3454.3601074,56.4039993,419.4960022,272.4570007,10.3275003,209.9810028,64.7755966,38.4924011,197.9250031,74.0967026,41.1314011,18.0
370.8869934,3262.1599121,42.2809982,434.8160095,242.7259979,16.3619003,429.2420044,3331.5400391,53.7929993,395.9159851,249.0789948,9.5557003,208.7380066,64.2511978,38.417099,188.8710022,77.6111984,40.7792015,18.0
303.131012,3752.2900391,43.7378998,454.3340149,249.1170044,16.4906998,412.07901,3680.3898926,60.5914001,413.4559937,238.0709991,11.2251997,219.3609924,74.8908005,39.4117012,212.4360046,89.5086975,42.718399,0.0
296.4190063,3802.4099121,42.5167007,452.3819885,244.0529938,16.0415001,397.5029907,3727.3100586,60.2341003,413.8009949,236.4499969,10.6995001,219.2859955,73.905899,39.4436989,210.4730072,89.2335968,42.8521996,9.0
461.8829956,3466.4499512,44.6076012,460.9700012,264.151001,17.8005009,514.0689697,3457.0,56.7319984,425.7739868,261.7160034,10.6862001,211.1750031,63.2901993,38.5340996,204.7290039,68.7612,41.236599,0.0
367.9460144,3528.8000488,43.4331017,458.1059875,250.7519989,17.3820992,461.9349976,3530.3500977,58.273201,419.3450012,248.871994,10.9245005,218.4880066,67.2165985,39.6929016,204.2669983,80.6268997,42.6809998,18.0
380.8269958,3290.4299316,42.519001,439.2980042,247.2140045,16.4638004,444.1629944,3361.4499512,54.6083984,401.4119873,255.3690033,9.7437696,209.1320038,64.5077972,38.4427986,191.0189972,77.0255966,40.9025993,27.0
280.3129883,3825.3400879,45.7011986,441.9440002,218.1640015,13.7873001,333.7059937,3778.4699707,60.9435005,407.2829895,212.1909943,9.0294905,219.2319946,82.2820969,39.3540993,216.6869965,84.6353989,42.5647011,0.0
332.1789856,3434.4899902,42.282299,430.0849915,229.5180054,14.9940004,383.6549988,3466.5500488,55.6021996,394.6180115,228.7570038,9.0674696,211.7319946,68.7294998,38.1889,196.3009949,80.0952988,41.5908012,9.0
349.6669922,3426.4599609,42.9189987,440.3399963,242.8099976,16.1096992,422.7000122,3442.3400879,57.6208992,398.4859924,244.0930023,9.6461802,218.5149994,66.5467987,38.2047997,196.0769958,81.572998,43.1395988,27.0
297.4249878,3769.5900879,43.2556,448.2940063,239.3179932,15.6239996,390.4549866,3707.7299805,61.4785995,411.3429871,237.4649963,10.0117998,218.8840027,73.4385986,39.3781013,208.3029938,88.3463974,42.6651001,0.0
409.1579895,3248.8601074,43.4942017,445.6570129,255.1179962,17.0564003,475.5620117,3314.0300293,57.9261017,409.3479919,266.1210022,10.1213999,210.5079956,63.5611992,38.5098991,192.8200073,72.9971008,41.3580017,0.0
