Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.712493,106.8280029,1.55676,237.8179932,39.4944992,3.8548,0.653166,92.5044022,1.3137,206.8430023,38.0283012,3.11485,170.4160004,57.950901,19.8675995,158.4850006,69.5921021,20.9006996,33.8
0.546404,130.6340027,1.313,249.9550018,57.6693001,5.87674,0.710281,93.1016006,1.5118099,178.5899963,49.1721992,3.38781,181.9320068,40.4678993,17.0293999,145.1069946,52.3764992,16.7367992,0.0
0.546121,130.6699982,1.31339,249.8419952,59.1026001,5.9724598,0.716602,91.7463989,1.51228,178.7649994,49.3498993,3.45035,182.6920013,41.1520004,17.0802002,145.1889954,52.9530983,17.0235004,11.3
0.543953,129.621994,1.31235,250.1340027,55.6445999,5.63591,0.713969,93.2878036,1.51182,179.1710052,48.3381004,3.3320501,181.2779999,40.7501984,16.9934006,145.6490021,52.528801,16.6429005,0.0
0.823349,98.7584991,1.67616,240.8139954,37.9059982,3.7967,0.746973,85.8277969,1.32497,206.9889984,37.6645012,3.09552,152.9360046,58.8432999,20.4370003,147.2279968,70.7221985,19.4123993,11.3
0.852616,164.9470062,1.35087,248.4499969,84.1869965,10.3002996,0.929248,134.4219971,1.51301,169.5780029,67.5987015,4.4040198,197.6199951,31.5548992,17.1056995,143.7330017,41.2425003,16.8122005,0.0
0.742289,101.2699966,1.58915,241.8090057,39.6278992,4.30723,0.695771,88.1219025,1.32014,204.628006,37.8529015,3.08097,147.2429962,57.7366982,20.1163006,146.8110046,69.998703,17.5265007,11.3
0.935763,77.223999,1.7084399,232.779007,26.6849995,3.03146,0.735836,92.3231964,1.32472,217.4420013,36.7322006,3.28637,165.4790039,58.2066994,20.4092999,152.6150055,70.1207962,20.8668995,0.0
1.14066,125.8539963,1.50371,215.7189941,54.0610008,6.9867101,1.08321,137.3049927,1.41766,197.8639984,58.2201004,4.14394,180.1750031,40.6071014,17.3188992,145.2689972,49.9822006,18.0119991,0.0
1.12552,89.9070969,1.69124,235.5549927,32.5223007,4.88446,1.00038,90.3664017,1.32214,207.1820068,32.8824005,3.2839799,165.6710052,64.5318985,19.9953003,147.003006,80.2751007,17.7033997,11.3
