DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
536.6640015,306.4649963,259.7940063,135.3699951,74.1039963,20.3449993,563.7689819,341.3399963,274.3900146,118.6780014,76.6544037,18.8237991,346.4849854,113.1930008,51.3568001,342.7019958,125.7929993,48.1534004
492.0799866,266.6570129,259.17099,115.2210007,74.1815033,26.4887009,525.9470215,291.0280151,282.4679871,87.8000031,78.0795975,25.5974998,357.6990051,82.3911972,55.1067009,350.8869934,101.0699997,52.5611992
481.3619995,296.625,229.621994,120.6559982,68.5410995,20.1879997,488.3829956,321.0899963,233.7279968,86.6277008,68.1520004,17.5363998,342.1130066,106.1539993,53.6285019,336.6099854,123.5790024,48.148201
511.368988,256.6059875,276.2340088,122.8310013,76.3190994,27.2303009,561.2189941,292.0969849,309.0549927,105.711998,82.8337021,27.2383995,357.3909912,81.7738037,47.8214989,351.0880127,99.0491028,50.9533005
494.7090149,336.8510132,279.4779968,162.0169983,82.139801,24.1732998,532.1049805,347.6430054,256.5299988,126.1399994,74.7179031,20.8775005,355.29599,123.5899963,49.0746994,351.9930115,141.4839935,51.0861015
560.1740112,355.6860046,318.4830017,191.0240021,89.9925003,25.0263996,574.9949951,362.8540039,281.2969971,145.7259979,79.5122986,21.2621002,360.6029968,121.2170029,47.2537994,366.7179871,139.4440002,53.5227013
563.7000122,316.2539978,273.0429993,143.2400055,78.0157013,22.3675995,607.1019897,361.4949951,297.4620056,127.0250015,82.9993973,21.5307007,366.9169922,114.1620026,49.2703018,356.8940125,123.9830017,48.8567009
515.6799927,328.4110107,277.5159912,146.6679993,80.3328018,22.3257008,528.322998,339.6809998,255.8600006,107.689003,73.5539017,19.1648998,349.8370056,115.0309982,51.9230003,351.2409973,133.1519928,50.3179016
512.2630005,299.4460144,245.0809937,131.1419983,71.6323013,21.2338009,542.1409912,337.2210083,261.7569885,111.3710022,74.8059006,20.3003006,347.6839905,110.9169998,49.3336983,340.8380127,122.5149994,47.5555992
505.7049866,299.6499939,241.9360046,128.6040039,70.8395996,20.6415005,538.2020264,336.2319946,258.9960022,100.336998,74.0157013,18.7395,346.1929932,109.487999,51.757,337.6929932,123.6529999,47.4589996
500.098999,295.5979919,238.503006,126.6470032,70.4601974,20.9493999,532.4990234,329.6809998,255.8280029,91.6378021,73.5205994,18.2985001,350.4140015,107.1060028,53.4063988,337.125,122.5650024,47.3793983
500.3869934,295.3599854,238.1179962,127.7910004,70.4503021,21.2980995,535.8109741,333.0920105,257.5180054,99.8261032,73.9628983,19.4269009,349.9349976,108.5920029,51.0206985,336.0400085,122.5979996,46.5438995
502.0020142,292.8150024,241.9380035,127.1579971,70.2194977,19.7399998,513.6329956,318.0310059,246.9909973,85.7376022,70.5565033,17.7066994,342.1109924,112.1460037,48.6627007,345.4240112,128.8220062,48.9155006
499.6889954,295.0159912,237.6560059,126.5449982,70.3536987,21.2332001,534.9019775,332.1380005,256.756012,94.9403992,73.781601,18.9979,349.7980042,106.461998,52.3753014,335.973999,122.0770035,46.6147003
514.8070068,326.0589905,275.54599,138.6439972,79.803299,21.7635994,527.6380005,338.0870056,255.1410065,96.0904999,73.3491974,18.4141998,349.3469849,111.8600006,52.6306992,350.776001,129.9149933,49.8916016
559.0809937,353.9049988,316.4790039,183.2120056,89.5931015,24.8558006,573.75,361.493988,280.2619934,139.8029938,79.3043976,21.1504002,360.5350037,121.572998,47.2937012,366.5039978,141.0279999,53.2330017
543.5430298,348.6749878,310.75,191.852005,87.9169998,24.7397995,545.4210205,353.9890137,265.7569885,146.8509979,75.4411011,20.7194996,351.7219849,121.9520035,45.5616989,352.0469971,140.8329926,52.0278015
520.0079956,284.993988,247.8500061,124.4029999,72.163002,23.1765995,585.5700073,327.0950012,282.9450073,92.1093979,79.3141022,21.6669998,363.9110107,101.0169983,53.9920006,348.3540039,115.7440033,49.6823006
531.5889893,278.2250061,281.3909912,133.0269928,77.960701,26.1966991,578.2280273,312.8800049,310.7269897,137.3800049,83.8592987,26.5613995,355.7250061,91.9092026,47.0556984,351.2739868,106.2249985,50.2118988
503.1340027,281.6109924,260.1480103,131.3410034,74.4207993,24.8274994,545.8309937,317.8569946,287.7269897,125.2919998,79.7995987,23.9603996,357.2999878,102.0139999,48.1025009,346.375,113.8769989,48.4370003
491.4240112,297.92099,234.8150024,124.5309982,70.0264969,20.8952007,503.993988,323.3540039,242.5559998,89.1084976,70.335701,17.8157005,347.8009949,104.9140015,56.0723,340.7179871,122.7399979,48.3611984
490.9509888,262.3389893,254.7350006,116.6620026,72.9399033,26.0879993,542.3510132,298.1359863,286.5859985,89.8238983,79.2078018,25.4843998,358.1279907,84.0373001,54.1682014,346.8529968,101.7850037,51.1871986
480.1809998,330.901001,272.1480103,161.7590027,80.259697,23.9794998,510.2170105,340.3819885,244.4140015,126.2129974,72.1521988,21.2301006,349.0339966,123.1920013,47.7330017,352.9129944,140.6869965,51.7579002
505.1929932,322.3460083,272.5390015,155.7940063,78.7798004,22.4449997,520.3079834,333.1659851,250.6660004,122.7080002,72.1528015,19.3085995,344.0830078,115.3330002,49.5446014,343.3670044,132.003006,50.2700996
494.7200012,336.7739868,279.3760071,161.3880005,82.1241989,24.1662998,531.9879761,347.4679871,256.3840027,125.0550003,74.6913986,20.8880005,355.2789917,123.0630035,48.6122017,351.9840088,141.0670013,51.0690002
477.4360046,289.20401,226.7050018,119.7109985,67.3496017,19.6555996,520.2969971,329.144989,247.8220062,78.3274994,71.7174988,17.2719002,343.0419922,109.439003,49.6248016,332.8089905,123.5920029,46.5321999
501.5740051,293.9710083,236.9349976,126.9110031,70.9013977,21.9757996,561.8519897,342.4140015,268.375,98.3115005,77.5927963,20.5580997,351.1400146,106.2369995,50.1465988,334.2149963,118.7149963,46.5358009
524.4249878,338.4020081,297.2730103,158.0399933,83.8338013,22.0053997,542.223999,343.2709961,264.4500122,137.4980011,74.3462982,18.4724007,341.3880005,112.0940018,53.6547012,340.4240112,127.5559998,51.2630005
510.4760132,326.4060059,275.1159973,157.1499939,79.5764008,22.5860004,519.6749878,337.7080078,250.1670074,122.052002,72.2755966,19.9820995,343.1889954,117.8330002,48.3120003,347.7290039,135.1150055,51.0022011
494.8940125,329.1400146,278.6019897,167.0440063,81.6429977,23.7905006,516.9119873,333.4169922,245.8220062,131.4109955,72.158699,20.6744003,342.3710022,122.6100006,46.7995987,341.7349854,141.2250061,50.7296982
497.1759949,288.5109863,234.4570007,123.9520035,69.3893967,20.8640995,535.9819946,328.9259949,255.9570007,101.5410004,73.585701,19.3069,340.8609924,109.5749969,48.2453003,324.6239929,122.4420013,45.3922005
494.7470093,296.9819946,234.6190033,128.776001,70.3496017,22.4752007,562.6170044,343.7309875,271.0499878,91.9225998,77.8588028,19.9881001,361.6480103,105.987999,53.4398003,341.5849915,120.8840027,46.9273987
515.3720093,327.7950134,276.9899902,144.8999939,80.2062988,22.2427998,528.1560059,339.4370117,255.7050018,105.2919998,73.5224991,19.0452995,349.8099976,114.0049973,52.5007019,351.1740112,132.4309998,50.2145996
480.9230042,296.4989929,229.2960052,119.913002,68.486702,20.1777,488.2449951,320.9289856,233.5359955,88.3078003,68.1252975,17.7070007,342.0589905,106.1620026,53.6556015,336.6239929,123.5400009,48.2164993
510.7950134,327.9309998,276.697998,165.0720062,79.9679031,23.0393009,520.2949829,338.446991,250.727005,129.4250031,72.4101028,20.2998009,343.3399963,119.3740005,47.4833984,347.8139954,136.8359985,51.266201
491.6560059,284.6629944,232.2619934,124.8949966,68.3715973,20.7022991,530.7470093,324.2690125,254.7859955,107.572998,72.9106979,19.5627003,344.0299988,111.663002,47.3676987,329.6799927,123.5299988,45.6110001
511.2109985,327.8859863,276.8169861,165.6609955,79.9382019,22.8869991,520.4650269,338.4240112,250.9309998,133.5709991,72.4095993,19.9909,343.1329956,118.3349991,47.780899,347.7009888,135.6840057,51.2447014
541.84198,344.54599,309.4660034,152.7519989,86.418602,22.0203991,556.5620117,346.1239929,273.8680115,113.0500031,76.1134033,18.1825008,342.605011,113.7220001,50.5228004,346.0310059,129.6519928,50.2972984
480.131012,330.4899902,271.6679993,159.1159973,80.1623001,23.8967991,509.9840088,340.1380005,244.1889954,123.5599976,72.1123962,21.2271004,349.0559998,122.4690018,47.6090012,352.9020081,139.8809967,51.6399002
502.052002,306.519989,241.0939941,127.9219971,71.3813019,20.5963993,512.0050049,332.1369934,247.3379974,92.4932022,71.4192963,18.1515007,347.6430054,109.8949966,54.6323013,347.1340027,127.8519974,48.5455017
494.821991,337.322998,280.0910034,164.9790039,82.2724991,24.2901001,532.2620239,347.6380005,256.6619873,128.5110016,74.733902,20.9328995,355.2179871,123.9319992,48.641201,351.9419861,141.8910065,51.1780014
506.2539978,270.1740112,261.8469849,120.3239975,74.5576019,26.0422001,548.1939697,301.3460083,288.7890015,92.7764969,79.5938034,25.3932991,359.9039917,86.3019028,52.8875008,347.4289856,102.9000015,50.9681015
490.9039917,264.3479919,231.7839966,118.848999,68.1628036,24.0128002,545.1279907,299.1799927,261.0360107,92.1840973,73.8824997,22.3530998,356.822998,96.9944992,52.7910004,345.6260071,111.3399963,50.3945007
551.2410278,315.9570007,295.8900146,143.753006,82.9953995,23.7845001,596.8909912,363.6719971,327.4089966,129.4859924,89.5054016,22.9946003,361.9030151,110.4309998,47.5038986,348.0830078,121.1039963,46.6682014
492.6669922,285.118988,232.9940033,128.8600006,68.5274963,21.0000992,532.1589966,325.802002,256.1570129,117.5289993,73.2422028,20.2772999,344.3680115,111.4840012,46.786499,329.8200073,122.8180008,45.4830017
500.6789856,295.8210144,238.9360046,127.6009979,70.5354996,20.9353008,532.7589722,329.9039917,256.0849915,94.0374985,73.564003,18.3988991,350.427002,108.072998,52.6702003,337.1629944,122.7099991,47.4252014
511.5239868,275.3410034,266.3150024,125.1429977,75.1855011,25.8281002,552.9730225,308.4570007,292.5750122,109.1689987,80.2220001,25.7590008,355.3760071,89.2853012,48.7999001,347.7600098,105.0210037,50.4127007
542.1209717,343.4020081,308.7229919,149.9060059,86.1996002,21.7581997,556.2639771,345.7019958,273.6109924,110.6159973,76.0357971,18.0181007,342.5920105,113.0810013,50.3049011,346.0249939,129.0,50.2002983
559.6810303,355.9309998,319.1059875,195.9400024,90.1191025,25.1998005,574.9050293,362.6929932,281.2099915,149.2140045,79.4850006,21.1543999,360.4020081,121.1419983,46.4133987,366.473999,139.6519928,53.5312004
511.5740051,265.8330078,274.0539856,110.9209976,77.0130997,26.9967003,533.7139893,284.8139954,293.598999,79.3134003,79.5367966,26.2602997,360.723999,80.3715973,58.3992996,357.8540039,99.0330963,54.2294998
543.8829956,348.5929871,310.6440125,190.1119995,87.8802032,24.5937996,545.4119873,354.0599976,265.7579956,144.1970062,75.4216003,20.4944992,351.7130127,121.5309982,45.5547981,352.0230103,140.371994,51.9347992
504.8460083,321.605011,271.8280029,152.423996,78.6138992,22.3057995,520.0059814,332.7460022,250.3769989,116.8310013,72.094101,19.1669006,344.0650024,114.4530029,49.9081993,343.3120117,131.2769928,50.1147995
494.243988,335.7919922,278.2420044,156.8849945,81.8523026,23.9768009,531.8070068,347.4909973,256.303009,118.9639969,74.680397,20.4831009,355.4490051,120.8590012,50.3352013,352.0150146,139.1080017,50.8763008
492.8729858,261.1640015,265.8129883,117.3239975,74.8364029,27.2740993,530.8339844,285.0799866,290.8619995,97.3264999,79.447998,27.0601997,354.0570068,79.2602005,51.6589012,350.3309937,97.2768021,52.2496986
490.1740112,326.3190002,278.4779968,171.0619965,80.5800018,23.5039997,499.9649963,328.2030029,239.822998,136.4080048,69.7426987,20.5352001,338.1499939,122.2750015,46.0159988,340.2349854,141.0890045,50.7663002
501.7569885,306.3609924,240.8809967,127.1780014,71.3386002,20.5739994,511.9049988,331.9440002,247.2109985,91.1973038,71.3933029,18.0813007,347.5889893,109.4660034,54.9031982,347.071991,127.4690018,48.5135994
493.7349854,335.5150146,277.1870117,154.802002,81.7061996,24.0021,530.9920044,346.5409851,255.3569946,115.2649994,74.5110016,20.9766998,355.5570068,121.7509995,48.3722992,352.0350037,139.8639984,50.5419006
502.8659973,264.2579956,239.1260071,119.0579987,69.3488007,24.0450001,555.9439697,298.5,267.8240051,95.7285004,74.8527985,22.5911007,356.8699951,96.3535004,51.6329002,346.4070129,110.5910034,50.0248985
486.3309937,255.1589966,262.0880127,120.6669998,73.697197,27.0611992,543.7849731,291.2449951,297.9360046,113.8889999,81.0652008,27.4403,357.2479858,78.0774002,50.7344017,348.1010132,97.138298,51.1161003
515.7470093,327.3739929,276.8829956,143.0769958,80.1075974,21.9545994,528.1190186,338.821991,255.651001,102.4649963,73.4529037,18.6739006,349.4760132,113.7399979,51.6710014,350.9769897,131.3540039,50.1436996
490.2380066,260.0690002,262.7900085,110.151001,74.330101,27.0694008,511.4219971,279.6149902,280.9230042,76.6937027,76.7751007,26.5210991,356.17099,79.5035019,54.5840988,352.118988,98.1365967,53.3112984
511.8800049,266.1889954,274.4460144,112.3789978,77.0999985,26.9995003,533.7810059,285.401001,293.8640137,82.4357986,79.6072998,26.2294006,360.67099,80.8227997,57.4864998,357.8039856,99.4141998,54.1809006
510.4920044,327.2950134,275.8089905,160.8009949,79.7873001,22.8918991,519.9429932,338.1690063,250.3699951,125.0350037,72.3498001,20.2982998,343.375,119.2289963,47.7872009,347.8330078,136.6519928,51.1439018
499.4890137,294.8609924,237.5019989,126.3359985,70.3277969,21.2738991,534.8099976,332.0310059,256.67099,93.7114029,73.7712021,18.9953995,349.8349915,105.5650024,52.7825012,335.9750061,121.6230011,46.6348
485.8699951,254.1940002,261.0629883,116.3889999,73.4746017,26.9659996,543.2059937,290.0150146,296.6390076,93.3029022,80.7814026,26.8784008,357.0480042,80.6631012,49.2402992,347.8850098,98.0812988,51.0971985
543.0800171,346.8640137,307.4349976,176.9299927,87.2757034,24.2768993,544.4520264,353.2260132,264.6910095,138.0500031,75.2563019,20.875,351.8099976,122.5049973,46.5112991,352.07901,141.5659943,51.5265007
559.0809937,354.6010132,317.3840027,187.8869934,89.7785034,24.9990997,574.0839844,361.7680054,280.4930115,143.2380066,79.3479004,21.1530991,360.4490051,121.4100037,46.7097015,366.4590149,140.5220032,53.3298988
