DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
313.7820129,222.9389954,159.7319946,48.9510002,46.8179016,4.9739399,328.4729919,248.3860016,169.3390045,36.7352982,42.7044983,3.8312299,45.6820984,2149.4599609,4.5001898,66.0066986,41.6245995,6.4583101,54.0934982,2165.5900879,4.8313699,47.8174019,37.2401009,1.9516,241.7299957,98.9709015,37.1883011,210.2630005,110.3840027,31.4825993
297.5570068,217.9920044,150.6860046,44.6385994,43.7160988,4.2470298,308.9649963,243.5590057,158.4219971,35.6346016,40.2896004,3.8713901,42.2321014,2143.0100098,4.7023902,64.2518997,41.4062996,4.4028602,48.8805008,2125.1999512,4.9902301,48.8753014,38.0806007,1.78177,233.0720062,99.3500977,36.2985001,207.3679962,111.3219986,30.9466991
285.2099915,217.529007,154.7089996,38.0814018,36.6679993,3.8740301,275.1990051,231.9459991,149.9279938,34.5793991,38.1409988,4.1334,34.7412987,1963.6199951,4.2904801,69.1966019,41.6879005,2.2655101,40.8969994,1976.9000244,4.9748502,55.4776001,40.112999,1.62362,228.7969971,94.9377975,41.2480011,231.0740051,116.1070023,41.7627983
290.6340027,218.1439972,152.8450012,41.4654999,41.165699,3.93571,260.9020081,235.3849945,138.5209961,35.4854012,35.9971008,4.1368599,35.9844017,2096.0600586,4.5128798,65.0807037,41.540699,2.9660201,41.9752998,2080.3999023,4.9906702,52.9455986,40.0014992,1.80628,226.7799988,99.0551987,40.618,218.2129974,114.401001,40.7601013
272.9289856,255.1589966,144.4700012,45.7817993,39.9520988,4.1654701,260.4769897,260.6879883,137.8789978,37.1488991,36.6433983,3.98368,35.6607018,2128.9699707,4.5336499,68.9354019,42.6918983,3.5548501,41.3081017,2121.4199219,4.9310398,53.6464996,40.1493988,1.7357301,219.9329987,104.9990005,139.3059998,207.8699951,116.4520035,48.8698997
347.1839905,239.8959961,181.223999,51.098999,50.8089981,4.8642602,331.4819946,267.3359985,173.6519928,41.9219017,44.8684998,4.5457101,36.0909004,2181.5,4.46345,69.5690002,43.6114006,5.2121701,42.5965996,2171.5,4.8691101,50.8563004,39.8778,1.91561,238.8869934,105.9469986,39.6785011,218.772995,119.8570023,38.9556999
300.9859924,226.8130035,160.4490051,46.8824005,44.8709984,3.7797201,280.8869934,251.9109955,150.8350067,36.4816017,39.1178017,3.8793001,41.3801994,1944.3299561,4.05688,68.9766998,42.1198006,1.82628,48.8053017,1960.1199951,4.7544899,58.4888992,38.262001,1.60579,231.9559937,101.9199982,41.8525009,234.2749939,113.75,42.428299
235.0039978,241.4100037,124.5439987,45.3179016,32.1543999,3.9721501,264.3890076,255.8079987,140.477005,32.8130989,35.3916016,3.3710799,42.8624992,2121.4799805,4.5414,69.5903015,39.7621002,2.5766001,48.1245003,2146.9399414,5.0880599,50.8988991,36.9808998,1.50172,210.6569977,101.9020004,142.7079926,190.8869934,107.5680008,40.4659996
189.5529938,214.8110046,103.0360031,30.5998993,25.9104004,3.0549099,219.3600006,218.2949982,119.0879974,28.5391998,29.2150993,3.32937,41.1828003,1941.0300293,4.51863,67.0839996,40.3876991,2.16065,47.2621994,1975.4899902,4.8771601,50.7733994,36.5155983,1.48622,219.8650055,89.1001968,137.6860046,210.3329926,104.5550003,43.9920006
235.4570007,236.1959991,128.3430023,34.6985016,31.7821007,2.9295499,257.3089905,237.0350037,140.2290039,31.6574993,34.8540993,3.0759101,55.3167,1970.1400146,4.28091,68.0840988,39.453701,1.9158,60.3162003,1995.3699951,4.7666001,49.9929008,35.2505989,1.48963,221.697998,90.0249023,137.1329956,206.7299957,104.4749985,48.6174011
