DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
318.0849915,2658.0600586,51.0298004,269.7659912,225.9680023,41.4412003,222.9519958,2605.3701172,58.7038994,215.1660004,214.6349945,30.4039001,164.5690002,41.6048012,17.0403004,143.2339935,54.3600998,16.7658997
201.8639984,3252.8601074,41.4939003,342.4609985,177.1759949,10.9092999,237.2189941,2464.3999023,77.9191971,229.4100037,137.8880005,5.9506602,165.9669952,57.1379013,19.6595993,156.1009979,65.8705978,20.3656006
422.6069946,3303.1298828,47.714901,350.4660034,164.6880035,11.7693996,373.8529968,3360.6298828,53.1808014,307.6400146,160.8699951,6.8144698,173.6790009,61.4199982,20.4417,151.7120056,76.4819031,20.3209
404.3710022,2538.2199707,65.5082016,268.1749878,251.8500061,45.1952019,362.0499878,2530.8400879,75.8497009,211.5130005,228.5700073,31.3355007,172.9519958,37.2999992,17.0834999,141.9850006,47.4707985,16.0277004
543.2700195,2131.5800781,95.6425018,256.0379944,235.6329956,43.1276016,546.1300049,2436.6000977,88.8069,194.6750031,218.1190033,31.4596996,192.6069946,33.2229004,16.9764004,143.904007,43.4639015,16.3889999
311.0679932,2608.9099121,48.0382996,266.7460022,210.1269989,39.3628006,225.5200043,2610.2900391,56.0121994,213.102005,208.5500031,29.3638,162.8439941,43.2223015,17.0748005,144.677002,53.8033981,16.6947994
508.394989,2214.5600586,87.0746002,256.6270142,231.9839935,42.8073997,513.1259766,2449.2900391,83.8834,195.3970032,216.1159973,31.3353004,189.1909943,34.0551987,16.9347992,143.0050049,45.3661995,16.1721001
329.1669922,3279.2600098,46.1057014,346.3850098,166.9620056,11.4918003,314.2609863,3336.6599121,50.615799,306.946991,163.7910004,6.6937699,166.0619965,58.0393982,20.4036007,152.4730072,70.2790985,20.9995995
257.993988,2657.0300293,38.5596008,266.1119995,206.1990051,37.9816017,138.0950012,2659.1599121,45.1786995,216.2630005,205.2489929,28.5814991,164.9750061,46.0054016,17.2735004,147.197998,60.0248985,18.4398994
484.9070129,2445.4899902,79.8180008,269.9920044,282.6549988,50.0816994,490.7070007,2511.6000977,84.1537018,216.6580048,235.9219971,34.9726982,171.923996,32.8041992,16.5755997,139.8939972,46.1763992,14.7959995
231.7920074,2838.9199219,39.2761993,292.8389893,205.7169952,35.6836014,161.0010071,2850.8798828,49.0905991,245.5639954,201.3589935,27.4825001,165.3320007,49.8240013,17.7045994,148.5820007,61.7834015,18.2882996
300.8160095,3277.4299316,45.0915985,342.6820068,170.0319977,10.8903999,318.8930054,2859.4499512,68.7426987,260.1130066,144.4660034,5.89819,159.1900024,58.6520004,19.9759998,147.9960022,70.9661026,18.2078991
209.3110046,3249.5800781,39.0702019,342.1570129,176.1399994,10.8457003,242.8150024,2638.4799805,66.8482971,243.5970001,143.1170044,5.96385,168.7720032,57.1833,19.7206993,157.7769928,66.501297,20.4272003
300.4599915,3275.6499023,44.9645996,342.5010071,170.1629944,10.8837004,319.401001,2865.9599609,67.8778,260.6640015,144.8300018,5.8961701,158.5449982,58.524601,19.9666996,147.901001,70.7805023,18.1588001
429.6640015,3275.3999023,44.1067009,348.4339905,166.7559967,11.6336002,417.0440063,3041.3100586,60.8824997,275.7969971,148.4810028,6.4046898,160.5220032,64.0475006,20.0284996,146.2559967,79.7210999,17.8929996
245.701004,3031.5900879,39.1147003,316.3819885,177.7709961,11.7460003,239.2960052,2782.5300293,58.4961014,249.1419983,158.5769958,6.47193,168.4060059,54.6635017,20.0890007,155.6920013,64.8386993,20.1210003
221.7429962,3252.1298828,41.1492996,342.3940125,176.3630066,10.9081001,256.1149902,2576.2900391,71.7817993,238.4179993,140.9389954,5.9686599,164.4609985,57.3019981,19.6182003,155.6089935,66.4661026,19.9055996
398.0950012,3286.7700195,46.5560989,348.144989,165.2599945,11.6991997,371.0899963,3348.7800293,52.0278015,305.6929932,161.6790009,6.7722802,166.4409943,60.2277985,20.1853008,150.6529999,73.9810028,19.6714993
