M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
285.7810059,2639.7099609,56.6544991,404.3469849,198.5670013,18.0333996,245.8939972,2668.6298828,66.0960999,300.3680115,185.3899994,9.3471203,181.2890015,40.635601,16.9895,145.5700073,52.425499,16.6095009,0.0
326.3410034,2418.2700195,72.3079987,326.651001,214.602005,24.2493,319.3640137,2562.6101074,79.7338028,269.2659912,192.7039948,12.7466002,176.595993,35.3796005,17.0739994,141.8760071,45.7027016,15.9113998,22.5
343.5109863,3523.1000977,51.0500984,539.6799927,167.5,13.2370005,349.723999,3144.6899414,69.2180023,384.6319885,145.5780029,5.8049202,160.451004,63.5556984,20.0249996,146.8220062,78.7225037,18.0566006,0.0
368.7529907,3017.3000488,70.4272995,463.7160034,191.1049957,20.0746002,359.5079956,3128.3701172,74.3052979,387.1000061,172.7590027,11.0521002,179.7599945,47.8298988,19.5517006,151.0700073,58.906601,19.1641006,0.0
321.8169861,3510.8400879,49.9662018,534.9910278,168.8439941,12.6673002,333.1130066,3090.4399414,69.1809998,374.4419861,144.0919952,5.2912202,159.6759949,62.6366997,20.0030994,147.0570068,77.117897,18.0856991,22.5
377.6789856,2557.1201172,71.050499,375.7170105,204.5639954,21.9127998,352.4970093,2633.0600586,78.0547028,286.1180115,186.227005,10.9441996,181.003006,37.9506989,16.9675007,142.7079926,50.4704018,16.0293007,0.0
192.1399994,3126.9899902,44.0222015,483.7130127,178.697998,10.9078999,173.9880066,3187.8898926,54.0115013,402.5480042,176.9299927,6.47541,164.8059998,52.1439018,19.3719006,152.8119965,63.6596985,19.4722996,33.8
344.8880005,3509.8601074,50.9742012,526.927002,165.8809967,12.9786997,348.2409973,3249.1899414,65.5094986,404.4060059,148.3589935,6.2667899,158.6710052,63.2038002,19.9762993,145.7180023,78.4513016,17.6331997,0.0
526.9769897,2355.1201172,102.7809982,330.4060059,227.5679932,31.5816002,529.9420166,2518.9299316,104.1809998,258.7619934,192.8919983,14.6478996,190.0780029,32.5292015,17.0356007,141.4850006,44.4640007,16.3757,0.0
450.7950134,2470.3400879,80.9861984,309.7909851,204.7740021,25.7770004,454.0889893,2580.1699219,84.7649002,258.6409912,190.0590057,12.5781002,161.875,34.4586983,16.8570995,133.9120026,50.0080986,13.9874001,0.0
199.7640076,3480.6398926,43.4799995,510.2030029,175.0529938,10.3443003,225.1750031,2872.6599121,65.2074966,336.1239929,140.6549988,3.7354,158.723999,57.2092018,19.9729996,149.5480042,68.0619965,18.5983009,33.8
370.0679932,3539.2700195,52.3202019,547.0789795,165.8110046,13.9630003,369.1170044,3211.8898926,69.1528015,397.7149963,147.5619965,6.5067401,161.7169952,64.7126999,20.0618992,146.6320038,80.7436981,18.0825005,0.0
365.0119934,3522.2600098,51.7406006,534.6699829,163.8280029,13.5544996,360.1579895,3312.6699219,65.3893967,416.3569946,149.9109955,6.8214502,160.9149933,64.4494019,20.0177002,145.621994,80.4869995,17.6954994,11.3
369.7659912,3521.7900391,52.0667992,523.8839722,161.9649963,13.5924997,362.2279968,3567.5400391,63.2400017,445.9609985,160.4559937,7.0325999,160.9299927,64.4869995,20.1324997,146.2570038,80.4272995,17.4118004,11.3
514.7050171,2311.5300293,100.7020035,310.2470093,231.201004,31.8750992,521.8790283,2491.2399902,102.6910019,252.2420044,193.2519989,14.8001003,195.3560028,30.9323997,17.2576008,141.6230011,43.2234993,17.1578007,0.0
558.2180176,2336.0100098,109.6800003,344.4599915,229.7890015,33.2036018,557.1890259,2519.1398926,109.7020035,260.7349854,193.8769989,15.3170004,192.2519989,32.8395004,17.0011005,143.0639954,43.5895004,16.4004002,33.8
166.3600006,3405.9899902,39.9676018,513.3220215,175.4179993,8.2982998,190.9299927,2814.4099121,58.4331017,343.5840149,142.6809998,3.4825301,167.8800049,57.2905006,19.7049007,157.4470062,66.9542999,20.2185001,0.0
393.1740112,2372.6000977,82.9368973,319.8569946,221.0099945,26.6406002,385.1260071,2521.2399902,87.8212967,261.5759888,192.6089935,13.7250004,181.0319977,34.3591995,16.7924995,143.5890045,44.1296997,15.7820997,0.0
275.8720093,3460.7399902,48.0056992,473.1059875,168.2409973,10.3316002,294.6099854,3373.1398926,57.3352013,439.1690063,153.776001,5.8854699,147.1309967,58.4924011,20.2271996,145.5469971,70.7767029,18.3381004,0.0
179.522995,2735.1999512,41.3925018,428.993988,192.8970032,13.9593,124.5979996,2712.1398926,52.0528984,317.105011,184.4660034,7.6035299,178.8119965,43.6052017,17.0424004,147.8650055,55.3455009,17.3062,0.0
191.7449951,3402.4799805,41.8540993,498.6029968,175.0330048,8.6524401,221.5639954,3060.3701172,56.6263008,393.8510132,147.6340027,4.1781001,161.822998,57.6870995,19.6662006,155.0019989,68.8909988,19.7502003,33.8
177.0279999,2694.0100098,48.6953011,383.2120056,192.0820007,15.4672003,128.904007,2697.4899902,56.4805984,312.0660095,184.0110016,8.7529402,162.4929962,41.9113007,17.0146008,142.9889984,53.7002983,16.5293007,0.0
274.2340088,3435.0900879,44.6074982,544.4780273,162.2720032,11.7714996,244.3379974,3544.2399902,49.8456001,481.0090027,160.6329956,7.9299698,171.5700073,58.0782013,20.4400005,153.6589966,71.152298,21.3267994,0.0
196.2899933,3464.4399414,43.0158005,507.0610046,176.6360016,9.7351999,217.8990021,2739.5200195,66.3438034,313.6849976,139.470993,3.21137,161.220993,57.8065987,19.5370007,153.7230072,67.653801,19.3560009,0.0
195.8159943,3402.7600098,42.344799,488.8840027,175.2359924,8.91504,229.5169983,3047.9699707,57.2579994,389.0020142,147.0119934,4.11831,159.3130035,57.5987015,19.5853996,154.1820068,68.6720963,19.3101997,33.8
373.8179932,2911.6999512,71.3735962,430.7250061,196.1499939,20.9403992,362.5650024,3010.0300293,74.7910995,365.6560059,178.6009979,11.3275995,177.7839966,45.5472984,18.2033997,149.5249939,56.1348,18.8043995,33.8
263.6109924,3420.7399902,44.8933983,512.8579712,161.6699982,10.5944004,253.7689972,3541.1799316,51.1857986,474.4639893,162.2599945,7.12005,163.8760071,58.1077003,20.3614006,151.7259979,70.3628998,20.9451008,0.0
337.368988,3513.5300293,49.6030998,501.3840027,158.5899963,12.0623999,328.4869995,3576.7399902,57.6139984,436.0889893,160.7660065,6.7817602,153.8379974,61.9000015,19.7355003,145.2870026,76.9875031,16.3306007,0.0
215.1179962,3443.5500488,44.2549019,493.2399902,175.6089935,10.0071001,242.8869934,2894.8100586,63.3655014,346.6359863,143.0310059,3.84922,157.6730042,57.8651009,19.4864006,152.3999939,68.4674988,18.8460007,33.8
266.6390076,2673.8300781,54.0614014,414.5690002,200.0879974,17.1893997,223.1990051,2676.6000977,63.9505997,303.9949951,185.447998,8.7837896,181.4859924,41.5467987,17.0459003,145.6950073,53.3272018,16.9286995,11.3
287.6400146,3451.5700684,45.1744995,556.3920288,161.875,12.3416004,251.8209991,3550.3701172,50.722599,481.0069885,159.8760071,8.2853804,172.7230072,58.9403,20.4645004,153.2700043,72.7577972,21.1074009,0.0
137.0370026,2741.0300293,43.2792015,397.0450134,192.8860016,13.8444996,88.7251968,2713.3100586,50.6960983,318.7200012,183.7720032,7.9114499,164.1210022,43.0102997,17.0793991,144.1309967,55.2938995,16.9789009,11.3
183.4329987,3169.7900391,43.4887009,492.8720093,175.3890076,10.1893997,169.6390076,2983.4199219,56.0587006,386.5710144,159.6360016,6.04251,166.2920074,53.6904984,20.0403996,154.3619995,63.9676018,19.8603001,33.8
