DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
239.7319946,182.4089966,125.0110016,35.712101,40.4561996,2.9494801,262.8890076,197.6459961,134.427002,34.5484009,43.6142998,3.04527,211.1360016,63.4920998,38.5317993,200.8829956,69.5427017,41.2645988,27.0
259.0100098,185.6119995,147.9230042,40.0015984,41.4486008,3.1561,275.0339966,189.1779938,155.397995,37.6236,43.2495003,3.4972899,217.7630005,75.6093979,39.2117996,205.7440033,80.6056976,42.1437988,27.0
240.0509949,168.8170013,126.4820023,35.4700012,39.8456001,3.0409999,267.5509949,185.8509979,141.3820038,34.3931999,43.3011017,3.23068,216.2920074,67.3560028,38.2901001,196.9889984,82.3537979,42.8833008,18.0
252.9949951,179.6199951,136.4329987,38.4710999,41.3148003,3.18963,271.1789856,193.0319977,146.423996,36.1251984,43.3330002,3.3227701,219.3600006,69.6942978,39.7265015,201.8789978,80.7210999,42.9179001,9.0
241.0039978,183.8739929,128.8439941,35.9701996,40.5820999,2.9554801,263.5950012,193.3820038,136.9490051,34.7695999,43.7394981,3.0685501,211.2850037,63.3237991,38.5430984,204.9429932,69.2369003,41.2547989,0.0
259.2690125,186.7570038,148.7100067,40.0555,41.4724998,3.1575999,275.0969849,189.4380035,155.776001,37.6516991,43.2583008,3.5102201,217.9019928,76.3704987,39.2248993,206.6519928,80.7061005,42.1697006,27.0
256.3599854,175.7189941,142.996994,40.0200005,41.1843987,3.16132,275.1910095,192.0780029,156.4019928,37.7098999,43.1435013,3.66342,218.6439972,76.6108017,39.4620018,205.9380035,88.9002991,42.4534988,0.0
238.9389954,190.3329926,121.5940018,35.297699,40.4407005,2.9484401,263.0960083,209.8200073,133.7120056,34.2209015,43.7188988,3.0232601,211.6239929,63.7943993,38.5718002,200.072998,74.1100998,41.2792015,0.0
254.2030029,184.3699951,137.6889954,39.7345009,40.8865013,3.1791101,274.4230042,190.8549957,154.272995,37.5744019,42.9976006,3.5659299,221.4640045,88.641098,39.5424004,225.4640045,94.9856033,42.9874001,0.0
246.7899933,183.8410034,127.1869965,34.6222,41.5323982,2.9146099,267.1390076,204.5670013,137.9579926,32.8438988,44.3023987,3.07271,209.298996,67.4373016,37.732399,197.8329926,79.1468964,41.0057983,27.0
253.5010071,175.6730042,135.875,39.5368004,40.8241005,3.1716399,274.1229858,187.2429962,152.647995,37.4915009,42.9379997,3.49915,220.4160004,80.3159027,39.4678001,218.2140045,91.2481995,42.8591003,9.0
260.4309998,197.9830017,153.0090027,40.5601997,41.5457993,3.1808701,276.2000122,207.7279968,161.6009979,38.0612984,43.5079994,3.6544001,219.746994,84.8047028,39.4779015,219.1390076,92.4234009,42.8981018,0.0
236.447998,175.5480042,116.3529968,35.0705986,40.1500015,2.9354,261.6629944,202.2400055,129.4519958,34.0864983,43.3680992,3.03813,210.4089966,63.3964005,38.4998016,191.1239929,73.1584015,41.4698982,0.0
238.5299988,166.7940063,124.3880005,35.6846008,40.2533989,2.9442201,262.3110046,178.6009979,134.845993,34.5998001,43.4660988,3.0915,210.1900024,64.2344971,38.4977989,199.3049927,72.6270981,41.1526985,18.0
