M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
449.6839905,3605.0600586,60.3030014,832.9760132,404.6740112,144.9369965,469.5539856,3698.2700195,69.0126038,672.9099731,388.5230103,91.4606018,211.2910004,61.0983009,30.9773998,193.3390045,82.1694031,26.9857006,5.6
542.8699951,3126.3300781,86.9861984,786.4780273,490.6380005,236.9129944,589.8880005,3220.7900391,97.8630981,558.0540161,472.0750122,165.6230011,207.6920013,42.8963013,35.4850998,194.9660034,58.1264,25.8057003,0.0
440.1419983,3306.4199219,52.4827003,632.7230225,436.79599,177.6289978,470.0969849,3376.4599609,66.6595001,503.9320068,432.3599854,139.8359985,202.6119995,47.9023018,26.1870995,195.3179932,60.9808998,22.6594009,0.0
405.5119934,3641.5,48.6348991,804.4730225,410.0239868,150.8130035,441.5329895,3753.1799316,60.3894997,668.6550293,392.0429993,106.6019974,210.9420013,58.2165985,27.1725998,189.5839996,74.6488037,24.5000992,0.0
449.8089905,3601.8200684,60.5393982,832.7969971,403.875,144.7850037,469.4389954,3693.2800293,69.1541977,672.5570068,387.8299866,91.5866013,211.2810059,61.0387993,30.9529991,193.4669952,82.1246033,26.9804993,5.6
394.5830078,3511.1599121,47.0794983,782.0859985,378.2170105,146.0700073,428.6530151,3605.0600586,59.1114998,634.6149902,365.2590027,110.8440018,210.2819977,56.540699,26.8626995,189.5019989,72.2751999,24.4946995,16.9
406.2070007,3630.8601074,48.4981995,803.6530151,407.2720032,151.0460052,441.6839905,3743.5100098,60.3541985,663.65802,389.3699951,105.9840012,210.848999,58.1124001,27.6427002,189.6360016,74.7990036,24.7957993,0.0
550.2650146,3147.9799805,90.259697,793.302002,484.8880005,232.6529999,595.0839844,3221.3200684,100.6520004,554.7849731,467.0090027,167.3939972,207.6600037,43.2490005,35.3848991,197.0709991,57.7330017,25.9041004,0.0
406.4620056,3656.0900879,48.8061981,806.7940063,413.6170044,151.1119995,442.7869873,3768.8798828,60.5281982,672.8319702,395.1289978,106.3290024,211.0330048,58.4264984,27.0541992,189.5420074,74.848999,24.4083004,0.0
508.1149902,3325.6101074,75.3100967,817.8980103,469.5589905,209.776001,539.947998,3428.5800781,85.8006973,612.3200073,448.5849915,142.7879944,206.3959961,48.0643997,34.5671997,194.8560028,65.7089005,27.2567997,0.0
432.0870056,3287.1899414,51.0744019,619.6810303,436.20401,177.7510071,459.1210022,3361.7199707,64.0751038,497.7330017,430.8399963,138.7559967,202.6690063,47.8353996,26.3787003,196.0079956,60.9898987,22.8833008,0.0
406.1549988,3341.2600098,46.6043015,655.9769897,407.2550049,167.625,433.6830139,3427.5700684,60.7030983,527.367981,398.6109924,129.3220062,198.0890045,49.2759018,27.4860001,194.3869934,63.9770012,23.0592003,0.0
474.3779907,3320.9299316,61.7630005,688.8389893,461.3919983,191.6589966,515.5949707,3395.6599121,77.1549988,542.3649902,455.0710144,145.1710052,202.5249939,47.0934982,27.9326,189.7250061,61.1296997,22.5338993,16.9
417.1180115,3358.8798828,48.2274017,667.4160156,407.4150085,166.8009949,444.3340149,3425.5500488,62.3311996,554.1729736,401.8139954,134.7319946,194.8320007,48.6777992,26.6266003,197.1399994,61.5195999,24.3493996,0.0
407.1520081,3556.4699707,48.8289986,799.5180054,396.7999878,154.7369995,438.677002,3681.4399414,60.3019981,652.2329712,379.1350098,105.4550018,210.4810028,57.0611,30.0841999,191.0549927,74.7274017,25.8934002,0.0
499.6539917,3255.7700195,71.7341003,731.9039917,467.4630127,209.3139954,542.0750122,3326.0,85.4023972,550.1329956,456.144989,155.4279938,207.0,45.4039001,30.6762009,193.8990021,59.2867012,24.0382004,5.6
377.0610046,3494.6999512,42.9566002,766.742981,377.5509949,152.625,408.5390015,3614.8000488,55.8713989,636.335022,360.1369934,112.6409988,210.3110046,55.4578018,30.5203991,192.3320007,70.5477982,25.7485008,0.0
383.2950134,3504.0,44.1587982,772.9589844,378.9790039,152.0449982,415.0960083,3619.9099121,56.8577003,637.7849731,362.2460022,111.625,210.326004,55.6470985,30.0995998,192.1829987,71.2281036,25.6798992,5.6
453.9689941,3613.2299805,60.1007996,838.5679932,412.1409912,147.5119934,473.3760071,3725.0700684,69.0539017,679.210022,394.6759949,88.7210007,211.3619995,61.8885002,32.1417007,193.1909943,83.453598,27.5748997,5.6
517.0789795,3092.0800781,75.632103,750.8369751,498.1600037,237.0659943,569.5709839,3261.1201172,89.3667984,574.0800171,485.4129944,158.3690033,206.2579956,41.8465004,26.1012993,183.8450012,59.527401,22.3362999,0.0
406.052002,3555.8200684,48.592701,798.3770142,396.1650085,154.5099945,437.7019958,3680.0300293,60.1405983,651.7249756,378.5610046,105.7340012,210.4790039,57.0189018,30.0296993,191.0659943,74.5733032,25.8658009,0.0
475.4580078,3323.2199707,62.0191002,690.7030029,462.1889954,191.9649963,517.072998,3397.5600586,77.4990005,543.9890137,455.8569946,145.3589935,202.5149994,47.0765991,27.9440994,189.5050049,61.1310005,22.5188999,16.9
418.2999878,3758.7199707,49.1134987,824.6489868,437.0910034,151.5899963,454.7479858,3868.5100098,61.8450012,685.4489746,410.7770081,99.6172028,213.5950012,61.9328003,26.8372993,190.2599945,78.1996994,24.2516003,0.0
541.4780273,3141.0200195,86.5016022,784.2880249,488.45401,234.1670074,588.1389771,3230.0100098,97.5709991,558.1329956,470.6619873,165.2769928,207.6029968,43.1109009,34.9527016,195.0090027,58.1422997,25.6436005,0.0
472.6849976,3383.6499023,59.9822998,689.4539795,462.6480103,186.0789948,514.6010132,3439.3701172,76.9990997,555.3640137,457.5840149,145.4230042,202.348999,47.5914993,27.0832996,188.3869934,61.0253983,22.2499008,16.9
551.8670044,3135.8601074,90.8636017,795.8629761,487.0589905,235.2169952,597.0360107,3210.8100586,101.0739975,555.5570068,468.381012,167.9810028,207.7389984,43.0325012,35.924099,197.3359985,57.6721992,26.1224995,0.0
554.335022,3100.8999023,91.9540024,801.0419922,492.3340149,242.4799957,599.9050293,3178.2600098,101.663002,555.8109741,471.04599,169.3809967,208.0679932,42.4989014,37.9093018,199.0939941,57.5182991,26.9542007,0.0
383.6019897,3506.0400391,44.2408981,773.6110229,380.5299988,152.6320038,415.2380066,3624.7800293,56.8754997,638.9400024,363.394989,111.3119965,210.3379974,55.7378998,30.2768993,192.1190033,71.3663025,25.7367992,5.6
444.2009888,3627.8300781,57.2092018,829.8369751,409.0939941,146.6779938,466.8410034,3734.8000488,66.9946976,672.6489868,392.3250122,92.3884964,211.3049927,60.9981995,30.7663002,192.0149994,81.5605011,26.8840008,0.0
486.3829956,3292.5500488,66.6928024,716.0960083,463.4320068,202.4629974,528.276001,3359.0,81.4589996,550.6110229,453.9830017,152.3110046,206.8090057,46.0427017,29.4207993,192.875,59.6910019,23.5266991,0.0
458.5169983,3362.9799805,54.1862984,664.0239868,463.79599,178.727005,497.9989929,3429.7800293,72.2539978,559.1300049,456.0799866,146.4120026,202.0899963,47.2957001,26.5720005,191.5059967,60.1012993,21.1914005,0.0
459.0360107,3392.8601074,55.3902016,666.6599731,450.2969971,176.8800049,497.1400146,3441.6799316,72.8022995,541.2299805,447.0069885,143.3399963,202.3139954,48.2067986,26.0977993,190.5079956,60.8359985,21.9988003,0.0
525.2180176,3201.6398926,80.4480972,763.7160034,479.6610107,222.2769928,570.6459961,3280.6799316,92.9091034,557.0960083,465.2829895,161.2180023,207.2590027,44.162899,32.6380997,193.9629974,58.6311989,24.7691994,11.3
435.5979919,3633.7299805,54.4930992,822.9639893,408.3569946,147.2720032,461.0379944,3741.9699707,65.060997,669.4039917,391.6260071,95.360199,211.276001,60.3883018,30.0603008,191.3869934,80.031601,26.5471001,16.9
524.1489868,3206.4699707,80.5811996,761.3599854,475.5,219.9799957,567.947998,3279.6201172,92.7531967,552.4219971,461.3580017,161.029007,207.2819977,44.4021988,32.6794014,195.1199951,58.5713997,24.8220997,11.3
426.7770081,3639.4499512,51.9285011,816.2650146,407.9649963,147.8589935,455.1090088,3748.3999023,63.2126999,666.6660156,391.1199951,98.4736023,211.2720032,59.8199997,29.3043995,190.8200073,78.4597015,26.1606998,0.0
553.5159912,3121.3400879,91.5402985,798.6090088,489.3070068,238.2039948,598.90802,3197.4699707,101.512001,555.9060059,469.6130066,168.6620026,207.852005,42.7935982,36.6533012,197.8869934,57.5940018,26.4258003,0.0
413.6239929,3367.5200195,50.1323013,658.1719971,408.7579956,164.8730011,450.1180115,3443.6000977,64.9057007,554.072998,402.2390137,132.0370026,195.9019928,50.6189995,26.0594006,191.848999,63.0573997,23.2936001,11.3
426.6619873,3654.7099609,51.4926987,817.0410156,410.6530151,148.1750031,455.7449951,3767.7600098,62.9817009,666.9420166,393.375,98.1622009,211.3200073,59.9542999,29.1056995,190.1320038,78.5779037,26.0158997,0.0
460.9200134,3602.4899902,63.729599,843.5100098,408.6069946,143.9819946,477.6730042,3696.3898926,71.4365997,680.5960083,391.7600098,86.7847977,211.4219971,62.4842987,32.2545013,194.3800049,84.5154037,27.5394993,0.0
461.0929871,3604.2600098,63.9110985,843.3099976,407.9100037,143.7640076,477.7590027,3696.6398926,71.566597,679.5109863,391.2369995,86.946701,211.4069977,62.3512993,32.0508995,194.1959991,84.4496002,27.4389,0.0
427.3410034,3657.7399902,51.5713997,817.6890259,411.2510071,148.2030029,456.348999,3771.8300781,63.0595016,667.1240234,393.901001,97.822998,211.3269958,60.0259018,29.1315994,190.0010071,78.733902,26.0228004,0.0
538.7109985,3168.3898926,85.6793976,779.8109741,483.2510071,228.6390076,584.117981,3246.7900391,97.0105972,556.1619873,466.8420105,164.5310059,207.4850006,43.6008987,34.1809006,195.4779968,58.1663017,25.3929005,0.0
499.6000061,3286.8898926,70.3123016,734.0460205,473.8039856,208.4579926,544.9050293,3358.5500488,85.332901,563.098999,463.5570068,155.0679932,206.7830048,45.414299,29.6445999,190.7899933,59.4990997,23.5478001,5.6
404.4630127,3412.5800781,47.8992004,692.664978,400.4289856,161.8419952,437.5039978,3504.4299316,60.8466988,572.2180176,389.6549988,127.3669968,214.2630005,51.8103981,27.4111004,198.7680054,65.4272995,23.5942001,5.6
552.9400024,3117.7099609,91.3086014,798.2329712,489.9920044,238.9340057,598.4890137,3195.3400879,101.2890015,556.0789795,470.0740051,168.5919952,207.8789978,42.7421989,36.8059998,197.8999939,57.6160011,26.4806995,0.0
541.9520264,3135.0700684,86.6540985,785.065979,489.3819885,235.2810059,588.7949829,3226.4799805,97.6559982,558.1939697,471.2940063,165.3930054,207.6340027,43.0194016,35.1399002,194.9429932,58.1405983,25.6994991,0.0
434.9129944,3622.7099609,54.7613983,821.8289795,406.1610107,146.9120026,460.0169983,3726.4199219,65.1708984,668.8859863,389.7099915,95.939003,211.2510071,60.2429008,30.0783997,191.901001,79.7815018,26.5748997,16.9
462.67099,3593.0800781,64.5459976,845.4119873,408.5979919,143.2720032,478.7449951,3683.5400391,71.9440002,683.2630005,391.6130066,85.9196014,211.4750061,62.9450989,32.7174988,195.3040009,84.9570007,27.7462006,0.0
459.303009,3391.6499023,55.5197983,667.1110229,450.5629883,177.2440033,497.4389954,3440.9099121,72.8834,541.2490234,447.196991,143.3650055,202.3209991,48.1815987,26.1366005,190.4940033,60.8479004,22.0214005,0.0
441.9859924,3300.0700684,53.2943001,636.0910034,440.9899902,180.2230072,472.4750061,3373.0600586,67.1737976,508.0780029,435.7290039,140.2389984,202.625,47.7359009,26.6315994,194.5749969,61.0085983,22.7369995,0.0
538.447998,3171.8500977,85.6455002,779.25,482.2950134,227.8240051,583.5629883,3248.6398926,96.9770966,555.4819946,466.0650024,164.447998,207.4750061,43.6764984,34.0988007,195.6230011,58.1613998,25.3673992,0.0
376.7550049,3493.3100586,42.8807983,766.2719727,376.776001,152.4069977,408.2680054,3612.4899902,55.8308983,635.6749878,359.4979858,112.7959976,210.3049927,55.4081001,30.4757996,192.3670044,70.4707031,25.7264996,0.0
515.5570068,3196.6599121,75.3123016,753.4559937,489.1789856,225.0070038,565.7449951,3310.2399902,89.4117966,572.6539917,476.5159912,158.4100037,206.6499939,43.4196014,28.9710007,186.3760071,59.2970009,23.2668991,0.0
434.3510132,3283.9599609,51.8725014,623.8690186,439.8169861,180.1179962,462.1679993,3360.7800293,64.7474976,502.4249878,433.881012,139.2120056,202.6719971,47.7083015,26.7765007,195.1869965,61.0124016,22.8971996,0.0
444.8009949,3344.1999512,51.8074989,640.164978,416.7369995,172.8939972,478.2879944,3401.4299316,68.6393967,499.946991,420.4309998,139.6309967,202.3099976,48.4808998,24.2724991,192.8350067,61.0199013,20.9424992,11.3
455.4570007,3579.0600586,60.4566994,841.5900269,415.651001,152.3350067,474.2829895,3702.0600586,69.2891006,683.8140259,396.7460022,88.4580994,211.3939972,61.8684006,33.2223015,194.8410034,83.7276993,28.1268997,5.6
