DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
235.7299957,169.2380066,115.2519989,34.9732018,40.0775986,2.9385099,261.4760132,192.6809998,129.6600037,33.9854012,43.3540001,3.0216701,79.6065979,1905.3699951,5.3228798,64.2118988,63.6649017,4.8558898,78.9819031,1952.3299561,5.91366,51.0391006,66.8647003,2.8503799,210.5509949,64.2910995,38.5266991,194.3589935,74.3795013,41.1542015,18.0
240.9680023,172.9859924,130.1410065,36.1561012,40.4911003,2.9535301,263.0710144,179.7070007,137.4869995,34.9580002,43.6347008,3.09179,86.0686035,1879.8900146,5.5297599,64.4148026,64.2434006,5.6233602,87.4695969,1909.5500488,7.09059,51.2896996,65.7506027,3.4280801,210.6999969,63.2994003,38.5161018,204.4380035,69.4205017,41.1702003,18.0
239.7590027,183.7259979,124.9589996,35.6851006,40.469101,2.9500201,263.0,199.2749939,134.5829926,34.5287018,43.6416016,3.0448401,81.0214996,1911.4899902,5.35077,64.4853973,63.9401016,5.2197399,83.3431015,1926.5799561,6.6736698,51.2033997,63.6385994,3.18575,211.2160034,63.4942017,38.5377007,201.1199951,70.0522003,41.2739983,27.0
250.6959991,203.7030029,125.5960007,36.1727982,42.0714989,3.0016899,271.2630005,221.5169983,138.128006,34.7615013,44.9700012,3.0443499,56.2984009,2020.7099609,5.0455298,64.0531006,60.7603989,3.7346201,54.6576996,2057.7199707,4.8273301,50.7641983,56.6156998,1.92129,211.3710022,66.3077011,38.0918999,201.4049988,78.4624023,40.5872002,27.0
259.6679993,194.7649994,151.2230072,40.4262009,41.4679985,3.1852901,276.3959961,208.3249969,162.3829956,38.0761986,43.5682983,3.61888,48.7230988,2089.1699219,4.2867398,61.4482002,62.0676003,2.4587801,50.8101997,2089.8400879,5.1946998,50.1892014,60.3838997,1.43635,220.8789978,84.964798,39.4803009,221.4620056,92.4988022,42.9921989,27.0
252.6880035,176.9149933,137.5559998,39.3086014,41.030899,3.2377999,269.8070068,189.9329987,148.0809937,36.766201,42.864399,3.36376,62.9398994,1990.1700439,4.65556,62.865799,61.0573006,3.6919799,62.1417999,2033.3800049,4.9006901,49.8174019,62.1193008,1.9934601,222.6999969,71.0223007,40.5219002,204.0700073,81.343399,43.2916985,9.0
256.0050049,173.0650024,142.0279999,39.9099998,41.1511993,3.1538301,275.006012,189.3609924,155.7129974,37.6696014,43.1110001,3.6271701,43.4112015,2072.3898926,3.7307301,60.7041016,53.8804016,1.63834,47.6576004,2091.6201172,4.0662799,50.0382004,52.1066017,1.29686,217.8829956,74.1063995,39.4043007,200.8990021,86.3656006,42.2565002,0.0
235.7259979,171.0700073,115.026001,34.8885002,40.0811005,2.9373701,261.5400085,194.2610016,129.7709961,33.9174995,43.3806,3.0160699,75.7461014,1929.5,5.2663398,64.1744003,63.1576996,4.63166,73.4144974,1977.2800293,5.5866199,50.9902,65.4363022,2.59392,210.4730072,64.6496964,38.5281982,194.4559937,75.5121002,41.0852013,0.0
238.1089935,185.0379944,119.2770004,35.1203003,40.3667984,2.9478099,262.7990112,209.076004,132.6029968,34.0780983,43.6801987,3.01612,71.6259995,1945.4899902,5.1693001,64.3572006,63.4928017,4.5756102,72.5593033,1995.6199951,5.7307401,51.0535011,63.9892006,2.5190599,211.7660065,63.3917999,38.5699005,198.5630035,75.0048981,41.243,0.0
235.8659973,174.1799927,114.8089981,34.9780006,40.1301994,2.9428101,261.6879883,201.4170074,129.3170013,33.9854012,43.405899,3.0191801,78.6855011,1897.7700195,5.3091502,64.302002,64.0062027,4.88306,80.1075974,1951.1600342,6.06638,51.0830002,67.5951004,2.96962,211.2850037,63.8016014,38.5601006,195.2359924,73.5114975,41.3571014,18.0
239.2630005,169.6179962,125.8669968,35.8129997,40.3331985,2.9470799,262.5289917,180.2669983,135.3500061,34.6898994,43.5172997,3.0858901,85.9786987,1879.7399902,5.5416899,64.3289032,64.1924973,5.5089402,87.6781006,1911.8699951,6.9581699,51.2322998,66.4599991,3.3391099,210.401001,63.7459984,38.5046005,200.6670074,71.1983032,41.171299,18.0
250.2910004,200.4600067,124.663002,36.2276993,42.0376015,3.00597,271.2179871,214.8059998,137.9120026,34.7985992,44.9622002,3.0344601,61.901001,1999.5699463,5.0726299,64.1681976,62.0214996,3.97247,59.7551003,2034.9899902,5.0504699,50.8107986,58.0996017,2.1124599,212.1119995,65.6337967,38.1212997,203.2259979,77.5035019,40.6268005,0.0
244.8190002,164.404007,127.4599991,37.9662018,40.1419983,3.1818099,265.2600098,183.9700012,142.4830017,35.985199,42.4393005,3.3253701,65.3771973,1975.9599609,5.16149,63.3065987,63.9555016,4.1870899,66.3539963,2004.4499512,5.9809098,50.9628983,64.7553024,2.3672099,220.3699951,68.5295029,39.7541008,202.6199951,85.3720016,44.1633987,9.0
256.3869934,175.9149933,143.0469971,40.010601,41.1853981,3.1603999,275.1740112,192.3079987,156.3950043,37.7102013,43.1451988,3.6563399,42.2682991,2078.7800293,3.75423,60.8068008,54.9468002,1.4849,47.5094986,2094.1899414,4.3471498,50.071701,52.6478004,1.29318,218.5549927,76.3153,39.4529991,205.4259949,88.6147995,42.4325981,0.0
260.7869873,192.7949982,153.0189972,40.3336983,41.6063004,3.1663799,275.428009,192.0970001,157.7489929,37.7952995,43.3204002,3.56389,47.2290001,2056.8798828,3.9168501,60.9922981,56.5199013,2.46963,47.4911003,2083.7199707,3.9446599,50.0189018,54.210701,1.5188,218.6880035,80.172699,39.2868004,212.326004,81.8416977,42.3390999,0.0
253.9320068,175.6000061,136.9279938,39.5849991,40.8725014,3.1714301,274.3070068,188.7910004,153.3860016,37.5381012,42.9957008,3.5012801,50.5684013,2061.4299316,4.8397102,61.6557999,64.8001022,3.0904901,50.4002991,2075.4299316,5.7646499,50.2148018,63.4985008,1.74554,220.2279968,79.3434982,39.4594994,216.7059937,90.944397,42.8479996,9.0
245.5480042,166.2969971,129.2489929,38.0489006,40.2294998,3.18238,265.5220032,185.3300018,143.2610016,36.0223007,42.4987984,3.3299799,65.2865982,1978.3499756,5.05054,63.2686005,63.2019005,4.10921,65.3767014,2011.6899414,5.7233701,50.9365997,64.343399,2.3001399,220.154007,68.3532028,39.7327995,201.5800018,84.5317001,44.0942993,27.0
239.3099976,200.7200012,121.987999,35.2027016,40.4940987,2.94789,263.4670105,216.0420074,134.6139984,34.1576996,43.8260002,3.0195701,62.3389015,1992.25,5.0225601,64.3984985,61.8218994,4.12884,60.9390984,2029.7099609,5.16008,51.0283012,58.1711998,2.23401,211.7310028,65.1843033,38.6035995,201.8630066,76.4656982,41.2737999,0.0
