H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
46.9751015,2084.6398926,4.4739599,61.6007996,64.780098,2.3730299,50.1362991,2081.2099609,5.99295,50.240799,60.1353989,1.61034,220.8659973,88.0263977,39.5537987,222.2339935,95.4697037,42.9623985,0.0
76.7250977,1923.6700439,5.27244,64.1613998,63.1054993,4.66991,74.6668015,1972.0,5.6108198,50.9948997,65.4998016,2.6431501,210.2550049,64.552803,38.5136986,193.697998,75.7118988,41.0545006,0.0
82.6924973,1905.8800049,5.4194002,64.4328995,64.1715012,5.2053699,86.5101013,1904.1999512,6.7865701,51.1758003,64.1368027,3.3595901,210.9620056,63.7282982,38.5154991,197.4420013,69.1755981,41.2780991,27.0
66.4548035,1969.9399414,4.8908801,63.7626991,61.2887001,4.1856198,63.7686996,2021.3399658,5.0630298,50.7005005,62.1030998,2.2266901,209.7680054,66.0954971,37.9261017,193.5399933,79.5521011,40.1705017,0.0
62.8913994,1981.0,4.5693202,62.4973984,59.3614006,3.5056701,62.7360992,2028.1199951,4.6283002,49.2238998,59.8690987,2.00261,219.6309967,69.9218979,39.4304008,200.6569977,80.0059967,41.7955017,0.0
81.5771027,1909.3699951,5.3684502,64.4814987,63.9989014,5.2491202,84.033699,1922.1700439,6.7258,51.2080002,63.7515984,3.2265,211.1750031,63.4903984,38.5345001,201.0249939,69.7761002,41.2695999,27.0
85.137001,1880.3199463,5.5023599,64.2780991,64.0351028,5.3590202,87.4960022,1913.3199463,6.74505,51.1851006,66.6641006,3.2886801,210.2460022,63.8557014,38.4984016,197.720993,72.2481995,41.1632996,0.0
84.4949036,1884.9599609,5.4913902,64.3616028,64.1471024,5.4359698,88.2228012,1902.4799805,6.95084,51.2268982,65.3410034,3.4777501,210.5130005,63.338501,38.5127983,199.5070038,69.7258987,41.1753006,0.0
85.2970963,1885.2700195,5.5589299,64.2602997,64.1242981,5.4012098,86.527298,1919.8499756,6.8320599,51.196701,66.7348022,3.2170501,210.1660004,64.2516022,38.4967995,198.9720001,72.7723999,41.1492996,18.0
49.9482994,2069.25,4.6826601,61.5600014,63.7271996,2.95889,49.8950005,2089.3898926,5.53475,50.1791992,63.6500015,1.61901,220.1190033,80.0222015,39.4392014,215.2120056,91.0056992,42.8061981,0.0
76.9729004,1912.5400391,5.2613401,64.3803024,63.7094994,4.8498302,79.9205017,1953.8900146,6.1339998,51.1162987,65.1729965,2.9521401,211.345993,63.4393997,38.5475998,196.7279968,73.294899,41.3353004,18.0
78.0681,1899.9799805,5.2831702,64.3507996,63.7792015,4.8881302,81.248497,1948.2900391,6.1535401,51.118,66.3097,3.0334001,211.2350006,63.4140015,38.5433006,195.2779999,73.510498,41.3711014,18.0
