H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
110.2220001,1578.6300049,12.8741999,127.9319992,115.0899963,111.8929977,117.9609985,1535.9899902,18.2756004,85.9212036,109.0749969,100.1230011,206.3650055,48.9623985,26.3057003,187.3390045,60.3101006,22.4619007
102.7200012,1627.6899414,12.3676004,145.9219971,112.1989975,115.0619965,98.8279037,1551.7299805,14.3859997,88.4252014,95.4738998,64.9300003,207.1829987,53.7795982,27.7112007,183.5559998,72.9141006,23.4832993
131.7279968,1450.2099609,18.7068996,140.2949982,112.9140015,191.1519928,139.904007,1516.1199951,24.4885998,86.8915024,107.1050034,127.1230011,207.3090057,44.4412994,32.8021011,195.7059937,58.4984016,24.8866005
115.9199982,1563.0699463,14.0784998,127.1969986,116.5049973,141.4720001,119.7529984,1549.25,16.7460003,85.0026016,110.2190018,90.9076004,202.621994,47.3861008,27.4965992,192.6369934,61.0856018,22.7313004
103.9100037,1636.6500244,11.6457005,120.7829971,117.7320023,115.2129974,107.1210022,1553.7600098,12.8734999,84.8439026,110.6149979,79.1455994,202.723999,48.0928001,25.5132999,199.125,60.9794998,22.9382
124.5169983,1500.8399658,16.6672993,135.8820038,113.5699997,168.4100037,131.7109985,1519.6199951,21.0426998,86.8553009,107.3789978,110.7600021,206.9179993,45.8443985,30.0216007,194.0010071,59.5469017,23.7970009
146.154007,1367.8599854,21.8027,149.5119934,112.4860001,232.3959961,153.7870026,1511.7099609,27.9491005,86.9238968,106.810997,138.2339935,208.0149994,42.6381989,37.389801,195.8470001,58.0726013,26.3456001
117.8889999,1542.1600342,14.5171003,128.6309967,115.4570007,140.7890015,123.4520035,1547.2199707,18.8143997,85.1298981,109.9840012,99.0582962,202.348999,47.5914993,27.0832996,188.3869934,61.0253983,22.2499008
73.156601,1832.4599609,6.0626001,162.1730042,111.7089996,63.7117004,68.0044022,1682.8100586,6.02981,94.158699,94.3274994,34.0185013,210.2550049,55.2751999,29.7052994,192.598999,70.7789993,25.6135006
124.7389984,1500.1300049,16.5561008,135.2709961,113.6139984,165.7220001,131.6959991,1519.7299805,21.0160007,86.8695984,107.4000015,110.0530014,206.776001,46.0429993,29.2891998,192.3540039,59.7033005,23.4580002
119.6080017,1525.0699463,15.8848,145.6459961,107.6350021,158.0299988,124.6309967,1543.9399414,19.9239998,91.8171997,102.5780029,94.7764969,210.598999,50.3754997,34.5367012,196.8739929,68.2297974,26.4862995
95.4185028,1675.0699463,10.2658005,119.3460007,117.0559998,105.2089996,101.5540009,1554.9200439,12.5703001,84.7932968,110.5530014,80.6119003,202.8540039,48.6313019,24.8307991,201.4100037,61.0572014,22.2691994
73.430397,1827.0899658,6.12081,160.9649963,111.3580017,63.0219002,66.7149963,1681.5400391,5.9758,94.0255966,94.1537018,32.4953995,210.3470001,55.9510002,29.1396999,191.8500061,71.8963013,25.5095005
80.463501,1778.9200439,7.5381298,145.9730072,115.4000015,77.2015991,78.6977997,1651.6999512,8.0137701,87.3902969,100.1930008,47.1216011,213.5059967,52.8787003,27.3941002,197.151001,66.764801,23.9304008
75.373703,1789.6600342,6.4526501,150.1459961,106.6019974,55.2205009,69.4126968,1679.0200195,6.4389801,93.1036987,92.324501,23.8281002,211.276001,60.4693985,30.1858997,191.5829926,80.2630005,26.6105995
110.9029999,1589.1600342,13.0459995,124.9049988,116.4599991,129.0460052,115.5999985,1550.3800049,15.8885002,84.9944992,110.2689972,89.2344971,202.5200043,47.8555984,26.3924999,193.1309967,60.9721985,22.4246998
74.8755035,1802.4599609,6.4430099,152.9519958,108.427002,57.2778015,67.7742004,1676.6099854,6.1993799,93.0699005,92.2651978,27.7457008,211.1399994,59.0060997,29.2595997,192.1069946,76.8320999,26.2504997
122.5859985,1520.2299805,15.5181999,130.3650055,115.6520004,158.0870056,126.7149963,1546.5100098,19.3300991,85.058197,109.9779968,99.7052994,202.6499939,46.8059998,28.8167,190.4340057,61.2370987,22.7693996
74.1872025,1806.6700439,6.3387899,158.6210022,110.4489975,61.7753983,65.5094986,1680.1199951,5.9975801,93.7944031,93.8944016,28.5452995,210.6390076,57.6889992,28.8027992,190.0169983,75.0087967,25.4004993
134.0399933,1442.8000488,18.7950001,139.5449982,113.1230011,191.4069977,141.0789948,1516.5100098,24.1562004,86.9044037,107.1729965,122.9449997,207.0800018,44.6497002,31.4428997,192.8470001,58.9905014,24.2903004
148.6900024,1366.5500488,20.9941998,138.1260071,113.2809982,209.5039978,151.5800018,1514.9000244,25.3698006,87.091301,107.2699966,120.9369965,205.8619995,43.4173012,26.7985992,182.1829987,59.4659996,21.7469006
111.913002,1577.0100098,13.2059002,125.5390015,115.7949982,127.685997,117.5550003,1549.2600098,17.1389999,85.0780029,110.1169968,94.0401001,202.3300018,48.1050987,26.2901001,190.1990051,60.8804016,22.0827999
118.7900009,1543.9200439,14.6976995,128.5789948,116.0510025,148.1100006,122.9179993,1547.9599609,17.9801998,85.0362015,110.098999,95.2447968,202.6069946,47.1661987,27.9521008,191.3600006,61.1348,22.6907997
73.5811005,1817.4799805,6.1494198,160.0890045,111.1009979,63.6088982,68.1517029,1682.7600098,6.11976,94.0712967,94.2470016,31.9223995,210.3899994,56.2038994,30.1054993,191.7409973,72.5233994,25.7653008
154.6880035,1339.9899902,22.3544006,144.7879944,112.7060013,238.9049988,159.9900055,1511.9799805,27.5862999,86.899498,106.9179993,133.0549927,207.2879944,42.466301,32.5825005,188.5930023,58.7234993,24.5907993
73.538002,1827.5500488,6.1343398,159.654007,111.1360016,61.6790009,62.3773994,1677.6600342,5.70608,93.6936035,93.7309036,30.9501991,210.4880066,56.8226013,27.6098995,190.3990021,72.8388977,24.8920002
75.3384018,1790.1099854,6.3608398,148.7339935,104.7870026,51.8773994,70.6279984,1681.1899414,6.61235,93.191597,92.3851013,21.4344006,211.3220062,61.4001007,31.1968994,193.3049927,82.7322998,27.0720997
74.9100037,1801.3900146,6.4559898,153.0200043,108.4410019,57.4101982,67.5390015,1676.4000244,6.1862402,93.0450974,92.2440033,27.4692001,211.1719971,59.1116982,29.1536007,191.7539978,76.9863968,26.1683006
74.8860016,1802.2900391,6.4381599,152.7769928,108.3099976,57.0652008,67.9720993,1676.8399658,6.21909,93.0830994,92.2779007,27.6408005,211.1349945,59.046299,29.3602009,192.2539978,76.9671021,26.3071995
121.5449982,1525.0100098,15.2907,129.8480072,115.5630035,153.6199951,126.0950012,1546.6600342,19.2406998,85.0807037,109.9759979,99.7285004,202.5500031,46.9931984,28.1606998,189.7359924,61.1567001,22.5823994
105.9660034,1613.1099854,12.0552998,122.6029968,116.3050003,119.8720016,111.7190018,1551.4899902,15.2286997,84.9763031,110.2929993,88.1445007,202.4320068,48.2248993,25.5426006,193.496994,60.8847008,21.9566002
73.8304977,1812.8100586,6.21664,159.3170013,110.7460022,62.9748993,67.3051987,1681.9100342,6.0883698,93.9792023,94.1193008,30.4279003,210.4629974,56.7481995,29.6350002,191.1589966,73.6350021,25.6814003
138.7559967,1408.1199951,20.3117008,143.6519928,112.6279984,209.6690063,146.848999,1513.9399414,26.5713005,86.9218979,106.9580002,134.727005,207.5130005,43.5144005,34.3792,195.5879974,58.1208,25.4706993
128.7019958,1474.8800049,17.5869007,137.3919983,113.3669968,177.848999,135.8399963,1518.2199707,22.4806004,86.8815002,107.2870026,116.4039993,206.9620056,45.3554001,30.5177994,193.1620026,59.3112984,23.9533997
107.6589966,1611.0699463,12.3896999,123.189003,117.0039978,122.9329987,111.8759995,1551.8699951,14.5018997,84.9332962,110.4150009,84.5354996,202.5980072,47.9816017,25.9908009,195.4750061,60.9695015,22.5760994
74.0969009,1804.2399902,6.27037,158.1260071,110.2470016,62.911499,67.6184006,1682.0500488,6.1666298,93.949501,94.0845032,28.9197998,210.5090027,57.2125015,29.8213005,190.7980042,74.8731003,25.8103008
74.0190964,1803.5,6.2378602,158.0939941,110.1709976,63.4319,68.290802,1682.6800537,6.2271199,94.0000992,94.1491013,29.1124992,210.4720001,57.0303993,30.2467995,191.1629944,74.7913971,25.9512005
75.2378006,1793.2299805,6.3601999,149.322998,104.9039993,51.9800987,70.4100037,1680.9000244,6.58359,93.1920013,92.3814011,21.8826008,211.2910004,61.1460991,31.0270004,193.5140076,82.3771973,27.0088997
73.3216019,1835.5899658,6.0027699,160.276001,111.4420013,62.8438988,66.5821991,1681.1400146,5.9683099,94.0547028,94.1445007,33.1932983,210.1759949,55.5279999,28.4808998,192.1529999,71.1837006,25.5606995
85.4451981,1739.8900146,8.4028196,145.9799957,111.4110031,88.4685974,83.7624969,1640.5600586,10.0010004,90.2697983,96.9627991,59.3717995,207.0149994,52.8300018,27.1303005,188.5800018,67.7197037,22.6163006
114.2509995,1561.5400391,13.2586002,122.1689987,115.439003,129.845993,117.5240021,1549.7700195,17.4981995,85.1109009,110.0390015,95.4300995,202.0870056,48.2554016,26.2052002,189.7810059,60.2916985,21.6072998
