DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
252.022995,172.2299957,134.348999,38.4056015,41.1761017,3.1907101,270.9230042,188.3619995,146.2169952,36.1311989,43.2675018,3.31757,65.4054031,1978.3499756,4.8677001,62.7523994,61.5405006,3.73788,64.6942978,2020.8199463,5.1888599,50.0228004,63.0377007,2.0537901,219.4960022,68.9669037,39.7596016,201.5469971,82.5541,42.9757996
236.4730072,177.0220032,116.0390015,35.0290985,40.1855011,2.94151,261.9030151,204.6049957,129.8899994,34.030201,43.4486008,3.0243001,78.9661026,1890.0799561,5.3021598,64.3220978,63.8389015,4.92133,81.9456024,1944.6099854,6.1534801,51.1170998,67.2779007,3.0901201,211.1369934,63.4838982,38.5433006,194.3119965,73.6856003,41.3974991
258.8469849,194.7440033,149.2019958,40.3616982,41.3861008,3.18063,275.9360046,206.2140045,160.3300018,37.9687996,43.4137001,3.6473501,47.4143982,2092.2700195,4.17905,61.3813019,61.3269005,2.2056401,51.5540009,2083.1699219,5.2754102,50.200901,58.1777992,1.44511,220.3000031,85.5373993,39.5061989,220.0740051,93.6300964,42.9306984
258.6839905,191.3439941,148.6349945,40.2761002,41.3897018,3.16891,275.6130066,203.9880066,158.8240051,37.8630981,43.3098984,3.6578,44.9973984,2076.0700684,3.9201801,61.0581017,57.5099983,1.94303,50.4842987,2087.9599609,4.68186,50.0950012,54.1091995,1.3515,219.3430023,80.6648026,39.4658012,213.5469971,90.4991989,42.6801987
260.9580078,196.3800049,153.9369965,40.4746017,41.6142998,3.1713099,275.6799927,199.4929962,159.2420044,37.8992004,43.3627014,3.6245601,44.9846001,2072.0800781,3.88851,61.0307999,56.9776001,2.16872,47.9108009,2089.1599121,4.2586098,50.0503006,53.4794998,1.397,219.2769928,81.8307037,39.3792992,215.5209961,85.7954025,42.5517998
236.0789948,178.470993,114.927002,34.8787994,40.1727982,2.9465799,261.9930115,203.1820068,130.2400055,33.891201,43.5153008,3.0064001,69.5227966,1967.6700439,5.2062402,64.2576981,63.3524017,4.3963099,66.2713013,2013.1899414,5.4253898,50.9602013,64.240097,2.2465601,211.7769928,64.8479004,38.6049004,199.1490021,74.9843979,41.2011986
250.9140015,169.3910065,133.2350006,39.0847015,40.8256989,3.23511,269.3320007,186.5769958,146.5099945,36.6786995,42.7542,3.3364401,64.1755981,1987.7900391,4.9531898,62.9701004,63.0,3.87169,63.2984009,2023.7299805,5.4314499,49.8642998,63.8170013,2.06689,222.7359924,69.171402,40.5491982,203.3029938,83.3022003,43.3414993
237.6360016,166.4369965,121.737999,35.4706001,40.1800995,2.9403901,261.980011,181.1690063,133.3300018,34.4207001,43.4084015,3.0736699,84.5607986,1885.7299805,5.5075998,64.2237015,63.9277,5.2719898,86.1420975,1921.7099609,6.6117802,51.1567001,66.736702,3.1712201,210.0299988,64.2248001,38.4902,196.7200012,73.5501022,41.1242981
236.3119965,162.7649994,124.4349976,36.142601,39.2154999,3.0253699,255.9830017,175.7810059,135.0429993,34.7229004,41.783699,3.13608,79.1362,1914.8800049,5.3677101,63.8745995,63.9939003,4.9910798,79.2027969,1939.7900391,6.5462499,51.3082008,65.0838013,2.9465599,212.5160065,66.1238022,37.9963989,202.128006,77.8162003,40.7817001
252.9949951,176.0119934,131.4609985,36.7263985,42.1650009,3.04264,272.7399902,190.8090057,141.9440002,34.6953011,44.5042992,3.22225,68.2241974,1965.1500244,4.6986799,61.831501,60.4877014,3.848,66.4394989,2013.0699463,4.8474002,49.8655014,61.4248009,2.1953001,211.7109985,68.4119034,38.1896019,196.0090027,79.8996964,41.5816994
263.2510071,186.8670044,139.3890076,38.7086983,43.4426003,3.1509399,280.9899902,198.6799927,148.3630066,36.1054993,45.4441986,3.2906001,58.6178017,1994.5300293,4.4556098,62.5634995,58.6833,3.34711,57.7382011,2045.6099854,4.3719501,49.7467995,58.0155983,1.91473,214.0299988,71.0080032,38.9143982,202.3359985,79.700798,41.4438019
252.2330017,168.647995,132.3910065,39.3459015,40.6959991,3.16589,273.5450134,180.5679932,150.3000031,37.3588982,42.8121986,3.46646,52.4490013,2047.0699463,5.0175099,61.7444992,65.884201,3.33079,52.1329994,2056.5700684,6.0469799,50.2363014,63.6170006,1.90405,219.9210052,77.9404984,39.4490013,216.0910034,90.5059967,42.803299
259.5109863,193.7850037,150.8289948,40.3832016,41.4519997,3.18521,276.4020081,208.1560059,162.3910065,38.0663986,43.5719986,3.6084599,48.8193016,2086.5900879,4.3232398,61.4556007,62.2468987,2.5185599,50.4348984,2092.9399414,5.1954398,50.1777992,60.9547997,1.4367501,220.9920044,84.4676971,39.473999,221.0359955,92.2012024,42.9799004
244.9700012,173.4940033,141.427002,37.0424995,40.8338013,2.97066,264.3999939,175.8990021,144.1159973,35.6702995,43.9431,3.1405399,87.1334,1874.7199707,5.5250702,64.5494995,64.2690964,5.7782102,86.293602,1916.4499512,7.1478601,51.4109993,65.8933029,3.3713601,211.3130035,63.1222992,38.5237999,212.7339935,68.5246964,41.2071991
244.7359924,161.4660034,128.7559967,37.1393013,40.9281006,3.0431001,267.6539917,177.7899933,140.1799927,35.8422012,43.9817009,3.16082,81.1727982,1902.3699951,5.48211,64.2033005,63.1800003,4.9993901,81.9992981,1934.8100586,6.6321702,51.0962982,66.0654984,2.9388599,211.5529938,63.9440002,38.7722015,197.576004,75.7281036,41.0177002
256.2520142,173.3439941,142.651001,39.9748993,41.1811981,3.1571801,275.1000061,189.8359985,155.9960022,37.6848984,43.1282005,3.6447999,42.4816017,2075.2199707,3.69191,60.7131996,53.8274994,1.48646,47.0402985,2093.5900879,4.0870399,50.0488014,52.0858994,1.293,218.220993,74.6956024,39.4243011,202.9600067,87.0942993,42.3298988
239.298996,200.2380066,121.9629974,35.2064018,40.4929008,2.94806,263.4580078,215.6670074,134.5950012,34.1593018,43.8244019,3.01965,62.8320007,1990.3000488,5.02775,64.4007034,61.9135017,4.1523199,61.5159988,2027.8199463,5.1902699,51.030899,58.3714981,2.2488201,211.75,65.1104965,38.6030998,201.848999,76.3862991,41.2738991
249.1179962,174.0679932,123.8239975,36.2476006,41.8964996,2.99965,270.3269958,196.2910004,136.1069946,34.7265015,44.6521988,3.05863,71.5194016,1948.0100098,4.9568601,63.8110008,62.0005989,4.44558,68.7912979,1998.2900391,5.3010998,50.7272987,63.5228996,2.4086201,209.802002,65.1866989,37.9263992,193.1880035,78.134697,40.1736984
238.9450073,173.2089996,124.2580032,35.7131996,40.3250008,2.94542,262.3450012,185.6380005,134.0590057,34.5870018,43.4906006,3.0624001,84.8996964,1881.5,5.49615,64.3466034,64.1292038,5.43326,88.2799988,1904.4300537,6.9130998,51.2216988,65.8262024,3.4374101,210.477005,63.4453011,38.5089989,199.2290039,70.3478012,41.1856995
261.8869934,196.2310028,156.0480042,40.6334991,41.7226982,3.1750801,275.0159912,191.651001,156.2380066,37.7616997,43.1654015,3.6073401,44.6176987,2068.5500488,3.8266201,60.9921989,56.2752991,2.23701,45.4089012,2089.5200195,3.9201901,50.0057983,52.0895996,1.47478,219.647995,81.691597,39.3160019,214.2400055,82.2695007,42.2006989
250.6589966,203.2610016,125.4540024,36.1631012,42.0718002,3.0016401,271.2659912,221.220993,138.098999,34.7518005,44.9740982,3.04496,56.7798996,2019.7600098,5.0450301,64.0509033,60.8218002,3.7577901,55.1478004,2056.3999023,4.8527098,50.7627983,56.7798004,1.92224,211.3950043,66.2901001,38.0937004,201.4750061,78.4400024,40.591301
257.8699951,180.8930054,144.6820068,39.7840996,41.3143997,3.1559401,274.9410095,192.3509979,154.746994,37.5626984,43.2571983,3.44996,58.4483986,2012.7900391,4.4200101,61.2597008,59.6582985,3.41816,57.4892998,2054.4199219,4.6847701,50.0652008,61.5965996,1.87515,217.628006,73.2939987,39.2158012,204.128006,83.4978027,42.2318001
