M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
135.1620026,3975.7600098,25.1021004,869.4140015,251.6000061,171.102005,169.6880035,4007.5200195,37.5923004,724.0079956,232.151001,150.2089996,344.2109985,119.6220016,46.9337997,347.2130127,137.8240051,51.2598
228.5690002,3906.8601074,58.9622993,783.5510254,365.3699951,211.7400055,282.2520142,3949.8000488,75.3192978,590.59198,344.6740112,193.7330017,358.1199951,84.0047989,54.0682983,346.8569946,101.7440033,51.1871986
176.1840057,3947.4699707,47.2266006,808.6870117,302.0190125,182.0319977,217.6459961,3999.3100586,62.6334991,622.0859985,285.0880127,167.9420013,357.3829956,100.9759979,49.3470993,346.1950073,113.7870026,48.2678986
121.2259979,4088.0300293,38.3722992,853.4349976,280.5759888,176.5379944,147.4609985,4102.4101562,44.9714012,699.6229858,259.8250122,154.3580017,352.6480103,119.163002,49.6619987,351.3240051,136.7839966,50.985199
149.8919983,3986.3200684,42.9991989,823.4799805,292.9410095,162.0330048,184.7050018,4075.0900879,57.3083,607.8969727,273.144989,152.0480042,356.2780151,104.9609985,49.6021004,347.8999939,116.6190033,47.4179993
162.3840027,4002.9599609,45.2326012,812.6710205,332.9299927,212.9839935,220.4869995,4070.7199707,58.3396988,575.5709839,300.6090088,170.6439972,364.0859985,103.0510025,53.8986015,348.3859863,117.1320038,49.5371017
144.2819977,4029.6699219,37.8869019,803.5230103,290.1199951,184.7359924,178.5590057,4065.8898926,44.4020996,595.7630005,248.7489929,137.595993,348.8859863,110.6520004,54.7198982,348.2720032,128.9960022,49.1529999
221.2559967,3908.5300293,56.4915009,789.5189819,351.4339905,204.2169952,271.4769897,3947.4499512,73.1895981,606.7559814,331.5450134,188.8399963,359.8380127,87.1815033,51.4543991,347.3559875,103.1849976,50.7514
159.0469971,3997.4399414,34.6006012,793.6209717,264.5400085,167.0679932,194.0780029,4025.5300293,43.6353989,583.1489868,237.4069977,136.1560059,350.2189941,108.2450027,52.1962013,337.1319885,123.0800018,47.4291992
134.947998,4002.1398926,29.2367992,855.0189819,257.4079895,170.701004,166.4440002,4022.9799805,39.5495987,710.1550293,239.2200012,152.5339966,343.2380066,118.6429977,47.7857018,347.756012,136.0209961,51.1865997
