DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
238.2899933,238.098999,130.4440002,31.1702003,31.8141003,2.8319199,250.7050018,230.8070068,136.5610046,30.2632008,33.9350014,3.12028,60.6575012,1897.8399658,4.0574002,64.3367996,39.450901,1.68127,64.6707993,1920.7099609,4.7982602,50.0728989,34.0794983,1.46207,220.4530029,84.9032974,131.2400055,203.572998,100.7399979,46.1561012,16.9
235.223999,233.9750061,128.9689941,31.9864998,31.3075008,2.80003,257.7579956,231.0829926,140.7630005,31.5347004,34.9807014,3.27051,51.4297981,1884.9599609,4.1971798,65.8932037,39.2448997,1.74345,58.2206993,1928.9200439,4.7606602,51.2515984,34.9012985,1.48853,223.5559998,87.9132996,132.8410034,212.3789978,104.5540009,48.7190018,0.0
236.1239929,240.0200043,124.961998,43.5307007,32.5595016,3.81271,265.0549927,252.2740021,140.7879944,32.9887009,35.5023003,3.44735,41.1228981,2103.0100098,4.5977001,68.5899963,39.7580986,2.5162799,46.3736,2118.1398926,5.0922098,50.8363991,37.276001,1.50556,210.2079926,100.8949966,139.7030029,193.5220032,108.1589966,40.2653008,0.0
258.3720093,208.8320007,138.9179993,36.8124008,35.3242989,3.7279699,245.7299957,217.3339996,132.4179993,32.0540009,33.8284988,3.84058,38.4608994,2008.0799561,4.5208001,67.0811996,42.2915001,2.64469,43.8975983,2013.1800537,4.9358702,53.3398018,39.3498993,1.62046,233.9369965,94.7972031,43.4840012,223.5319977,109.8450012,41.6362991,22.5
326.6700134,232.6719971,170.1269989,46.6371002,46.9547005,4.4384499,296.1990051,252.1589966,155.5679932,38.5824013,40.7204018,4.20751,37.2607002,2157.3200684,4.4841499,66.4580002,42.6198997,3.6742001,43.3203011,2150.75,4.8972502,51.2678986,39.4645004,1.86318,230.4160004,102.9039993,38.512001,213.2839966,116.0350037,38.6696014,16.9
258.8380127,248.3000031,136.1230011,55.5783997,41.1365013,4.8260102,287.4379883,269.572998,152.6529999,36.8242989,38.4118004,3.65381,43.2220993,2222.4899902,4.5422902,71.4166031,39.8834,2.42676,47.0433006,2234.6999512,4.9534001,49.5323982,36.3353996,1.55644,215.6920013,107.137001,143.7189941,189.3000031,109.9710007,40.7596016,0.0
218.2089996,228.4940033,118.1819992,36.9446983,31.1634007,3.3346601,239.8309937,232.9100037,130.7610016,30.7954006,32.259201,3.47282,45.1687012,1956.5200195,4.2491498,70.1809998,40.4094009,2.0618999,51.1320992,1986.8299561,4.79491,52.4103012,36.6230011,1.48594,223.5500031,90.9337997,133.9450073,209.5099945,105.9919968,47.4524002,28.2
323.9970093,231.8159943,169.4459991,45.5500984,45.8470001,4.1831102,296.3089905,253.4170074,155.5789948,39.2751999,40.7682991,4.3984699,34.388401,2179.0600586,4.6788001,65.9234009,42.6520996,3.4323499,39.2714996,2137.1298828,4.9078798,51.7010994,40.7550011,1.834,229.3800049,104.7099991,38.5101013,213.279007,118.3710022,38.7481003,16.9
187.2420044,212.8800049,102.4420013,26.2971001,23.4925995,2.8398399,217.9909973,207.8070068,118.8580017,27.5564995,29.0508003,3.2948301,40.4415016,1917.3800049,4.5964098,67.1503983,40.2643013,2.1197801,45.9322014,1946.9799805,4.8747301,50.521801,36.3470001,1.49677,219.8880005,83.7449036,136.5370026,215.8070068,103.7539978,43.9516983,0.0
288.3190002,218.0209961,155.4909973,40.6871986,40.1251984,3.6470301,279.4769897,241.2109985,151.4600067,36.2697983,38.6147003,3.9560101,38.8813019,1980.5200195,4.3492098,65.4381027,40.9917984,2.35444,45.9525986,1994.6300049,4.98663,54.8040009,38.3008003,1.64704,226.8630066,98.4716034,40.9878006,231.548996,115.0830002,41.5667,0.0
316.052002,224.0480042,160.8970032,48.7508011,47.4939995,4.7651,329.993988,252.3639984,170.4609985,38.137001,43.1113014,4.1347599,41.4626007,2162.8400879,4.6195202,65.0063019,41.5699005,5.5860701,49.4463005,2182.3100586,4.8359599,48.6960983,38.0108986,1.96784,239.4279938,101.2839966,36.8961983,209.1990051,112.4140015,31.3477993,0.0
239.9929962,236.3650055,130.5249939,38.7904015,34.5778999,3.1075799,258.6900024,243.9989929,141.197998,33.8758011,35.2148018,3.5106299,49.0139008,1932.8299561,4.16611,69.1697006,39.5131989,1.94882,55.3706017,1964.4799805,4.7514,52.9107018,35.7519989,1.50387,225.727005,92.9927979,133.8350067,215.1970062,107.512001,49.0671997,0.0
262.4039917,200.6230011,133.8800049,41.2070007,39.2214012,4.1449099,272.6270142,226.2200012,140.5160065,31.6291008,35.3936005,3.49824,49.4192009,2062.5900879,4.5230398,64.9744034,41.6697998,4.6624198,55.8335991,2085.1101074,4.9412899,48.6603012,36.6018982,1.7646,240.7310028,94.7634964,39.5451012,211.4160004,106.6419983,33.4802017,28.2
205.6499939,220.6889954,109.4769974,39.7024994,30.9314003,3.61709,231.9389954,233.2890015,124.1080017,30.3845005,31.0298004,3.28737,49.678299,2034.9699707,4.4573102,67.3237,39.8699989,2.0613899,54.6198997,2059.5700684,5.0591698,50.0926018,35.8028984,1.48173,214.375,93.9639969,137.6170044,200.8820038,104.5370026,42.4934998,22.5
203.6450043,221.2389984,108.776001,37.1665993,28.9323997,3.3809199,230.8370056,233.0480042,123.6179962,30.1434994,30.8756008,3.29773,43.3031998,2008.5400391,4.5316701,67.620697,39.9026985,2.2889199,49.0026016,2040.1600342,5.05972,50.6105003,36.4986,1.4924001,214.2200012,94.3445969,139.3639984,201.3070068,105.1959991,42.5334015,22.5
192.3209991,216.6009979,103.9940033,34.7561989,28.3071995,3.1533899,221.1820068,226.2920074,119.8899994,29.3901005,29.4937,3.2369001,47.3493996,1975.5799561,4.4426298,67.1594009,40.2785988,2.0668001,52.9934006,2006.0699463,4.8786201,50.3936005,35.7411003,1.4809901,218.9839935,91.1379013,138.7610016,205.7089996,103.9749985,44.0138016,0.0
205.701004,220.6260071,109.5039978,39.7629013,30.9967995,3.62321,231.9459991,233.0789948,124.125,30.3584995,31.0338001,3.2822299,50.3348007,2036.2199707,4.4533601,67.3014984,39.8721008,2.04637,55.1963005,2060.0,5.05896,50.0589981,35.7770004,1.48133,214.3869934,93.8534012,137.4850006,200.845993,104.4700012,42.4924011,22.5
303.3710022,228.2429962,161.2489929,48.5273018,46.9892998,3.88007,279.6390076,254.2369995,150.477005,36.4356995,38.9917984,3.91097,40.5513992,1942.5799561,3.94122,69.2967987,42.2188988,1.72918,48.9438019,1958.4699707,4.7525902,60.0982018,38.3554993,1.6115201,232.2870026,103.185997,42.0615997,238.848999,112.9309998,42.5535011,0.0
215.0339966,226.8320007,117.2300034,30.7756996,28.5765991,2.8940301,239.9140015,224.526001,130.8560028,29.8847008,32.2173004,3.2902,45.8815994,1903.5400391,4.34693,66.8158035,39.9394989,1.88447,52.6393013,1945.0200195,4.8030601,51.1624985,35.4611015,1.48232,221.6230011,87.9327011,133.9450073,212.2539978,104.3840027,47.1763992,28.2
242.7279968,204.3630066,129.9660034,37.796299,35.9412003,3.4402599,235.1840057,223.9499969,126.4670029,31.1627007,32.2386017,3.5526099,44.1825981,1951.8299561,4.3728499,66.4031982,41.8042984,1.93725,49.5211983,1962.8699951,4.7672501,54.8007011,37.8470993,1.47593,236.0579987,95.6603012,44.6040993,225.8679962,108.5139999,42.7173004,0.0
237.3320007,236.9579926,125.0800018,41.7378006,33.8095016,3.9171801,266.2070007,243.901001,141.0980072,32.5943985,35.5237007,3.3130801,48.9981003,2054.6398926,4.5145102,67.2169037,39.6044998,2.0743899,54.1403999,2085.9799805,5.0836201,49.9557991,35.8979988,1.49089,211.6679993,95.8226013,135.4219971,198.3549957,106.302002,40.2770004,0.0
246.677002,235.272995,131.9179993,42.108799,35.706501,3.89662,245.6889954,248.0379944,131.7409973,34.9682007,34.2638016,3.8728199,37.4782982,2075.4099121,4.55338,68.8935013,41.8647995,3.03547,43.4210014,2075.2800293,4.8780398,53.8322983,38.9227982,1.6743701,222.572998,100.7220001,121.7460022,218.279007,114.2060013,46.9003983,0.0
214.1260071,226.0410004,116.9800034,29.1679993,27.7602005,2.8255601,239.852005,221.9320068,130.8659973,29.7735004,32.1963997,3.2778201,45.0113983,1892.0999756,4.3961601,66.0400009,39.8180008,1.83455,52.0026016,1935.4000244,4.8048201,51.0153008,35.1301003,1.4802001,221.371994,87.3581009,133.6380005,215.5950012,104.4560013,47.1207008,28.2
299.5390015,260.848999,158.5010071,50.5696983,44.3860016,4.60992,281.1669922,268.6659851,148.9089966,39.1943016,39.1497993,4.2227702,36.3317986,2188.7600098,4.5006399,71.0165024,42.3744011,3.654,41.3795013,2182.6298828,4.9664602,52.2844009,39.4201012,1.70521,224.8070068,106.887001,141.6100006,206.3500061,117.0240021,48.9001999,0.0
311.1019897,222.2839966,158.9199982,46.3377991,45.0284004,4.7536402,326.7520142,244.3480072,168.7200012,35.8377991,42.4873009,3.70035,47.1725006,2115.0100098,4.5232902,65.4776001,41.5553017,6.0837202,54.9664993,2132.9699707,4.8291702,48.1133003,37.0172005,1.91124,241.7610016,97.7609024,37.257,210.4470062,109.6959991,31.5363998,0.0
299.4830017,225.9069977,159.8569946,43.1464005,43.296299,3.5862999,282.0490112,248.3540039,151.1730042,35.7478981,39.2184982,3.74353,43.7438011,1950.0,4.1592398,67.8225021,41.9705009,1.91396,49.9048004,1962.3100586,4.7534399,56.8373985,37.9103012,1.59884,231.3300018,100.0510025,41.6543007,228.9869995,113.2099991,42.2871017,0.0
254.7189941,247.7189941,134.8630066,52.5545998,37.9398994,4.6191401,285.1109924,265.9249878,151.9279938,35.5463982,38.1301003,3.5488801,43.4384995,2198.4399414,4.5265899,70.8668976,39.8698006,2.4866099,47.5075989,2212.6599121,4.9513402,50.0540009,36.5442009,1.56365,215.2709961,105.5599976,143.8959961,189.5910034,109.1330032,40.8142014,0.0
289.8760071,227.3419952,155.4530029,48.1212997,43.5325012,3.83957,270.5360107,251.5540009,147.0410004,36.5976982,37.7103004,3.97858,40.6484985,1947.7700195,4.0226202,70.1812973,42.3749008,1.91719,48.1806984,1964.3199463,4.7923999,57.9808006,38.4213982,1.61814,229.878006,101.1380005,42.9785004,232.3710022,112.9280014,41.5657997,0.0
212.3410034,224.246994,116.5080032,26.5400009,26.0662003,2.7460001,240.0509949,220.1640015,131.0370026,30.0310001,32.1930008,3.27089,44.7573013,1885.7399902,4.5521202,64.569603,39.5252991,1.72232,51.7943001,1924.5999756,4.8075099,50.7862015,33.865799,1.46448,220.9069977,87.5621033,132.6660004,226.6649933,105.3840027,46.993,28.2
325.5840149,232.3800049,169.875,46.2466011,46.4664001,4.3878598,295.8930054,252.1080017,155.477005,38.6963997,40.6966019,4.26718,36.2216988,2154.8200684,4.5185699,66.5180969,42.6403008,3.6486101,41.9996986,2141.4399414,4.89922,51.6015015,39.8344002,1.85114,230.2489929,103.1910019,38.5607986,214.1699982,116.6780014,38.7272987,16.9
291.2219849,222.0749969,153.6970062,34.9681015,38.3671989,2.95682,285.9909973,231.7619934,150.7740021,31.6968994,37.7705994,3.1012199,53.3907013,1916.1199951,4.3366299,64.8293991,41.3773994,1.82784,55.8272018,1938.9699707,4.6776099,52.3795013,35.5125008,1.59398,245.1990051,94.270401,43.1962013,220.0780029,105.5469971,37.8678017,0.0
