DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
493.1319885,261.5350037,266.3410034,119.2860031,74.9496994,27.3122997,531.0250244,285.6669922,291.3970032,105.2060013,79.5695038,27.2502003,354.0910034,79.0070038,51.6824989,350.355011,96.9179001,52.1893997,0.0
515.2630005,327.2539978,276.598999,143.1560059,80.0840988,22.0809994,528.0339966,338.9970093,255.576004,102.5469971,73.4716034,18.8089008,349.6459961,113.2839966,52.6105003,351.0379944,131.5019989,50.1189003,0.0
494.8569946,328.8340149,278.4519958,166.173996,81.6065979,23.7618999,516.8109741,333.1560059,245.7259979,129.3800049,72.1367035,20.6751995,342.3980103,122.4950027,46.8825989,341.7669983,141.1490021,50.7911987,0.0
507.4200134,300.947998,243.3139954,132.125,71.1037979,20.6102009,539.1129761,337.2579956,259.9559937,115.4079971,74.1837006,19.0491009,346.2170105,112.447998,51.203701,337.9679871,124.9140015,47.7801018,0.0
502.5910034,264.2460022,238.9230042,118.7839966,69.3259964,24.0926991,555.7369995,298.4389954,267.6329956,93.2601013,74.827301,22.5718994,356.9590149,95.1856995,52.6985016,346.4509888,110.2139969,50.1561012,0.0
519.0289917,285.3450012,247.0599976,124.4850006,72.0512009,23.0372009,584.8250122,327.7269897,282.0929871,86.8908005,79.178299,21.2681007,363.8039856,103.0920029,53.2980003,348.1369934,116.9629974,49.3047981,3.4
478.2550049,259.4689941,248.9620056,114.9629974,71.8312988,26.0788002,529.2999878,294.5700073,281.131012,89.8516006,78.0875015,25.3234997,360.1719971,83.5770035,55.412899,347.1019897,101.1699982,51.4327011,0.0
500.8930054,295.571991,239.0540009,129.3650055,70.5656967,21.1511993,533.3510132,330.4039917,256.618988,98.8254013,73.7067032,18.8320007,350.7460022,108.3280029,52.6875992,337.1830139,122.098999,47.3830986,0.0
511.2269897,327.9869995,276.9159851,166.201004,79.9625015,22.9153004,520.5050049,338.4750061,250.9660034,134.1179962,72.4178009,20.0060997,343.1380005,118.4160004,47.7276001,347.7019958,135.7830048,51.2587013,0.0
513.0770264,300.5079956,245.8430023,132.1069946,71.7634964,20.9953995,541.7999878,337.1549988,261.5740051,117.2399979,74.7037964,20.0142994,347.3580017,112.7259979,49.718399,341.0100098,123.8690033,47.9611015,0.0
515.3099976,326.3699951,275.980011,139.2030029,79.8797989,21.7194996,527.7559814,338.1140137,255.2559967,96.4624023,73.3542023,18.3838997,349.2749939,112.5090027,51.6875,350.7820129,130.2019958,49.9390984,0.0
483.4079895,296.4379883,230.7799988,119.6689987,68.6433029,20.1193008,507.3299866,324.1350098,241.5590057,82.8161011,70.3327026,17.4249992,339.8439941,106.5009995,51.3459015,334.9500122,123.3759995,47.4035988,0.0
498.9289856,321.0629883,267.0280151,147.427002,78.1028976,22.3710995,514.0020142,334.197998,246.5809937,110.8539963,71.5879974,19.2556992,345.644989,116.0490036,50.8955002,342.9129944,134.4290009,49.4704018,0.0
506.2999878,270.7839966,261.7780151,122.1699982,74.5560989,25.8868999,548.3369751,302.5339966,288.8169861,96.4172974,79.6307983,25.0673008,359.95401,88.2334976,52.5890007,347.2999878,104.1500015,50.6927986,6.8
520.4660034,275.1549988,273.2749939,129.0440063,76.4037018,26.2052994,567.8759766,309.2860107,302.427002,121.3280029,82.2839966,26.3174992,355.8059998,89.8800964,47.6707001,349.3420105,104.9349976,50.1365013,10.1
492.7290039,301.6539917,235.7570038,123.5289993,69.9872971,20.1700993,499.6700134,322.3739929,239.4810028,89.785202,69.7230988,17.8066998,343.0809937,108.4789963,52.7492981,338.2149963,124.0910034,47.4113007,6.8
502.3760071,274.5239868,238.7899933,121.7200012,69.9822998,23.8393993,564.8369751,312.3410034,271.8609924,92.2024002,76.5595016,22.2579002,360.1749878,98.8098984,53.2947006,353.3649902,113.0770035,50.2779999,0.0
511.5740051,265.8330078,274.0539856,110.9209976,77.0130997,26.9967003,533.7139893,284.8139954,293.598999,79.3134003,79.5367966,26.2602997,360.723999,80.3715973,58.3992996,357.8540039,99.0330963,54.2294998,0.0
500.8420105,333.3150024,281.0599976,157.5019989,82.5836029,23.8726997,530.0380249,344.8150024,252.6150055,122.9430008,74.1912994,20.9796009,345.0650024,120.0589981,47.5680008,344.822998,137.8999939,51.2957001,10.1
511.9960022,276.223999,267.118988,128.2449951,75.3546982,25.8516006,553.2369995,309.7019958,293.3569946,120.5910034,80.3975983,25.9111004,355.3970032,90.7022018,48.1133003,347.7590027,105.8649979,50.232399,10.1
504.5289917,319.7929993,270.2080078,143.5789948,78.1855011,21.7716999,519.5029907,331.8429871,249.9149933,103.3099976,71.9669037,18.5294991,343.8609924,112.1940002,50.7075996,343.1380005,129.1790009,49.7476006,6.8
494.6010132,336.0209961,278.1489868,156.2599945,81.8619995,23.9501991,531.9089966,347.9670105,256.4129944,122.0429993,74.7225037,20.6847992,355.5150146,121.7770004,50.212101,352.1570129,139.8580017,50.9361,0.0
501.3609924,293.8640137,236.7640076,126.6780014,70.8713989,21.9892006,561.7509766,342.3190002,268.2569885,97.0030975,77.5723038,20.5468006,351.1719971,106.2160034,50.2192993,334.2080078,118.7470016,46.5116005,10.1
494.8930054,329.2470093,278.6260071,167.2630005,81.6511002,23.7985001,516.9420166,333.5039978,245.8439941,132.0899963,72.1645966,20.6783009,342.3609924,122.6729965,46.7887001,341.7229919,141.2689972,50.7056007,0.0
504.8389893,278.2460022,240.2510071,123.0439987,70.3031006,23.6096001,566.0490112,317.7009888,272.9240112,91.1856003,76.7791977,22.0202999,365.5440063,100.8889999,53.1054001,355.4869995,114.8590012,50.0087013,3.4
505.6919861,322.1459961,272.473999,154.4779968,78.721199,22.2584,520.4780273,333.2829895,250.8800049,124.1210022,72.1727982,19.1275997,344.026001,115.0189972,49.9174995,343.3909912,131.473999,50.2827988,0.0
502.5650024,302.6589966,241.0670013,124.8089981,71.3179016,20.5909996,510.6409912,326.9299927,246.7879944,88.9521027,71.0274963,17.5760002,346.9389954,105.8850021,56.6904984,342.4890137,123.7470016,48.6912994,0.0
500.8699951,295.651001,239.0500031,129.029007,70.5626984,21.0998993,533.2210083,330.302002,256.5079956,97.8928986,73.6753006,18.7271996,350.6719971,108.2710037,52.7158012,337.1839905,122.2559967,47.4006004,0.0
512.2630005,299.4460144,245.0809937,131.1419983,71.6323013,21.2338009,542.1409912,337.2210083,261.7569885,111.3710022,74.8059006,20.3003006,347.6839905,110.9169998,49.3336983,340.8380127,122.5149994,47.5555992,3.4
548.927002,320.2460022,267.9899902,140.5410004,76.1617966,20.1814995,548.9829712,340.6570129,268.3649902,129.4609985,75.0220032,18.5489006,343.8989868,112.913002,53.0041008,347.1900024,126.7590027,49.9244995,0.0
508.7470093,283.6520081,240.8809967,125.9189987,71.0280991,23.1674995,569.1099854,328.3859863,273.9030151,103.6080017,77.9760971,21.5979996,349.3760071,103.4309998,48.493,333.2099915,114.8909988,46.9640999,0.0
511.5769958,299.5039978,244.7089996,128.8240051,71.5314026,20.8530998,540.1500244,335.4049988,260.0509949,103.7770004,74.3704987,19.4852009,347.0899963,109.5429993,50.3781013,340.8450012,122.7350006,47.9585991,6.8
500.3800049,295.4400024,238.1640015,127.5630035,70.4476013,21.2017994,535.4539795,332.7290039,257.2489929,99.6371994,73.8797989,19.1811008,349.8039856,108.6090012,51.2478981,336.0169983,122.9430008,46.5765991,10.1
485.9660034,254.3379974,261.2520142,117.1490021,73.5118027,26.9829006,543.3270264,290.2149963,296.8800049,96.6119003,80.8321991,26.9806995,357.1029968,80.245903,49.7501984,347.9530029,97.9209976,51.1417999,6.8
494.6080017,287.151001,231.5879974,124.151001,69.353302,21.4367008,548.5390015,330.8710022,261.256012,101.2979965,75.5333023,20.2215996,348.6889954,110.2200012,48.1590996,330.9899902,122.1100006,44.9329987,0.0
