H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
74.9260025,1800.9399414,6.4605999,153.0160065,108.4290009,57.4258995,67.4859009,1676.3599854,6.1847801,93.0378036,92.2381973,27.3509007,211.1829987,59.1582985,29.1296005,191.6410065,77.0645981,26.1462002,0.0
73.8304977,1812.8100586,6.21664,159.3170013,110.7460022,62.9748993,67.3051987,1681.9100342,6.0883698,93.9792023,94.1193008,30.4279003,210.4629974,56.7481995,29.6350002,191.1589966,73.6350021,25.6814003,16.9
75.0929031,1797.0799561,6.4017901,150.8600006,106.5660019,54.4872017,69.4216995,1679.0699463,6.4212599,93.1505966,92.3450012,24.7388992,211.2030029,60.0979996,30.2754993,192.9440002,79.7186966,26.7110996,16.9
75.4797974,1774.1800537,6.27812,145.7949982,104.2419968,53.7835999,72.2770996,1683.4399414,6.7645402,93.2856979,92.4719009,20.3976002,211.3840027,62.0317993,32.6948013,194.0449982,83.7489014,27.8556995,5.6
73.6104965,1815.6199951,6.15131,159.8509979,111.0179977,63.7346992,68.3722,1682.9300537,6.1483798,94.0767975,94.2578964,31.7583008,210.3919983,56.2496986,30.2630005,191.7510071,72.6817017,25.8229008,0.0
75.5351028,1781.9100342,6.3380899,147.0189972,104.4690018,52.114399,71.4842987,1682.2800293,6.6985998,93.2228012,92.4225006,20.6446991,211.3670044,61.8933983,31.8469009,193.2160034,83.4438019,27.3924007,5.6
112.2089996,1563.6199951,14.5923996,146.6620026,106.9840012,142.0610046,117.098999,1593.8000488,18.4123001,93.8581009,102.1699982,87.0967026,209.0599976,51.6189995,34.3965988,192.552002,70.2854004,27.0475998,0.0
75.3895035,1788.6600342,6.3186498,147.6560059,103.8259964,49.8992996,71.2939987,1682.4000244,6.7093501,93.2278976,92.4088974,19.9477997,211.3809967,62.1041985,31.7756996,193.9830017,84.1977997,27.3122005,0.0
73.7973022,1817.8800049,6.48311,164.3370056,110.3119965,60.1795006,53.9123993,1686.0,5.2600899,93.5149994,92.5723038,27.5764008,212.5749969,59.2678986,26.8246002,190.0209961,75.634201,24.2387009,0.0
72.4216995,1845.9100342,5.9563999,166.352005,112.2369995,65.0394974,70.3435974,1685.6800537,6.0861001,94.4792023,94.6975021,36.3040009,210.0549927,53.7187996,30.7042999,194.4810028,69.0414963,25.6266003,0.0
