Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.190663,48.0337982,0.64213,258.3429871,27.2434998,5.6027699,0.203149,39.7793007,0.564224,208.923996,22.6959,3.76106,220.9069977,87.5621033,132.6660004,226.6649933,105.3840027,46.993,28.2
0.454199,45.1571999,0.920451,271.7770081,29.3055992,7.0329199,0.489095,35.8372002,0.763349,212.6849976,24.5662003,4.3460598,230.2489929,103.1910019,38.5607986,214.1699982,116.6780014,38.7272987,16.9
0.252939,38.264801,0.933628,236.2689972,27.7236004,6.0516701,0.266003,31.0254993,0.744109,199.6170044,20.8943996,3.8638201,245.1990051,94.270401,43.1962013,220.0780029,105.5469971,37.8678017,0.0
0.420327,56.9818001,0.901631,278.3829956,34.2817993,6.50495,0.427551,44.2195015,0.761758,205.496994,27.3185005,3.8234301,237.2279968,96.0560989,36.7016983,207.7429962,108.4980011,31.1210003,0.0
0.393478,44.6164017,0.939527,269.20401,29.3446999,6.5934901,0.40328,35.8694992,0.791062,210.951004,23.6599007,4.0637898,238.75,98.8464966,40.9113007,219.8800049,112.8050003,38.2932014,22.5
0.294636,42.1016998,0.730667,267.1719971,26.5195007,5.8801298,0.348509,33.8553009,0.808266,205.470993,20.7168007,4.0587101,226.625,94.9145966,133.6049957,217.0500031,108.6620026,49.1898003,0.0
0.28386,39.7205009,0.83047,246.5350037,25.8589001,5.5350699,0.284248,31.8757,0.784387,200.5440063,19.6392002,3.9389701,222.6239929,92.8219986,133.5950012,217.5140076,104.6949997,46.5117989,16.9
0.319361,41.3167,0.863376,281.9249878,27.7716999,6.7666998,0.435672,33.6123009,0.728862,215.5119934,22.4678001,4.4036798,231.0559998,93.0168991,40.9692993,227.9250031,115.8539963,41.5349998,22.5
0.30801,47.4426994,0.882119,257.2529907,31.0981007,6.3875999,0.317813,37.0746002,0.756834,204.2089996,24.5909004,3.8541999,247.6609955,93.8921967,42.2478981,215.8040009,107.1299973,39.7813988,0.0
0.419839,56.8302994,0.904974,288.5740051,34.6514015,6.62217,0.413903,43.3712997,0.757826,206.6410065,27.7665005,3.8737199,241.6990051,98.6761017,37.1959991,210.1410065,110.2210007,31.4864998,0.0
0.40949,46.7056999,0.70074,300.4070129,27.7544994,5.7806602,0.718884,39.0172005,1.42919,208.1809998,23.7219009,4.0391402,215.4160004,106.3470001,142.9949951,190.095993,109.7809982,40.7327003,0.0
0.301193,40.5391006,0.80717,259.8900146,26.6781006,6.0830498,0.34984,33.1730003,0.804345,207.0980072,20.8229008,4.0741601,224.378006,93.430397,108.8079987,216.447998,107.1520004,46.4375992,0.0
0.214446,49.5056,0.835778,251.7380066,30.6126003,6.11373,0.360608,36.344799,1.0252301,204.4720001,23.5776005,3.6919899,248.496994,91.3178024,42.4775009,217.496994,106.112999,40.0569992,0.0
0.332218,32.1889,0.923689,249.0330048,24.7502003,6.4478898,0.313767,27.8859997,0.75577,207.3009949,18.8075008,4.3476801,231.4880066,100.4720001,41.7010994,230.2669983,113.3860016,42.3218994,0.0
0.377132,27.8374004,1.03742,241.0870056,23.0748997,6.42697,0.291031,24.7299004,0.845055,207.529007,17.6758995,4.3569598,230.2129974,102.4789963,43.1711006,236.8609924,111.487999,41.6968002,0.0
0.21098,41.8790016,0.878116,233.8959961,28.0270004,5.9552002,0.275217,33.2434998,0.720575,199.5769958,22.2310009,3.7655799,244.9539948,92.3458023,43.0709,216.6529999,104.9759979,37.7638016,22.5
0.35419,36.4286995,0.92192,264.5270081,25.4060993,6.4647498,0.35707,30.5175991,0.759977,208.3320007,20.3941994,4.2854199,228.9660034,99.3784027,41.8923988,227.1519928,114.1320038,41.7949982,28.2
0.348037,50.4210014,0.67696,279.9590149,29.6814003,5.9403701,0.466835,41.1738014,0.854663,206.3569946,24.0049992,4.0857201,214.1100006,93.3823013,138.7420044,202.1150055,105.6360016,42.4747009,22.5
0.40301,55.2667007,0.936289,255.947998,31.9794998,6.2342,0.323596,42.8116989,0.780626,205.2709961,25.7581997,3.6930599,244.3280029,82.2897034,42.2014999,212.3399963,101.6429977,35.142601,0.0
0.203339,41.6994019,0.743222,229.9940033,26.2950993,5.3657398,0.185793,33.1330986,0.617996,200.0780029,20.5212994,3.7533801,220.6100006,85.2711029,131.7870026,207.3990021,101.1709976,46.2169991,16.9
0.266051,38.2633018,0.946666,237.6239929,27.7040005,6.06775,0.272412,31.0956001,0.756507,199.651001,20.7551003,3.87185,245.2949982,94.6957016,43.2318993,220.9900055,105.8079987,37.8973007,0.0
0.276548,41.1523018,0.869369,303.6730042,27.7943993,6.62222,0.383955,33.3349991,0.705599,213.7830048,21.4997005,4.3031301,229.7019958,92.509903,41.3866997,230.9869995,116.2170029,41.8420982,0.0
0.237756,45.8431015,0.682329,252.25,27.5160999,5.6137099,0.27732,36.5294991,0.733725,204.9369965,21.8572006,3.87324,222.0469971,87.8275986,135.4869995,208.1580048,103.8529968,48.6020012,0.0
0.317649,51.2210999,0.879641,257.5750122,31.6685009,6.3084698,0.328971,38.6892014,0.814531,207.8650055,24.7796993,3.7463,246.2070007,89.9605026,41.5744019,212.8880005,104.7210007,38.3060989,16.9
0.339765,31.5606003,0.93751,249.6159973,24.5300999,6.46877,0.315108,27.5065994,0.769967,207.4160004,18.6439991,4.3622699,231.6660004,100.9649963,41.7560997,231.727005,113.538002,42.361599,0.0
0.413162,43.723999,0.881104,276.1289978,28.5335999,6.698,0.435152,35.0533981,0.73137,215.3789978,23.6362991,4.5447202,229.7489929,98.7247009,39.1064987,220.1119995,114.9189987,40.3834,0.0
0.401367,55.6174011,0.904968,266.6390076,33.1380005,6.5377002,0.392577,43.4174995,0.77361,204.8070068,26.6222,3.78652,240.0110016,91.6231003,39.5278015,209.2359924,105.5189972,33.4574013,28.2
0.304107,47.3272018,0.880952,255.9129944,30.9953003,6.3684001,0.315543,36.9420013,0.759707,204.1999969,24.4333,3.8473499,247.6640015,93.4824982,42.2603989,215.673996,106.939003,39.8036995,0.0
0.278905,38.918499,0.833832,251.3419952,25.8843994,5.90171,0.260865,31.5408001,0.742523,206.3990021,19.1264,4.12603,223.0630035,92.3368988,136.4369965,219.477005,104.5210037,52.6470985,0.0
0.344667,41.4617996,0.959208,281.3649902,27.8423996,6.6631799,0.43301,33.5245018,0.742181,214.878006,22.4755001,4.33324,233.003006,93.7090988,43.2543983,225.2700043,114.1210022,41.7256012,22.5
0.40906,28.7504005,1.00314,253.2449951,22.5681,6.5071201,0.391935,24.4288006,0.879208,207.4279938,18.2898998,4.4263601,233.4160004,109.9759979,42.1456985,245.4830017,117.2990036,42.5999985,0.0
0.275617,45.5166016,0.922782,248.1499939,30.0991001,6.1353502,0.2906,35.2799988,0.757843,200.0690002,23.7658997,3.8052399,245.3379974,92.4810028,42.9308014,216.2369995,105.1930008,37.5755005,22.5
