DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
234.8580017,233.6150055,128.8540039,31.4365005,31.1159,2.7841699,257.855011,229.5350037,140.7819977,31.3831005,34.9777985,3.25122,223.3110046,87.6537018,132.6750031,212.5460052,104.3639984,48.6800995,0.0
296.5209961,217.2129974,150.2230072,44.6651001,43.4272003,4.5721898,308.4620056,238.5610046,158.0919952,34.5295982,40.0716019,3.69138,237.6179962,96.6212006,36.7356987,209.2510071,108.8600006,31.1504002,0.0
269.2869873,234.3379974,143.7359924,43.3046989,39.5876999,3.93104,270.6929932,247.8930054,145.3179932,35.8543015,37.0298996,3.90485,224.3699951,99.5164032,102.6640015,214.1880035,112.75,43.8296013,22.5
294.5570068,223.1920013,154.7720032,38.4916,40.3058014,3.2827201,286.743988,234.8899994,151.1049957,32.9710999,37.8810997,3.33444,245.6950073,95.9688034,43.297699,223.1109924,106.7040024,37.948101,22.5
296.427002,224.1080017,155.4230042,40.3620987,41.7196007,3.30231,286.8880005,239.3580017,151.1849976,33.7158012,37.9341011,3.35516,245.6779938,97.4586029,43.4174004,225.6719971,107.197998,38.0626984,0.0
290.6690063,218.1929932,152.9349976,40.8135986,40.8670006,3.91417,261.375,236.0700073,138.7640076,35.6899986,36.0839005,4.1946902,226.8600006,99.4981995,40.5928993,218.2740021,115.2399979,40.7630997,0.0
325.178009,232.2389984,169.776001,46.1852989,46.3440018,4.3797998,295.9920044,252.496994,155.5099945,38.8754005,40.7159996,4.3122401,230.0579987,103.5859985,38.5554008,214.1210022,117.1360016,38.7372017,16.9
283.0580139,217.2369995,154.154007,38.4379997,34.9786987,3.9414999,273.3760071,229.1560059,149.3450012,33.7995987,37.917099,4.1454,229.5599976,92.5018005,41.3661995,230.9160004,116.1650009,41.824501,0.0
262.4590149,210.1080017,140.3159943,38.7946014,37.2229004,3.82917,247.7700043,225.5650024,133.3350067,33.5685005,34.1837006,4.0262299,233.3690033,97.0567017,43.3176003,223.8549957,112.3830032,41.6598015,22.5
240.2879944,239.602005,131.0679932,32.9887009,32.5589981,2.72895,249.4530029,232.7769928,136.0670013,31.0466003,33.8381996,3.2221601,221.3899994,88.1810989,133.0570068,212.9559937,102.8349991,46.3544006,16.9
239.4519958,239.1080017,130.8000031,32.0401001,32.0293999,2.6893301,249.4720001,231.0820007,136.0809937,30.6942997,33.8249016,3.1869099,221.1210022,87.1195984,132.7129974,211.6430054,102.3190002,46.3126984,16.9
217.272995,229.6190033,117.5699997,36.588501,30.9526997,3.1760299,240.6660004,234.0630035,131.0019989,30.5326996,32.3233986,3.1459401,219.9799957,91.1119995,137.5789948,203.628006,103.9120026,47.1133003,28.2
292.8169861,218.5299988,153.753006,41.9208984,41.1403999,3.53176,296.5660095,241.9149933,156.5299988,35.2210999,39.2891006,3.6115601,249.4859924,97.0510025,42.6259995,223.022995,110.3420029,40.575901,0.0
279.5660095,251.4069977,146.5659943,45.6225014,43.2327995,4.03373,265.0490112,258.4150085,139.6340027,38.8362999,37.2234001,4.3285398,221.1060028,105.9830017,129.0509949,209.897995,118.7870026,48.2599983,16.9
297.9700012,217.5189972,150.6009979,45.3797989,44.2290001,4.6166,309.2059937,239.3999939,158.3249969,34.8400002,40.1531982,3.7254601,237.4080048,96.9950027,36.6912994,208.4080048,108.9869995,31.1168003,0.0
259.9110107,199.2720032,132.7640076,37.4654007,37.1833992,3.9459901,270.4370117,218.3309937,139.3419952,30.6627998,35.0522003,3.5834401,238.3150024,93.5319977,39.478199,210.9340057,107.0029984,33.4623985,28.2
346.5549927,239.7059937,181.026001,50.9384995,50.6007004,4.84132,331.0650024,266.9710083,173.4589996,41.9155998,44.8224983,4.5585899,238.4579926,106.1350021,39.6587982,218.3119965,119.9850006,38.9628983,0.0
289.3250122,221.0130005,152.8329926,32.851799,37.1394997,2.8902299,286.2210083,228.5740051,150.7619934,30.8796997,37.7457008,2.95719,244.9940033,92.7098999,43.0051994,216.5339966,104.8209991,37.6778984,0.0
295.6199951,223.7700043,155.147995,39.4527016,41.1561012,3.2507501,286.7609863,237.878006,151.1239929,33.3861008,37.9071999,3.3171899,245.6199951,96.8806,43.3787003,224.7339935,106.9380035,38.0273018,0.0
276.8680115,245.8930054,144.6269989,47.6394005,41.7391014,4.38062,301.5899963,260.5249939,159.4440002,37.950901,40.594799,3.9734399,212.6009979,103.2659988,128.3049927,197.7449951,113.8330002,38.0905991,0.0
320.9440002,224.8130035,161.7960052,55.3702011,51.7266998,5.4257202,333.8829956,262.7120056,171.1060028,39.4309006,43.3400993,4.0363798,242.1829987,102.6449966,37.0724983,211.3690033,112.4440002,31.4011002,0.0
237.3580017,237.0980072,125.1090012,42.0456009,33.8586006,3.9503,266.2049866,244.3350067,141.102005,32.6559982,35.5295982,3.3291399,211.625,96.1447983,135.6589966,198.2189941,106.4209976,40.2767982,0.0
