DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
198.1730042,97.3914032,130.4089966,72.9496002,30.8705006,17.4491005,254.4839935,118.3280029,143.3150024,64.1227036,0.0,11.4554996,76.3715973,1776.6999512,6.8867502,149.7660065,107.8730011,56.7550011,69.5192032,1677.4899902,6.4354801,92.9194031,92.2932968,23.5580006,211.4429932,60.8478012,28.4874001,185.8329926,79.9191971,25.4466,0.0
204.4320068,97.1047974,122.0759964,54.5705986,31.2117996,19.1231995,228.4609985,94.7790985,132.4100037,45.3087006,0.0,15.6926003,113.8280029,1574.1999512,13.6452999,126.2269974,116.5039978,136.0200043,117.9970016,1549.7399902,16.3526993,84.9997025,110.2440033,90.0840988,202.5769958,47.5853996,26.9883995,192.8549957,61.0340996,22.6130009,11.3
204.6260071,102.0709991,121.8809967,54.6920013,31.2339001,19.2178993,231.6150055,100.0540009,132.9949951,44.8434982,0.0,15.6559,117.348999,1555.4599609,14.3765001,127.8860016,116.5220032,145.4960022,120.9229965,1548.9399414,17.0063,85.0022964,110.2030029,91.3871002,202.6620026,47.2442017,27.9242001,192.5529938,61.1296005,22.8237991,11.3
197.1430054,113.7170029,132.9490051,75.0852966,30.8106995,17.1555004,259.0499878,132.5930023,142.8099976,65.1278992,0.0,12.1424999,74.0688019,1803.9799805,6.2581902,158.1100006,110.2200012,63.1044006,67.8795013,1682.2900391,6.1893201,93.9693985,94.1094971,28.9953995,210.4940033,57.1413002,29.9799995,190.9349976,74.8392029,25.8644009,0.0
204.6399994,98.646698,121.8410034,55.9263992,31.2476997,19.4829998,227.6799927,96.7909012,129.628006,45.8894005,0.0,15.7220001,121.8460007,1523.8299561,15.3556995,129.9830017,115.6060028,155.0449982,126.2360001,1546.6500244,19.2362995,85.0714035,109.9800034,99.5978012,202.5859985,46.9300003,28.3668003,190.0269928,61.1815987,22.6480007,16.9
199.7929993,131.3730011,129.9629974,71.4653015,30.9792995,15.9757004,257.5979919,149.1390076,145.6940002,63.8828011,0.0,11.0249996,75.3536987,1789.6700439,6.39748,149.2870026,105.6019974,53.4347992,70.1616974,1680.2900391,6.5401502,93.1587982,92.3638992,22.5487003,211.2940063,60.9653015,30.7959995,192.6040039,81.5998993,26.8994007,0.0
199.2519989,119.6240005,130.1190033,72.0462036,30.9339008,16.3533993,255.6119995,138.5820007,144.8789978,64.2005005,0.0,11.276,75.4632034,1787.6099854,6.4704199,149.9290009,106.6279984,55.4696999,69.4669037,1679.0200195,6.4466901,93.0931015,92.3242035,23.6534004,211.2879944,60.5355988,30.1513004,191.1679993,80.3610992,26.5848007,16.9
197.2899933,112.1439972,132.9360046,75.2284012,30.8054008,16.9631996,259.9830017,132.2059937,141.6629944,64.5653,0.0,12.3570995,73.5610962,1820.1899414,6.1532798,160.3800049,111.1699982,63.3016014,67.5691986,1682.2600098,6.0627599,94.0447006,94.2020035,31.9514008,210.3930054,56.1987991,29.7271996,191.6699982,72.4349976,25.6525993,0.0
199.0800018,110.8420029,130.1730042,72.2174988,30.9361,16.5750008,254.7619934,130.4349976,146.8280029,64.0467987,0.0,11.1417999,76.0774994,1776.6700439,6.5756202,148.1860046,106.6760025,56.6297989,70.3107986,1679.5,6.5246601,93.066803,92.3703995,22.8577995,211.2839966,60.7519989,29.9943008,188.6529999,80.8567963,26.5095997,16.9
198.9380035,117.1800003,132.848999,73.7419968,30.8983994,15.8797998,270.3169861,145.1620026,143.4669952,58.2349014,0.0,13.1032,73.2518005,1840.2099609,6.23983,163.6560059,111.9029999,64.6937027,70.8627014,1685.5,6.1194301,94.5756989,94.6905975,36.037899,209.6589966,52.8881989,29.2441006,197.0310059,69.2269974,26.5622997,5.6
