DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
327.5539856,2460.7299805,42.3296013,260.6520081,210.9940033,39.2672005,292.2019958,2569.8601074,56.9738998,205.2330017,203.9689941,29.5070992,112.1579971,1744.5400391,14.7585001,59.7952995,54.0312996,36.2398987,79.7445984,1774.3900146,9.15662,60.7411003,62.5463982,28.0139999,181.1439972,41.7686996,17.0375996,145.9640045,53.5177002,16.9323006
395.3450012,2797.4399414,60.2248001,310.1229858,224.4750061,39.5769005,379.0220032,2846.0400391,67.1965027,256.2139893,211.4320068,27.3561001,94.0487976,2533.4799805,11.6288004,71.4080963,59.1414986,40.1585007,108.8539963,2462.1499023,14.6153002,65.3119965,56.2764015,31.0086994,171.5980072,45.1549988,18.6721992,149.6670074,56.3987007,18.4188995
552.4940186,2210.2700195,100.1009979,260.4769897,258.4830017,45.3478012,556.7160034,2409.5,97.3253021,196.0919952,228.1089935,32.3470001,138.4499969,1906.25,19.7091999,73.9262009,82.1331024,57.7527008,196.0930023,1654.1800537,31.6382008,60.7270012,71.6500015,43.9934998,199.3430023,31.5876999,17.0916996,144.7120056,40.7076988,16.7856007
288.4440002,2537.4599609,34.3806,261.8320007,207.276001,38.6796989,229.9230042,2593.3300781,51.3521004,207.5590057,202.8110046,29.2031002,104.9229965,1902.9200439,13.4966002,59.1239014,47.9673996,34.0512009,69.9807968,2001.1600342,7.1120601,60.7128983,54.9604988,26.2395992,179.026001,43.5769997,17.0461006,147.5590057,55.3204002,17.2728004
426.5140076,2508.3200684,67.0350037,267.2709961,249.4450073,43.6072998,391.7019958,2544.8300781,73.8401031,212.4380035,224.8070068,30.7703991,112.5419998,2166.5300293,15.2200003,71.0677032,73.2947006,53.1693993,133.1869965,2169.8400879,19.9524002,61.0010986,68.3368988,41.3377991,164.3540039,36.3121986,16.8666992,140.7259979,48.7783012,15.2874002
517.9140015,2248.2199707,90.6480026,257.946991,237.6230011,43.5457993,523.8649902,2441.0700684,86.9236984,195.3919983,219.0220032,31.6417999,135.4570007,1515.2900391,19.0653,67.762001,93.1258011,50.0270996,149.3679962,1297.5899658,24.5883999,60.6239014,86.993103,38.6843987,188.4230042,32.8793983,17.0016994,141.2169952,45.0441017,16.2171993
548.6610107,2123.8300781,97.0759964,256.1109924,236.5249939,43.2195015,551.1829834,2434.3400879,89.7270966,194.5970001,218.6649933,31.4993992,143.4940033,1499.7800293,20.4097004,67.919899,80.4977036,49.4729004,164.8179932,1235.5899658,26.3705006,60.5325012,77.1409988,38.030899,193.0189972,33.0449982,16.9838009,143.9230042,43.1655998,16.4113007
503.6390076,2371.1000977,86.1407013,266.6600037,266.1149902,46.7747002,490.2369995,2461.2900391,90.4686966,205.9250031,232.7310028,33.1893005,127.2030029,2334.6799316,17.8467007,76.3363037,66.3442001,61.2602005,197.2050018,2248.2600098,29.8950005,61.0079002,59.0299988,46.9779015,185.0800018,33.5792999,16.8314991,144.0480042,43.0742989,15.9117002
215.2059937,3247.6899414,37.8496017,342.4779968,174.7859955,10.8611002,245.0899963,2824.8300781,60.5727997,260.1830139,148.4349976,6.0261302,63.1567993,2904.3400879,5.4581599,57.6099014,37.6833,4.8318801,70.1274033,2870.3000488,6.19836,66.8490982,37.8161011,4.2079,170.9550018,57.5186996,19.8204994,158.7279968,68.2806015,20.8803005
510.644989,2389.8500977,86.7049026,269.1159973,287.1319885,50.0839005,520.2449951,2483.8999023,89.5470963,213.3470001,237.3159943,34.8967018,126.9540024,2325.6101074,17.8001003,80.471199,78.8336029,70.9813004,179.4629974,2218.5600586,29.2306004,61.4608002,70.5542984,54.598999,182.3269958,31.4018002,16.718399,141.5099945,44.9061012,15.4727001
