M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
153.4570007,4165.9799805,30.9587994,391.4020081,122.9290009,13.7009001,204.1430054,4149.7099609,43.3235016,348.5299988,112.0459976,8.5809698,219.9609985,89.7577972,137.5919952,209.4120026,104.5650024,43.9935989
149.1589966,4212.8100586,33.1240997,397.7200012,129.2740021,15.4652996,183.9559937,4201.75,42.6879005,345.2730103,116.2269974,7.8407202,244.7120056,90.7470016,42.2969017,215.7539978,106.1920013,35.2372017
139.4179993,4191.2299805,31.6674995,391.5299988,126.2969971,13.7832003,185.5370026,4168.2900391,43.3518982,347.3630066,113.2229996,8.5783796,221.1860046,90.2633972,135.8930054,208.9790039,104.8980026,43.9734993
112.2750015,4273.3999023,31.6874008,402.8320007,130.6289978,15.5149002,143.173996,4287.8300781,42.1273994,345.9819946,118.8909988,8.6172705,237.2160034,100.2870026,40.2909012,217.2879944,113.5250015,37.6228981
107.2440033,4274.7998047,31.0291996,407.7449951,131.3329926,16.2143993,139.4199982,4289.6201172,41.9000015,347.9460144,120.9349976,8.9650698,236.1360016,103.5309982,38.2633018,216.1439972,118.0289993,37.5428009
82.7417984,4261.0600586,31.4333992,395.881012,124.0179977,14.3586998,117.4469986,4245.3598633,41.7078018,348.9599915,117.2570038,9.1036901,226.8150024,99.6832962,40.5653992,217.9629974,115.5979996,40.7521019
175.7630005,4197.7202148,32.3160019,399.6539917,135.8919983,14.9885998,220.3650055,4219.5600586,41.7923012,349.8599854,120.5199966,7.7382998,241.9320068,97.5770035,37.2995987,210.6109924,109.4489975,31.5799999
89.8349991,4290.7099609,31.0445995,401.6839905,126.9700012,15.8203001,116.0670013,4308.9902344,41.0735016,346.0249939,118.3479996,9.0313101,229.9360046,103.8270035,38.5494003,214.0319977,117.4059982,38.7415009
171.1170044,4122.6201172,31.0062008,391.571991,126.8840027,13.6485004,222.9720001,4106.1499023,43.3190002,351.052002,113.2539978,8.5374804,218.9129944,91.8942032,139.1289978,204.378006,103.9769974,44.0269012
146.4190063,4145.4199219,32.3255005,406.3469849,130.4850006,15.2503996,179.2980042,4128.0898438,41.5647011,350.7149963,117.0009995,8.0052299,246.6950073,91.7818985,41.6931,215.3190002,106.9499969,38.6971016
77.3732986,4314.1499023,30.8591003,401.4609985,121.9260025,15.6185999,108.2210007,4314.2900391,41.1057014,344.9400024,116.211998,9.0927496,227.8600006,109.7470016,38.2682991,209.7839966,120.6920013,38.6533012
168.9869995,4124.5498047,30.9321995,391.4129944,120.8089981,13.6054001,222.4170074,4087.5400391,43.3218002,350.17099,112.2269974,8.4503002,219.6730042,86.6622009,134.2079926,219.6950073,104.2210007,43.8610001
131.1710052,4042.6499023,31.1590004,403.8640137,135.2940063,14.6175003,159.5039978,3990.4699707,41.7109985,360.5950012,121.2139969,7.7253699,245.6199951,96.8806,43.3787003,224.7339935,106.9380035,38.0273018
172.3470001,4017.9599609,30.1728001,401.8349915,133.6889954,13.4429998,229.003006,3942.4799805,42.0374985,361.1690063,120.4660034,8.5698404,223.9470062,87.4431992,132.2160034,211.2460022,104.2539978,48.7598
181.0240021,4123.8598633,32.0578995,403.5130005,134.6629944,14.7159996,210.2299957,4092.8999023,41.7378006,356.2829895,119.7160034,7.64779,245.4190063,93.2113037,42.8950996,216.451004,105.572998,37.5307999
83.847702,4301.8500977,31.1683006,401.6440125,126.0889969,15.7652998,111.401001,4314.8701172,41.0908012,346.1130066,118.1800003,9.0439997,229.4629974,104.8010025,38.5050011,213.2779999,118.2799988,38.7396011
