Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.981483,85.5271988,1.28026,626.8300171,76.6064987,57.0047989,1.07595,75.5491028,1.4294,501.7510071,69.4285965,55.5,351.7539978,122.288002,45.5130005,352.1690063,140.9720001,51.8305016
0.824928,92.6688995,1.1744601,542.8900146,73.8420029,49.5964012,0.826448,76.8274002,0.947287,350.0620117,60.8578987,39.3739014,343.7680054,112.5130005,51.5700989,346.95401,126.651001,49.5331001
0.985886,103.6009979,1.42713,603.5770264,88.5550003,56.5343018,1.09973,89.6820984,1.56785,391.0870056,75.3492966,50.2626991,355.4630127,105.8259964,47.6593018,345.4060059,116.223999,48.1458015
1.0394599,88.6747971,1.32348,618.2420044,75.8764038,55.3726997,1.0905401,75.7564011,1.31341,455.1929932,65.2661972,50.0682983,349.8940125,117.2210007,50.8249016,351.3909912,134.5870056,50.5878983
0.984849,83.9912033,1.29408,626.3569946,75.9052963,57.5908012,1.05565,74.4540024,1.43243,490.493988,68.8582993,55.2815018,360.3989868,121.7900009,46.0769997,366.4419861,140.4620056,53.5345001
0.914316,101.2229996,1.39478,607.210022,86.8864975,56.2444,1.04619,87.251503,1.54778,393.2200012,73.3128967,49.8964996,357.6809998,107.2910004,47.5138016,339.7369995,118.072998,47.1213989
0.965105,94.8562012,1.3059,608.6469727,79.9402008,54.3969002,1.00743,79.3228989,1.30748,387.3129883,65.6286011,46.2531013,349.7309875,107.6869965,51.8293991,335.9760132,122.7389984,46.5956001
0.999699,88.4950027,1.25475,593.3569946,75.0035019,54.6251984,1.03739,76.4281998,1.26984,430.0379944,65.5951996,48.3468018,344.0700073,115.7850037,49.4973984,343.4070129,132.2779999,50.3712997
0.991647,80.5503998,1.31329,627.1339722,74.0998993,57.6683998,1.06795,72.161499,1.4369,495.3850098,67.9206009,55.6381989,360.552002,121.8320007,47.4014015,366.5069885,141.2669983,53.1875
1.00546,86.2789993,1.27463,591.4039917,74.9946976,54.2699013,1.0582401,75.3553009,1.31442,451.7330017,66.3644028,50.9957008,343.1279907,118.0439987,47.9868011,347.7019958,135.3309937,51.1711006
0.991365,97.2031021,1.37186,604.3770142,82.3684998,54.4566994,1.04377,81.4245987,1.35886,389.2850037,67.4104004,47.6668015,343.901001,106.0169983,51.6436996,329.1119995,120.6490021,46.2318993
1.2168601,82.2664032,1.44321,629.1950073,74.1735992,58.419899,1.32092,72.7951965,1.56222,511.0509949,66.3289032,56.6724014,345.1199951,119.8160019,47.3072014,344.7539978,137.4779968,50.8513985
1.03952,87.8972015,1.32222,618.0980225,75.2077026,55.3858986,1.09032,74.7229996,1.3085901,451.9580078,64.3644028,49.8146019,349.8169861,115.7649994,51.4468002,351.269989,133.5169983,50.4057007
0.853839,149.4909973,1.71279,583.2490234,119.9899979,58.0079002,0.909698,136.7409973,1.45279,427.8680115,108.9909973,55.9216003,357.1340027,87.5203018,46.9588013,356.5830078,102.6210022,51.9005013
0.946273,89.7624969,1.26774,581.1619873,75.9740982,51.8975983,0.973572,74.7285995,1.29633,368.4729919,62.162899,44.5256004,347.2489929,112.6610031,49.9336014,341.0140076,124.0139999,48.033699
0.808479,143.401001,1.63353,549.25,115.0400009,55.1175003,0.877711,128.9579926,1.34867,395.9590149,102.387001,51.6525002,355.0499878,88.9898987,47.0626984,359.519989,105.0999985,51.9846992
0.982814,85.6675034,1.29296,625.6040039,76.560997,57.521801,1.0516,75.5856018,1.42147,480.756012,68.7494965,54.5889015,360.6239929,121.0930023,47.3871994,366.7449951,139.3249969,53.5237999
1.20208,80.5276031,1.36747,628.9279785,74.6776962,58.3652992,1.29971,72.2446976,1.54324,506.0020142,67.5390015,56.5127983,345.0669861,126.0619965,47.6221008,344.848999,143.4069977,51.3050995
1.01784,81.4449997,1.38261,652.0949707,74.1547012,60.9852982,1.13684,71.6455002,1.44021,512.1729736,65.7385025,57.1879005,355.3980103,122.7919998,49.3153992,352.0710144,140.7440033,50.9779015
0.986628,93.5945969,1.33284,623.8300171,78.3215027,55.5311012,1.00148,78.4585037,1.32709,401.0109863,65.2520981,47.7616005,350.6119995,106.3659973,53.9076004,337.1279907,122.0910034,47.339901
0.9737,92.6495972,1.3231,586.3289795,79.322197,51.9343987,1.00511,77.8622971,1.35474,380.0299988,64.9860992,46.1431999,347.7359924,110.9160004,49.2034988,339.7799988,122.526001,47.3895988
0.909256,104.6900024,1.53711,604.2130127,90.8255005,55.0769997,0.92039,89.5376968,1.4685301,384.5440063,75.3632965,49.2734985,363.8980103,101.2610016,53.8877983,348.3330078,115.8690033,49.6389008
0.95057,91.831398,1.30665,582.0839844,77.2792969,52.0253983,0.978653,77.726799,1.3035001,374.7810059,64.0173035,45.3991013,347.1910095,109.6760025,50.3087006,340.8479919,122.6699982,47.9119987
0.945626,89.2072983,1.26854,581.6740112,76.3850021,51.9483986,0.974371,73.9586029,1.3024499,368.0830078,62.1167984,44.6142998,347.4200134,112.9680023,49.5597992,341.0220032,123.8799973,47.9329987
0.961201,91.5223007,1.23628,588.3289795,74.6822968,51.8370018,0.951429,76.358902,1.17328,369.1789856,61.7832985,42.5853996,345.9259949,112.5709991,51.401001,339.0069885,125.1839981,47.7863998
1.00765,85.7040024,1.28962,591.9539795,74.7229996,54.3292007,1.0623699,74.9978027,1.31907,456.0499878,66.1837006,51.3580017,343.1820068,118.1699982,48.0166016,347.7279968,135.4819946,51.1244011
1.08567,81.450798,1.35338,612.9310303,75.4916,56.7854996,1.189,72.8072968,1.47387,495.1910095,68.1122971,54.4570007,342.3299866,123.7590027,47.0984993,341.7090149,141.9649963,50.4938011
1.05607,87.3529968,1.31499,614.5139771,74.0943985,55.5112,1.10031,72.572998,1.25093,436.4039917,62.0295982,48.6969986,345.6730042,111.0039978,53.9790001,347.8169861,129.2940063,48.9146996
0.987446,94.126503,1.34728,624.6489868,79.0149994,55.6212997,1.0029401,78.7789001,1.33474,403.1879883,65.7115021,48.2249985,350.7569885,105.689003,54.1174011,337.1220093,121.6819992,47.3074989
0.987227,93.7098007,1.3411,624.3989868,78.601799,55.6057014,1.00247,78.2509995,1.33085,402.3049927,65.2851028,48.0343018,350.7000122,105.6350021,54.3008995,337.1210022,121.8190002,47.3139
1.03764,87.7835999,1.30469,617.1749878,74.4033966,55.3376999,1.08558,73.6184998,1.2921799,439.3410034,62.8042984,48.7304001,349.5580139,112.572998,52.8810997,350.9450073,130.8159943,50.0265999
1.03667,89.3340988,1.30506,616.835022,75.4070969,55.2257996,1.08424,75.7770996,1.29812,442.2980042,64.3202972,48.8664017,349.6400146,115.1679993,51.3426018,351.1530151,132.6040039,50.344101
0.97743,134.9609985,1.8313299,587.0819702,117.1019974,58.0615997,1.0340101,123.7040024,1.53585,396.5960083,102.939003,52.9096985,360.2820129,82.0484009,55.2905006,354.571991,100.4919968,53.1455994
0.894005,95.3239975,1.36961,615.4240112,83.4831009,55.5919991,0.949426,80.902298,1.49335,391.618988,69.5614014,48.8417015,359.5580139,109.9660034,48.1478004,340.3450012,120.3929977,47.1557999
