Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.715552,134.1069946,1.35308,249.7510071,56.274601,5.9621902,0.778474,110.4759979,1.50125,183.7290039,52.7430992,3.4219,163.3659973,39.3436012,16.9592991,142.2200012,50.7597008,15.8046999
0.643751,128.6640015,1.3327399,249.2819977,53.4682999,4.9969401,0.767427,101.6320038,1.51577,187.5370026,49.4275017,3.3445101,164.927002,42.9804001,17.0813999,144.1080017,55.6862984,17.0480995
1.19918,102.4420013,1.77054,232.1929932,36.4133987,4.74331,1.0940599,109.3030014,1.3687299,208.9230042,44.0293007,3.67206,179.3639984,48.2476997,20.5438995,151.1300049,63.2396011,20.816
0.786197,100.2470016,1.60998,241.2640076,38.4318008,3.9630699,0.701899,87.0152969,1.32139,206.9210052,38.3582993,3.07691,146.9790039,57.7128983,20.1716003,147.4880066,70.0906982,18.2553005
0.724621,133.2920074,1.35785,252.5039978,56.4280014,5.9341202,0.807893,110.1839981,1.53962,185.1349945,52.4669991,3.4786699,165.4049988,40.6302986,16.4740009,143.7519989,51.5248985,16.2275009
1.08351,115.9860001,1.63019,217.8359985,47.4572983,5.9426899,1.00234,126.2320023,1.32626,200.9109955,52.7140007,3.8870101,176.9609985,43.8041,19.0205002,149.4340057,54.0892982,18.8337002
0.543453,129.3070068,1.31268,250.0740051,56.1236992,5.6615601,0.714116,92.6797028,1.51209,179.3070068,48.4179001,3.35745,181.3999939,41.0560989,17.0188999,145.6470032,52.8536987,16.7761002
0.611997,112.6589966,1.4414999,255.4259949,46.3737984,4.3171501,0.638821,92.9269028,1.38257,196.2409973,43.8423004,3.2272201,164.0789948,51.2252998,17.7903004,149.1900024,63.5792007,18.5505009
0.71477,104.4179993,1.51965,238.0630035,42.332901,4.7558198,0.752164,92.7848969,1.3116699,205.3800049,38.0686989,3.1428199,159.3470001,58.3387985,19.4799004,152.4980011,68.7778015,18.9659004
0.858184,89.596199,1.68323,239.5930023,34.7444992,3.50472,0.720764,86.4816971,1.32626,211.7689972,36.5769997,3.1965401,156.4640045,59.2575989,20.4624996,148.9299927,71.1453018,20.2383003
0.56337,137.1589966,1.31479,249.4779968,64.2967987,6.8505001,0.688803,97.1933975,1.51008,175.201004,53.1766014,3.4890399,183.1360016,36.9068985,17.0352001,142.4900055,49.6573982,16.3304005
0.653831,131.3320007,1.3342,249.0910034,54.2696991,5.21346,0.771269,103.6110001,1.51449,186.4980011,50.0741997,3.3380401,164.5690002,41.6048012,17.0403004,143.2339935,54.3600998,16.7658997
0.631008,103.875,1.5128599,239.0820007,42.4303017,4.5415401,0.752906,95.2985001,1.31209,208.6719971,39.3841019,3.19122,165.9669952,57.1379013,19.6595993,156.1009979,65.8705978,20.3656006
1.32254,61.733799,1.7474999,231.5720062,14.4775,3.4702699,1.07959,101.5510025,1.3266701,227.0720062,34.5545998,3.4303801,173.6790009,61.4199982,20.4417,151.7120056,76.4819031,20.3209
0.866811,154.2570038,1.3734699,246.6439972,64.6160965,7.2705102,0.973009,130.2890015,1.51649,180.9519958,57.8311996,3.81601,172.9519958,37.2999992,17.0834999,141.9850006,47.4707985,16.0277004
0.744802,151.1860046,1.33903,248.9830017,77.2080002,9.2932196,0.8509,120.3809967,1.51606,170.9019928,63.1679001,4.0833802,192.6069946,33.2229004,16.9764004,143.904007,43.4639015,16.3889999
0.597726,120.8560028,1.32989,249.3179932,48.5349007,4.7722902,0.728277,99.5342026,1.51859,187.5639954,46.7033005,3.17628,162.8439941,43.2223015,17.0748005,144.677002,53.8033981,16.6947994
0.679559,146.0099945,1.33366,249.0189972,73.2939987,8.5225201,0.771779,111.8809967,1.51764,171.4389954,59.6660995,3.87865,189.1909943,34.0551987,16.9347992,143.0050049,45.3661995,16.1721001
1.03491,62.9427986,1.72097,231.5690002,19.1968002,2.76492,0.783262,94.6575012,1.32595,223.1159973,36.4420013,3.36888,166.0619965,58.0393982,20.4036007,152.4730072,70.2790985,20.9995995
0.58358,114.8970032,1.32548,250.2039948,53.3161011,4.5450101,0.689371,89.7461014,1.51811,192.3500061,49.1509018,3.4074299,164.9750061,46.0054016,17.2735004,147.197998,60.0248985,18.4398994
0.781889,166.3439941,1.33803,248.5549927,72.4300003,7.7209702,0.828808,125.4140015,1.51293,178.0549927,60.8932991,3.67488,171.923996,32.8041992,16.5755997,139.8939972,46.1763992,14.7959995
0.617997,115.1880035,1.43786,255.0639954,47.4552002,4.3947601,0.661962,94.5127029,1.5185601,194.7220001,44.5834999,3.2316201,165.3320007,49.8240013,17.7045994,148.5820007,61.7834015,18.2882996
