H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
44.04339981,2195.129883,4.446929932,65.86620331,41.62799835,4.802410126,51.11289978,2207.629883,4.970930099,47.07279968,37.29330063,1.874979973,237.0910034,99.93609619,36.54980087,205.151001,109.4049988,31.03350067,1,0,0,0,0.0
51.4640007,1926.430054,4.306519985,65.26010132,41.4355011,1.903530002,54.65710068,1949.97998,4.678390026,52.93880081,35.85290146,1.613319993,245.4309998,95.31890106,43.27690125,222.177002,106.1829987,37.93519974,1,0,0,0,0.0
35.61439896,2098.530029,4.529669762,65.26529694,41.59799957,2.954839945,41.33819962,2077.75,4.990690231,52.95029831,40.18310165,1.799129963,226.8339996,99.3302002,40.60770035,218.3000031,114.8259964,40.76340103,1,0,0,0,0.0
60.53620148,1926.180054,4.20663023,66.46060181,39.68000031,1.830819964,65.54160309,1951.060059,4.805300236,50.44779968,34.92620087,1.486909986,219.875,86.37640381,134.9250031,208.2830048,101.9160004,46.25650024,0,0,0,1,0.0
40.79779816,2125.629883,4.70938015,66.05819702,39.73609924,2.1754601,45.31710052,2101.340088,5.107530117,50.29520035,37.67399979,1.508970022,208.8329926,100.4520035,131.1719971,197.8769989,110.1780014,39.71030045,1,0,0,0,0.0
47.92369843,1942.140015,4.134870052,69.98629761,39.56669998,1.984210014,54.31620026,1972.22998,4.747859955,53.5890007,35.98089981,1.508180022,226.625,94.91459656,133.6049957,217.0500031,108.6620026,49.18980026,1,0,0,0,0.0
46.18519974,2113.72998,4.539929867,65.17829895,41.45899963,5.350830078,54.27619934,2139.439941,4.96999979,48.07910156,37.02659988,1.836809993,237.6179962,96.62120056,36.7356987,209.2510071,108.8600006,31.15040016,1,0,0,0,0.0
42.48839951,2051.280029,4.558340073,66.71569824,42.09500122,3.228559971,48.25109863,2057.949951,4.86729002,50.99499893,38.21640015,1.692459941,236.6369934,96.33850098,39.65409851,214.147995,110.6080017,36.69739914,1,0,0,0,0.0
46.69760132,1964.439941,4.271580219,68.20780182,41.18259811,2.592410088,51.66859818,1991.339966,4.633339882,52.85800171,36.43280029,1.675070047,249.4859924,97.0510025,42.62599945,223.022995,110.3420029,40.57590103,0,0,0,1,0.0
64.41529846,1899.400024,4.114510059,66.50939941,39.79180145,1.754709959,69.46530151,1915.329956,4.799119949,50.88589859,34.42580032,1.493720055,220.0149994,80.19499969,131.1580048,205.9380035,98.43689728,46.17699814,1,0,0,0,0.0
45.01839828,2151.610107,4.507740021,65.41400146,41.5094986,5.220379829,53.00640106,2171.629883,4.972020149,47.70880127,37.19480133,1.871309996,237.3359985,97.61380005,36.65810013,207.8950043,109.189003,31.09600067,1,0,0,0,0.0
48.68640137,2027.920044,4.531030178,64.94960022,42.08860016,3.513920069,54.07970047,2051.889893,4.762650013,48.87340164,36.45280075,1.728060007,244.901001,91.65280151,42.02090073,212.1730042,105.1610031,35.0802002,1,0,0,0,0.0
44.48009872,1996.109985,4.57171011,64.3864975,42.0923996,2.555099964,50.1515007,2026.459961,4.765910149,49.21419907,37.09410095,1.704429984,244.5659943,87.51609802,42.15190125,212.2969971,104.0889969,35.14630127,1,0,0,0,0.0
46.37360001,1944.130005,4.295350075,66.39630127,41.03829956,1.920799971,52.99079895,1956.98999,4.831429958,54.39170074,37.56110001,1.532089949,224.7590027,93.81839752,41.55089951,222.927002,108.4889984,40.59609985,0,0,0,1,0.0
40.03820038,2147.629883,4.622799873,67.47409821,39.86510086,2.799410105,44.94260025,2167.540039,4.950200081,50.2118988,37.29079819,1.659019947,215.322998,102.8600006,134.6690063,197.8240051,110.6579971,40.29629898,1,0,0,0,0.0
43.72100067,1948.939941,4.592579842,63.28659821,41.87379837,2.056750059,49.55799866,1983.790039,4.769609928,49.26720047,37.12730026,1.673480034,244.2480011,82.40830231,42.20840073,212.348999,101.8939972,35.15269852,1,0,0,0,0.0
42.03919983,1957.109985,4.084139824,69.50039673,42.33209991,1.98458004,49.03039932,1968.77002,4.794400215,56.90380096,38.37139893,1.621039987,229.1889954,98.98000336,42.87939835,227.9459991,112.0759964,41.44729996,0,0,0,1,0.0
33.77550125,2208.560059,4.635119915,67.79119873,43.43320084,4.762030125,39.65380096,2188.439941,4.878389835,51.18370056,40.59170151,1.912529945,236.5440063,107.6449966,39.52310181,215.4660034,120.7259979,38.96870041,1,0,0,0,0.0
37.93840027,1996.680054,4.474609852,69.00800323,43.25400162,2.443619967,43.31200027,1999.400024,4.877999783,54.92369843,39.38840103,1.625049949,239.4559937,98.61730194,42.71049881,227.5399933,114.3560028,41.21900177,1,0,0,0,0.0
42.11289978,2143.689941,4.712369919,64.18859863,41.40179825,4.349569798,48.66519928,2123.48999,4.991219997,48.9333992,38.13389969,1.777279973,232.8370056,99.53340149,36.27489853,207.2660065,111.4660034,30.93770027,1,0,0,0,0.0
46.4231987,2131.25,4.514589787,65.70400238,41.58520126,6.303090096,54.57360077,2148.350098,4.830239773,47.97600174,37.12799835,1.930099964,241.7409973,98.31020355,37.22460175,210.3869934,110.0240021,31.5109005,1,0,0,0,0.0
45.63240051,1988.400024,4.583899975,63.7419014,41.93429947,2.46262002,51.36190033,2019.339966,4.767640114,48.99169922,36.79190063,1.706680059,244.4839935,86.06259918,42.09220123,211.2489929,103.1179962,35.10400009,1,0,0,0,0.0
35.26300049,2101.449951,4.55133009,65.41760254,41.65610123,2.925590038,40.66519928,2073.919922,4.991010189,52.92050171,40.38729858,1.790799975,226.8600006,99.49819946,40.59289932,218.2740021,115.2399979,40.76309967,1,0,0,0,0.0
