H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
47.7458992,2089.949951,4.298890114,61.47969818,62.82339859,2.300029993,51.10800171,2083.590088,5.514840126,50.21519852,59.32239914,1.497120023,220.8099976,86.5094986,39.52750015,221.6399994,94.50379944,42.97219849,0,0,0,1,0.0
52.95949936,2048.060059,4.816659927,61.52420044,63.17959976,3.216989994,52.39810181,2070.830078,5.491079807,50.1570015,63.69290161,1.710630059,218.8880005,73.85870361,39.3742981,208.3950043,88.37380219,42.65250015,0,0,0,1,0.0
43.68270111,2071.02002,3.729010105,60.67789841,53.67430115,1.679939985,47.58639908,2090.939941,4.002659798,50.0306015,52.01399994,1.299190044,217.6600037,73.66459656,39.39099884,199.496994,85.75879669,42.20149994,0,0,0,1,0.0
49.4129982,2052.280029,4.075469971,61.08860016,57.70769882,2.674350023,50.19990158,2082.889893,4.24090004,50.03900146,57.29330063,1.538159966,218.5240021,79.33480072,39.28030014,212.8269958,82.74240112,42.46490097,1,0,0,0,0.0
49.05609894,2086.580078,4.389900208,61.55870056,63.67660141,2.489389896,50.79539871,2085.939941,5.49285984,50.21709824,60.79119873,1.504940033,221.6629944,86.20950317,39.52949905,223.5850067,94.43360138,43.05599976,0,0,0,1,0.0
44.24810028,2069.840088,3.840130091,60.91460037,56.01250076,1.858700037,49.4754982,2090.22998,4.419789791,50.0544014,52.82870102,1.323250055,218.8529968,78.01629639,39.44240189,209.1410065,88.79440308,42.52190018,0,0,0,1,0.0
48.81409836,2072.100098,4.287539959,61.27780151,60.22940063,2.698479891,50.0909996,2099.590088,4.851280212,50.09410095,61.33160019,1.455639958,219.1600037,81.02919769,39.35309982,214.0630035,87.5279007,42.67369843,1,0,0,0,0.0
56.60039902,2015.359985,4.152989864,61.08300018,57.45130157,3.18840003,55.55260086,2056.290039,4.134200096,50.02659988,58.39599991,1.81309998,217.6069946,74.51429749,39.19850159,204.9089966,81.2983017,42.15629959,1,0,0,0,0.0
48.41220093,2079.02002,4.586550236,61.68989944,65.7385025,2.635479927,50.28689957,2078.909912,6.036900043,50.25370026,61.45849991,1.700320005,221.3009949,88.53209686,39.5469017,224.4850006,95.2437973,42.98939896,0,0,0,1,0.0
47.87820053,2079.540039,4.205999851,61.27270126,60.07720184,2.51432991,50.06439972,2095.929932,4.823120117,50.11180115,59.86740112,1.406659961,219.6109924,82.78549957,39.38560104,218.3139954,88.02330017,42.81510162,1,0,0,0,0.0
84.07050323,1889.369995,5.510519981,64.1977005,63.86460114,5.221109867,85.32759857,1926.050049,6.546649933,51.14390182,66.67359924,3.115999937,209.9250031,64.42030334,38.4864006,196.2599945,74.16210175,41.10620117,0,0,0,1,0.0
63.84859848,1986.699951,5.011529922,63.88850021,61.61780167,4.112140179,61.27399826,2034.449951,5.102310181,50.72409821,61.47800064,2.101569891,210.6320038,65.67440033,38.00709915,196.8130035,77.88939667,40.36700058,0,0,0,1,0.0
44.42070007,2065.110107,3.74815011,60.72700119,54.05619812,1.916200042,46.9178009,2089.100098,3.871010065,50.01150131,51.68560028,1.355479956,217.8470001,75.21360016,39.35639954,201.9100037,84.21179962,42.17919922,0,0,0,1,0.0
83.61589813,1902.609985,5.40955019,64.52680206,64.1140976,5.48183012,84.53130341,1921.189941,6.945919991,51.26200104,63.91540146,3.273230076,211.1940002,63.31200027,38.53549957,204.427002,68.91829681,41.24269867,0,0,0,1,0.0
84.91639709,1882.76001,5.505670071,64.24970245,63.98500061,5.317739964,86.84500122,1917.619995,6.677649975,51.17039871,66.74279785,3.226660013,210.1349945,64.04530334,38.49409866,197.2140045,72.93440247,41.14319992,0,0,0,1,0.0
56.40019989,2027.660034,5.210939884,63.09769821,65.84750366,3.593719959,55.65129852,2040.119995,6.113649845,49.98310089,64.09329987,1.954020023,224.0599976,73.10350037,40.65520096,211.6049957,87.92720032,43.72040176,0,0,0,1,0.0
48.26839828,2075.830078,4.246960163,61.27320099,60.14519882,2.606600046,49.97570038,2098.560059,4.831369877,50.10070038,60.64609909,1.427330017,219.3950043,81.91899872,39.36819839,216.253006,87.6894989,42.74539948,1,0,0,0,0.0
48.76269913,2050.159912,3.962869883,61.00759888,56.68209839,2.595590115,48.82789993,2080.169922,3.974080086,50.02069855,55.19720078,1.559139967,218.4579926,79.18920135,39.27019882,211.2039948,81.68270111,42.33089828,1,0,0,0,0.0
44.98460007,2072.080078,3.888509989,61.03079987,56.9776001,2.168720007,47.91080093,2089.159912,4.258609772,50.0503006,53.47949982,1.396999955,219.2769928,81.83070374,39.37929916,215.5209961,85.79540253,42.55179977,0,0,0,1,0.0
83.8864975,1899.97998,5.441599846,64.49530029,64.18599701,5.479310036,85.61750031,1912.859985,6.990799904,51.26449966,64.02940369,3.363130093,211.0679932,63.2784996,38.52999878,203.9459991,68.47149658,41.21360016,0,0,0,1,0.0
82.96260071,1862.410034,5.381259918,64.29620361,63.75370026,5.141049862,87.7963028,1912.140015,6.455739975,51.17290115,67.81289673,3.455120087,210.4720001,63.45029831,38.50559998,191.8029938,73.16169739,41.42760086,0,0,0,1,0.0
80.13600159,1906.400024,5.331910133,64.42389679,63.88019943,5.046390057,83.71360016,1926.930054,6.477600098,51.15969849,64.58820343,3.176179886,211.154007,63.58840179,38.53139877,197.3269958,71.29750061,41.32870102,0,0,0,1,0.0
44.31829834,2066.719971,3.746400118,60.68840027,53.83300018,1.853649974,47.20970154,2089.399902,3.901550055,50.01480103,51.79339981,1.330559969,217.5460052,74.32830048,39.36240005,199.6069946,84.50740051,42.14289856,0,0,0,1,0.0
59.34080124,1992.77002,4.508979797,63.42200089,58.90950012,3.349999905,59.3905983,2043.599976,4.518000126,49.85369873,59.09960175,1.943539977,219.5599976,71.08370209,40.61920166,203.2839966,80.24349976,43.30199814,1,0,0,0,0.0
85.15650177,1879.5,5.499660015,64.32319641,64.10169983,5.415120125,88.16169739,1907.290039,6.857309818,51.21009827,66.25969696,3.385509968,210.4049988,63.58649826,38.50500107,198.7039948,71.0739975,41.18500137,0,0,0,1,0.0
74.51740265,1936.22998,5.262819767,64.31340027,64.19909668,4.666480064,73.08930206,1984.530029,5.785960197,51.00709915,66.57309723,2.545399904,212.0800018,64.14569855,38.61100006,198.8070068,73.35949707,41.28860092,0,0,0,1,0.0
62.13560104,2000.800049,5.052030087,64.06430054,61.96680069,4.015920162,59.94480133,2041.859985,5.084360123,50.76679993,59.57979965,2.011539936,211.8139954,65.49120331,38.0945015,201.4790039,77.67669678,40.54800034,0,0,0,1,0.0
44.74079895,2062.600098,3.757839918,60.79740143,54.55559921,2.06133008,46.12179947,2088.080078,3.793910027,50.00569916,51.59579849,1.413800001,218.2899933,77.16960144,39.33480072,205.7559967,83.21630096,42.20669937,0,0,0,1,0.0
83.70659637,1892.540039,5.485750198,64.37909698,64.17359924,5.458590031,87.71900177,1901.939941,7.024099827,51.23789978,64.39820099,3.538360119,210.5140076,63.12049866,38.52310181,200.5769958,68.64089966,41.11769867,0,0,0,1,0.0
65.25559998,1973.670044,4.736780167,62.31880188,59.93190002,3.783469915,63.76699829,2027.829956,4.737720013,49.64490128,61.01910019,2.079780102,210.5410004,68.1434021,37.90819931,196.6560059,79.64099884,42.38249969,1,0,0,0,0.0
49.5483017,2068.649902,4.729869843,61.78549957,66.49839783,2.966330051,50.25130081,2075.310059,6.079949856,50.27389908,62.8368988,1.874529958,221.6589966,88.49459839,39.53079987,227.2019958,94.24320221,42.95859909,0,0,0,1,0.0
47.28979874,2089.939941,4.277890205,61.45660019,62.59579849,2.243550062,51.03710175,2083.679932,5.519909859,50.21139908,58.92240143,1.49131,220.6589966,86.37560272,39.52890015,220.9900055,94.48860168,42.94960022,0,0,0,1,0.0
41.77140045,2080.030029,3.736030102,60.80020142,54.87519836,1.412410021,47.03509903,2095.25,4.346409798,50.07460022,52.61050034,1.289010048,218.6170044,76.4701004,39.45959854,205.7369995,88.7786026,42.44530106,1,0,0,0,0.0
51.63679886,2051.52002,4.971469879,61.7655983,66.09819794,3.27944994,51.49679947,2060.97998,6.068329811,50.24919891,63.58380127,1.922369957,220.3269958,80.42720032,39.46659851,219.0540009,91.21430206,42.83119965,0,0,0,1,0.0
64.72399902,1981.140015,4.983620167,63.85520172,61.55179977,4.14098978,62.05530167,2029.97998,5.09747982,50.71839905,61.74909973,2.144910097,210.3950043,65.7480011,37.98540115,195.8699951,78.23329926,40.31560135,1,0,0,0,0.0
42.80810165,2074.070068,3.699860096,60.70619965,53.77159882,1.535179973,47.22710037,2092.870117,4.063099861,50.04430008,52.05989838,1.295629978,218.1150055,74.40480042,39.41619873,202.2769928,86.77590179,42.30379868,0,0,0,1,0.0
48.66159821,2088.409912,4.355999947,61.53219986,63.38069916,2.426429987,50.98809814,2084.709961,5.501009941,50.21889877,60.29140091,1.504879951,221.2980042,86.46240234,39.52719879,222.9859924,94.47250366,43.0257988,0,0,0,1,0.0
43.39479828,2072.01001,3.717890024,60.69029999,53.69800186,1.629269958,47.50059891,2091.570068,4.02256012,50.03549957,52.02519989,1.298949957,217.8569946,73.89759827,39.40029907,200.6660004,86.13469696,42.24399948,0,0,0,1,0.0
53.63439941,2040.75,5.058889866,61.73139954,65.73760223,3.412060022,53.13159943,2050.860107,6.038730145,50.22510147,63.70589828,1.912649989,219.548996,75.79509735,39.42739868,213.5579987,89.83560181,42.7580986,0,0,0,1,0.0
65.84349823,1971.060059,4.77755022,62.37630081,60.15069962,3.855950117,64.10590363,2025.51001,4.790909767,49.65200043,61.18970108,2.109999895,210.6100006,67.52449799,37.91460037,196.3170013,79.22109985,42.37810135,1,0,0,0,0.0
49.77740097,2081.080078,4.466730118,61.63159943,64.25140381,2.617189884,50.24570084,2089.73999,5.453370094,50.20190048,61.84619904,1.471770048,223.5059967,84.98989868,39.55759811,225.1490021,94.44290161,43.20600128,0,0,0,1,0.0
44.61769867,2068.550049,3.826620102,60.99219894,56.27529907,2.237010002,45.40890121,2089.52002,3.920190096,50.00579834,52.08959961,1.474779963,219.647995,81.69159698,39.31600189,214.2400055,82.26950073,42.20069885,0,0,0,1,0.0
45.71030045,2070.199951,3.934839964,61.05020142,57.24449921,2.304490089,47.76890182,2088.669922,4.203949928,50.04460144,54.47819901,1.42147994,219.1560059,82.12709808,39.33909988,216.7440033,83.93190002,42.55550003,1,0,0,0,0.0
45.45220184,2064.840088,3.860660076,60.98199844,56.36809921,2.3182199,45.97230148,2087.669922,3.925800085,50.01509857,52.86619949,1.482879996,219.095993,81.3015976,39.30860138,213.4199982,82.18440247,42.30260086,1,0,0,0,0.0
83.75250244,1901.25,5.424960136,64.51069641,64.15139771,5.474470139,85.08699799,1916.910034,6.962480068,51.26200104,63.99919891,3.315040112,211.1390076,63.30699921,38.53239822,204.1060028,68.728302,41.23220062,0,0,0,1,0.0
49.75690079,2065.290039,4.770810127,61.81610107,66.64849854,3.058099985,50.32229996,2073.310059,6.105410099,50.2859993,63.10979843,1.947759986,221.7100067,88.41010284,39.52560043,228.2749939,93.85970306,42.93239975,0,0,0,1,0.0
75.18309784,1937.140015,5.291470051,64.30719757,64.36209869,4.675600052,72.60820007,1981.160034,5.772369862,50.98339844,66.90799713,2.537539959,212.2689972,64.6391983,38.63710022,199.5970001,72.65550232,41.30889893,0,0,0,1,0.0
84.56079865,1885.72998,5.507599831,64.22370148,63.92770004,5.271989822,86.14209747,1921.709961,6.611780167,51.15670013,66.73670197,3.171220064,210.0299988,64.22480011,38.49020004,196.7200012,73.55010223,41.1242981,0,0,0,1,0.0
47.09870148,2091.879883,4.06840992,61.28889847,59.78030014,2.171649933,51.63629913,2082.370117,4.991099834,50.18889999,56.9695015,1.414520025,219.6840057,84.57859802,39.47380066,218.8630066,92.15609741,42.88339996,0,0,0,1,0.0
44.54710007,2062.709961,3.82881999,60.92110062,56.07770157,1.980849981,49.35039902,2090.030029,4.344560146,50.00239944,52.49679947,1.331310034,219.3410034,78.91359711,39.4477005,212.621994,88.54489899,42.62120056,0,0,0,1,0.0
59.39830017,2013.439941,5.261720181,63.11109924,65.90570068,3.790400028,58.49250031,2029.280029,6.139639854,49.95949936,64.46700287,2.031879902,223.7799988,71.52850342,40.63750076,209.5910034,86.76380157,43.62099838,0,0,0,1,0.0
46.63750076,2088.780029,4.04885006,61.25099945,59.52500153,2.115560055,51.48770142,2083.48999,4.978970051,50.16770172,56.45529938,1.403519988,219.7250061,83.99019623,39.47869873,217.973999,92.11160278,42.84629822,0,0,0,1,0.0
43.7867012,2071.47998,3.784699917,60.77180099,54.68970108,1.740260005,48.40890121,2091.110107,4.210979939,50.04290009,52.35570145,1.299640059,218.0529938,75.2947998,39.41450119,202.6719971,87.10379791,42.31629944,0,0,0,1,0.0
76.92919922,1920.180054,5.249899864,64.08149719,62.46229935,4.617390156,74.8082962,1972.319946,5.434919834,50.97359848,64.50869751,2.641479969,209.3070068,64.47119904,38.4557991,190.5319977,77.50520325,40.87450027,1,0,0,0,0.0
43.0461998,2075.659912,3.767620087,60.79000092,54.77870178,1.600630045,48.05889893,2092.570068,4.282209873,50.05970001,52.53329849,1.296440005,218.3370056,75.66999817,39.43510056,204.1119995,87.93370056,42.38079834,0,0,0,1,0.0
75.82289886,1931.26001,5.285590172,64.24160004,63.8185997,4.674119949,73.29989624,1976.589966,5.717669964,50.99739838,66.41339874,2.595829964,211.2879944,64.69960022,38.57730103,196.8840027,73.97119904,41.20819855,0,0,0,1,0.0
51.53229904,2038.0,4.037650108,61.03630066,56.97249985,2.814140081,51.18080139,2072.810059,4.031549931,50.02339935,56.60589981,1.64459002,218.1230011,77.44950104,39.24340057,208.8699951,81.54589844,42.27819824,1,0,0,0,0.0
44.99459839,2061.669922,3.768840075,60.83029938,54.83179855,2.137500048,45.80530167,2087.350098,3.764990091,50.00400162,51.67689896,1.443660021,218.4450073,78.06529999,39.3219986,207.2429962,82.6548996,42.20589828,0,0,0,1,0.0
58.55009842,2006.51001,4.190209866,61.09780121,57.60430145,3.325289965,57.2784996,2049.169922,4.167990208,50.02700043,58.90000153,1.878790021,217.4219971,73.47380066,39.1814003,203.5549927,81.15350342,42.10810089,1,0,0,0,0.0
85.23000336,1879.469971,5.502940178,64.29850006,64.07089996,5.389820099,87.84159851,1910.619995,6.800119877,51.19720078,66.53289795,3.331110001,210.3190002,63.7378006,38.50139999,198.2180023,71.73970032,41.17440033,0,0,0,1,0.0
62.34540176,1998.550049,5.058259964,64.00460052,61.89039993,4.04761982,60.18899918,2042.420044,5.10972023,50.75030136,60.34830093,2.007699966,211.4210052,65.4029007,38.06760025,199.8959961,77.49169922,40.49610138,0,0,0,1,0.0
44.0904007,2067.639893,3.788500071,60.78760147,54.79729843,1.847910047,48.24300003,2090.580078,4.147109985,50.02859879,52.10570145,1.316419959,218.1519928,75.90940094,39.40190125,203.9219971,86.51779938,42.31779861,0,0,0,1,0.0
44.32030106,2066.5,3.805269957,60.90710068,55.68170166,2.097919941,46.36589813,2090.060059,3.992650032,50.01610184,51.89039993,1.406520009,218.9259949,79.71730042,39.35820007,210.7749939,84.29640198,42.3390007,0,0,0,1,0.0
77.81529999,1924.670044,5.267479897,64.49189758,63.6167984,5.043739796,79.56030273,1947.930054,6.395629883,51.17430115,62.83000183,2.992539883,211.3730011,63.58150101,38.55199814,201.348999,71.31340027,41.28150177,0,0,0,1,0.0
60.57030106,1997.329956,4.226140022,61.11230087,57.75529861,3.464570045,59.09400177,2041.540039,4.201869965,50.02719879,59.36249924,1.946760058,217.2359924,72.44819641,39.16379929,202.2380066,80.98760223,42.05870056,1,0,0,0,0.0
44.03499985,2072.389893,3.839109898,60.90359879,55.94940186,1.802070022,49.35950089,2090.570068,4.442989826,50.06340027,52.93529892,1.317899942,218.75,77.69210052,39.44499969,208.0970001,88.89309692,42.49959946,0,0,0,1,0.0
47.61289978,2055.330078,3.931200027,60.99819946,56.58810043,2.502170086,47.86050034,2082.949951,3.958830118,50.01990128,54.51979828,1.526870012,218.6300049,79.95570374,39.28290176,212.1649933,81.81829834,42.34469986,1,0,0,0,0.0
82.84760284,1884.160034,5.388740063,64.22889709,63.7723999,5.075560093,84.63300323,1927.51001,6.259399891,51.10039902,67.22360229,3.121629953,210.2819977,63.9341011,38.5041008,193.9960022,73.75759888,41.17449951,0,0,0,1,0.0
43.57730103,2072.97998,3.780800104,60.77890015,54.72489929,1.694980025,48.3647995,2091.51001,4.239779949,50.04919815,52.4367981,1.298179984,218.147995,75.3710022,39.42169952,203.1150055,87.41220093,42.3390007,0,0,0,1,0.0
53.19150162,2030.589966,4.076489925,61.05130005,57.12129974,2.939189911,52.58539963,2067.719971,4.061970234,50.0245018,57.25559998,1.699300051,217.9429932,76.44409943,39.22819901,207.4759979,81.46179962,42.23770142,1,0,0,0,0.0
44.17020035,2068.860107,3.747529984,60.64229965,53.64820099,1.785330057,47.47869873,2089.820068,3.943989992,50.01959991,51.93790054,1.302099943,217.121994,73.54290009,39.36830139,196.7830048,84.83640289,42.08750153,0,0,0,1,0.0
45.40890121,2084.439941,4.014110088,61.17789841,59.01499939,1.959779978,50.87350082,2086.550049,4.981810093,50.14220047,55.54869843,1.381309986,219.6600037,82.60189819,39.49140167,215.5410004,92.12349701,42.76779938,0,0,0,1,0.0
